,ResNet18
0,"(0.8722971102273622, 0.027816267464914612)"
1,"(0.7745840358119324, 0.0526597548799294)"
2,"(0.7746102937998035, 0.052752564611231116)"
3,"(0.7746102937998035, 0.052752564611231116)"
4,"(0.5677391465207933, 0.0624743645320957)"
5,"(0.5005950033659115, 0.03749384257335267)"
6,"(0.2923405522572788, 0.04060424090495325)"
7,"(0.103383270281109, 0.007858109633063085)"
8,"(0.7387788696845042, 0.009284160659208146)"
