,ResNet18
0,"(1.0091045143341997, 0.025899706485306727)"
1,"(1.0085848626992062, 0.043750753238997714)"
2,"(1.008614914749784, 0.04373761061977813)"
3,"(1.008614914749784, 0.04373761061977813)"
4,"(1.0192303436769312, 0.08221225300605547)"
5,"(1.0092417604688928, 0.09504843058843407)"
6,"(1.012708436652289, 0.1019977911042866)"
7,"(1.0041793571394593, 0.13942171162207664)"
8,"(1.0002517439373686, 0.00991718545408132)"
