,ResNet18
0,"(0.8803483636016806, 0.005428681841234433)"
1,"(0.7803898966682612, 0.007360090204686817)"
2,"(0.7804386749091332, 0.007371026364808887)"
3,"(0.7804386749091332, 0.007371026364808887)"
4,"(0.577981731094279, 0.010471831191289104)"
5,"(0.5048089818186225, 0.008095703041821022)"
6,"(0.29524404056624587, 0.006403562173112396)"
7,"(0.10389404415596196, 0.0024052878402207305)"
8,"(0.7389502565217254, 0.0015384069611683782)"
