,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,AlexNet_Places365,0,0.9999999678519189,0.9966257159816903,0.9970439769790875,7.523311769765655e-06,1.000003435072519,0.4211065446746607,0.4200950883009479,4.243076271225954e-06,0.47394201909739964
1,AlexNet_Places365,1,1.0297200740562036,0.00024446384945876987,8.251734431418995e-05,0.007645300834162024,1.0840224047600377,5.355770288127253e-32,3.21236089689645e-35,0.005481956399721465,9.452084033819253e-07
2,AlexNet_Places365,2,1.0292756206486353,0.0002819549819996317,9.767646855008285e-05,0.007614310846348873,1.0833597368279408,6.6845161535934e-32,4.048701421499944e-35,0.005452172990126437,8.256707524301538e-07
3,AlexNet_Places365,3,1.0292756206486353,0.0002819549819996317,9.767646855008285e-05,0.007614310846348873,1.0833597368279408,6.6845161535934e-32,4.048701421499944e-35,0.005452172990126437,8.256707524301538e-07
4,AlexNet_Places365,4,1.0136015444510973,0.0002576285507276578,0.0001680904646376035,0.003513019306331025,1.0536151059114687,6.141462317858166e-47,6.747192647526915e-48,0.0024853990009045916,6.382286876888359e-13
5,AlexNet_Places365,5,1.013598957154476,0.00025797782581889585,0.00016833731958622878,0.003512717327315667,1.053610586223154,6.149641935657463e-47,6.750142857014165e-48,0.0024852193905621858,6.336998805987671e-13
6,AlexNet_Places365,6,1.013598957154476,0.00025797782581889585,0.00016833731958622878,0.003512717327315667,1.053610586223154,6.149641935657463e-47,6.750142857014165e-48,0.0024852193905621858,6.336998805987671e-13
7,AlexNet_Places365,7,1.0177591151960996,0.0006592253882005893,0.00037890246717265703,0.004952703345607111,1.0830625847339357,1.017893476989214e-55,1.3845156930865223e-56,0.0032293382181703186,4.953934750048818e-16
8,AlexNet_Places365,8,1.0202168552359567,0.00045506087207336575,0.0002568712126747289,0.0054639011572418265,1.0947732435066444,2.1981924741516074e-55,1.872121846341254e-56,0.0037085807993343847,2.582948137441335e-16
9,AlexNet_Places365,9,1.1104801635859243,0.0004704161156044577,9.015615377300943e-05,0.029941045809148022,1.6589203417412053,1.4746199797436786e-47,1.8428962643244147e-61,0.03015483953337092,8.756354383727823e-14
10,AlexNet_Places365,10,1.1102990357890659,0.0007170982971998494,0.00013412334948414528,0.030987336875638028,1.685226230841201,8.151666358645606e-47,3.383959203742906e-61,0.03184603933812122,1.0533288342590347e-13
11,AlexNet_Places365,11,1.1491888268598205,5.058967902087521e-06,1.1661880339012041e-06,0.030041121420400937,1.6858701886887182,8.694819067134246e-50,1.1434813960952915e-65,0.029987314818279685,1.070178230766084e-14
12,AlexNet_Places365,12,1.1544671086998441,5.292601920014124e-06,1.2744264088188768e-06,0.031178639635863016,1.722395850095358,5.024166697986656e-50,2.2276883864493e-64,0.03143227670026025,3.1153775645359334e-15
