,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10
0,"('21cheese', 1.0000101942001327)","('17burger', 1.1811326685847698)","('08beachball-pail', 1.2138241913357453)","('08beachball-pail', 1.2182897943837343)","('08beachball-pail', 1.2182897943837343)","('08beachball-pail', 1.1793027618076186)","('30emergency', 1.1302840818582902)","('53ocean', 1.285083552487852)","('53ocean', 1.5923910625235629)","('45kitchen', 1.880665944691496)","('24cleaning', 1.5653419218152342)","('60street', 2.1522240733185036)"
1,"('61street', 1.0000101942001327)","('08beachball-pail', 1.1708083158778393)","('03backyard', 1.1537510918554699)","('03backyard', 1.1526031687107952)","('03backyard', 1.1526031687107952)","('17burger', 1.1531249890458057)","('46kitchen2', 1.1214206580736594)","('45kitchen', 1.2729800208836173)","('41hiking', 1.5887387237224753)","('24cleaning', 1.841580955405293)","('45kitchen', 1.560916866619453)","('64tennis', 2.1517368766180605)"
2,"('60street', 1.0000101942001327)","('03backyard', 1.1522790301928187)","('17burger', 1.1431456905294948)","('17burger', 1.1418115592904676)","('17burger', 1.1418115592904676)","('57pancakes', 1.1423982050081503)","('03backyard', 1.120028697663257)","('55office-computer-printer', 1.2688809550028268)","('32farm_animals', 1.5431033321828047)","('60street', 1.8068436540021082)","('64tennis', 1.5354119467318246)","('45kitchen', 2.104252129945764)"
3,"('52motorbike', 1.0000100395066203)","('71valentines', 1.1499792469376955)","('18car', 1.1312539391805658)","('18car', 1.1306164845592777)","('18car', 1.1306164845592777)","('03backyard', 1.127145555410184)","('45kitchen', 1.108411147832904)","('08beachball-pail', 1.2231294418921617)","('45kitchen', 1.5182742464388286)","('52motorbike', 1.7695282473723875)","('60street', 1.515223014403741)","('24cleaning', 2.028411666419702)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('18car', 1.1363394667770634)","('45kitchen', 1.1200406121592852)","('45kitchen', 1.1287433158390867)","('45kitchen', 1.1287433158390867)","('71valentines', 1.122442228565536)","('53ocean', 1.1071768463307656)","('41hiking', 1.2165223542703048)","('66tools', 1.508751535507031)","('66tools', 1.7616693201954496)","('66tools', 1.4976644760658069)","('66tools', 1.9560355869202048)"
5,"('67toy', 1.0000098894377727)","('57pancakes', 1.1222800240215667)","('71valentines', 1.1156641824544387)","('71valentines', 1.1164776221488453)","('71valentines', 1.1164776221488453)","('18car', 1.121013102450404)","('20casino', 1.103033365621064)","('32farm_animals', 1.2119449019195312)","('55office-computer-printer', 1.4964783116106843)","('51makeup', 1.7411187029038875)","('52motorbike', 1.4933043072637469)","('51makeup', 1.9269344031238702)"
6,"('18car', 1.0000098894377727)","('14boat', 1.1150900739664196)","('42horseriding', 1.108303737368675)","('65toilet', 1.1147724428508978)","('65toilet', 1.1147724428508978)","('60street', 1.1067277836494618)","('48livingroom', 1.1006483973482408)","('18car', 1.2039272388223918)","('17burger', 1.477101939625035)","('64tennis', 1.7249607051652773)","('51makeup', 1.4466581685220878)","('52motorbike', 1.8434755765148974)"
7,"('29cooking', 1.0000098894377727)","('45kitchen', 1.1144067912061288)","('10bed-dresser', 1.1062122803111658)","('42horseriding', 1.107590684220284)","('42horseriding', 1.107590684220284)","('45kitchen', 1.0967982033035863)","('07bathrobe-slippers', 1.0978433479267264)","('65toilet', 1.190173942552537)","('50lock', 1.428177326466798)","('63teethhygene', 1.6975827084517279)","('63teethhygene', 1.4182841663305559)","('63teethhygene', 1.7178478296507986)"
8,"('23childEating', 1.0000098894377727)","('42horseriding', 1.1143749628688682)","('65toilet', 1.1055390532306981)","('10bed-dresser', 1.1074234752928507)","('10bed-dresser', 1.1074234752928507)","('65toilet', 1.0943007492676633)","('42horseriding', 1.0919580821955932)","('37golf', 1.1883333879172115)","('65toilet', 1.4042435584155781)","('30emergency', 1.6681728803826323)","('30emergency', 1.3961914666257975)","('30emergency', 1.698127188573454)"
9,"('54office_supply', 1.0000098894377727)","('65toilet', 1.1137819518685173)","('14boat', 1.1047279423795993)","('14boat', 1.1055315447618195)","('14boat', 1.1055315447618195)","('46kitchen2', 1.0909863046848287)","('18car', 1.0896102332030546)","('30emergency', 1.1834703181625736)","('07bathrobe-slippers', 1.3919376972413817)","('65toilet', 1.6189660653138003)","('56office-desk-chair', 1.3638967155337014)","('56office-desk-chair', 1.6809434213161787)"
