,ResNet152
0,"(0.8437391228368443, 0.030116267250302187)"
1,"(0.8411540997136245, 0.03917928064312582)"
2,"(0.8411770488101815, 0.03917073666055116)"
3,"(0.8411770488101815, 0.03917073666055116)"
4,"(0.5984071924184589, 0.051233063306716294)"
5,"(0.5111020534288166, 0.04120601196337589)"
6,"(0.26237731583729396, 0.029359659247235933)"
7,"(0.4197002542462259, 0.013031907401888752)"
8,"(0.886009535045233, 0.005910965349196492)"
