,ResNet152
0,"(0.8553728119232369, 0.006790037424971965)"
1,"(0.8458647706297506, 0.00568044472885332)"
2,"(0.8458879808263704, 0.005679010327204213)"
3,"(0.8458879808263704, 0.005679010327204213)"
4,"(0.6058596718966968, 0.008585965168932785)"
5,"(0.514914587533632, 0.007710523482433824)"
6,"(0.266500355951904, 0.005801298027316522)"
7,"(0.4213186465472727, 0.002185347551466897)"
8,"(0.8862168695510485, 0.0010261251198541777)"
