,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,ResNet18_Places365,0,1.0000015532196633,0.8046411674315926,0.804145775305996,6.211592705344172e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.5230442595956245
1,ResNet18_Places365,1,1.0243618852417202,4.518373247290184e-15,3.024819254494139e-15,0.002426135603499866,1.036596772634358,4.2201250957033924e-30,6.738544085595498e-32,0.002490326447223663,0.00018268076142930563
2,ResNet18_Places365,2,1.0201512884240205,1.501340962920632e-15,7.318286463905879e-16,0.001954742188254826,1.0298889456078395,6.989717064120007e-34,4.6113394262382834e-35,0.0018437253427957957,3.6395267574316226e-05
3,ResNet18_Places365,3,1.0200584338833407,1.0645156917392278e-15,5.224558627502164e-16,0.001930049925544749,1.0297411158238399,5.948825410142671e-34,3.539500013980125e-35,0.0018313915168188337,3.161443596655103e-05
4,ResNet18_Places365,4,1.0200584338833407,1.0645156917392278e-15,5.224558627502164e-16,0.001930049925544749,1.0297411158238399,5.948825410142671e-34,3.539500013980125e-35,0.0018313915168188337,3.161443596655103e-05
5,ResNet18_Places365,5,1.0566182444748886,1.5494270013151573e-14,1.1269407032865362e-14,0.005810654828953035,1.0897744749994414,3.148565841771927e-36,6.763690652043918e-38,0.005227538187436669,3.0786929977727534e-06
6,ResNet18_Places365,6,1.122825677440353,4.952210696598111e-24,1.1078447831661022e-23,0.007967214806323678,1.2221725173050193,1.2766144976849823e-55,3.4549241540730665e-58,0.008520109272492887,1.8275541487205033e-12
7,ResNet18_Places365,7,1.3276527899150627,3.3488566164682546e-30,1.9431869480054535e-30,0.016557489792318858,1.6088048316573205,1.0157121573335528e-59,2.3804789060543797e-67,0.02155740925243633,5.5548806997834166e-15
8,ResNet18_Places365,8,1.577601587385247,4.494967314137562e-31,1.4041262995202981e-34,0.028222809585239324,2.1466363235520527,2.1646369652047748e-43,3.4279446909865846e-70,0.05664779884785963,1.3052421267375282e-12
9,ResNet18_Places365,9,1.4246963560399886,1.4182004442162539e-30,3.622051986958096e-34,0.021153931798153027,1.8502115656022013,9.045192615567728e-38,1.6259673436787587e-69,0.047721471715337194,3.0413186064286466e-11
