,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.875189842106709)","('70tv', 0.8831534621359756)","('70tv', 0.883145118183959)","('70tv', 0.883145118183959)","('70tv', 0.780779166787811)","('70tv', 0.790444272121342)","('67toy', 0.683086852125343)","('49livingroom-chair', 0.9274485704711387)","('67toy', 0.9880497004372736)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.9122543181786575)","('64tennis', 0.914731930058961)","('64tennis', 0.9147685566352604)","('64tennis', 0.9147685566352604)","('49livingroom-chair', 0.845157611234412)","('49livingroom-chair', 0.892266807602111)","('15bowling', 0.692194167833896)","('68toys', 0.9428438941680466)","('68toys', 0.99152219602379)"
2,"('17burger', 1.0)","('01art', 0.9269528236628197)","('11biking', 0.9201365985457015)","('11biking', 0.9200847945707051)","('11biking', 0.9200847945707051)","('06basketball', 0.8878211735065504)","('59pizza', 0.9102034362872743)","('01art', 0.7367585114318295)","('70tv', 0.9491025178835188)","('49livingroom-chair', 0.9929367659242535)"
3,"('32farm_animals', 1.0)","('21cheese', 0.9407957453272296)","('49livingroom-chair', 0.9296766640852743)","('49livingroom-chair', 0.9296543755670422)","('49livingroom-chair', 0.9296543755670422)","('15bowling', 0.9021807272063934)","('11biking', 0.9227027157725163)","('51makeup', 0.7373572752356142)","('26coathanging', 0.9547297825070575)","('28construction', 0.9933298680369926)"
4,"('02baby', 1.0000054538854783)","('44kayak', 0.9514209067236338)","('40gym', 0.9543893989858355)","('40gym', 0.9543302303633554)","('40gym', 0.9543302303633554)","('11biking', 0.9088649687492959)","('01art', 0.9244682791817956)","('19carpet', 0.8096257150898917)","('67toy', 0.957349985480201)","('29cooking', 0.9938766011903832)"
5,"('46kitchen2', 1.0000055379211592)","('59pizza', 0.9585971553501151)","('39gun', 0.9573327811311702)","('39gun', 0.9571072167778509)","('39gun', 0.9571072167778509)","('64tennis', 0.9217155065971634)","('05baseball', 0.9314149278451623)","('22chess', 0.8182094606522969)","('11biking', 0.9638763119877317)","('19carpet', 0.9943951070162824)"
6,"('45kitchen', 1.0000055379211592)","('64tennis', 0.9592207436991799)","('05baseball', 0.9579638782275826)","('05baseball', 0.9581012430777817)","('05baseball', 0.9581012430777817)","('40gym', 0.9254949994107254)","('64tennis', 0.9348003979433985)","('49livingroom-chair', 0.819985825471925)","('12birdcage', 0.9643339457740948)","('26coathanging', 0.9944114445650352)"
7,"('10bed-dresser', 1.0000089655355493)","('23childEating', 0.9643779009892827)","('06basketball', 0.9603866904305453)","('06basketball', 0.9603966449408948)","('06basketball', 0.9603966449408948)","('19carpet', 0.93147482491139)","('06basketball', 0.9349980085974909)","('12birdcage', 0.8341787979628156)","('19carpet', 0.9662419342908635)","('22chess', 0.9954375111819391)"
8,"('69tub', 1.000009099550753)","('28construction', 0.972591173964226)","('21cheese', 0.9604435996809993)","('21cheese', 0.9605571466688673)","('21cheese', 0.9605571466688673)","('26coathanging', 0.951173499247224)","('58party', 0.9449021816963005)","('59pizza', 0.837689958186692)","('62sushi', 0.9705886501417683)","('01art', 0.9959119883418476)"
9,"('65toilet', 1.000009099550753)","('73winter', 0.9726570301458194)","('59pizza', 0.9605240337407732)","('59pizza', 0.9606391038916122)","('59pizza', 0.9606391038916122)","('59pizza', 0.955884780307413)","('15bowling', 0.9471795271906488)","('28construction', 0.8528561437057149)","('06basketball', 0.9723912625789121)","('12birdcage', 0.995965106461374)"
