,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19
0,AlexNet,0.0,0.999999967883564,0.9967184595938046,0.9971368363512252,7.726045220043264e-06,1.0000034980587729,0.4252043734629438,0.4241919659949755,4.358544247260488e-06,0.474405237991654,True,,,,,,,,,,,,,
1,AlexNet,1.0,1.1201232483931476,0.0001847980174492,8.811641545269466e-06,0.0302045091146924,1.3383073903631424,1.5949346129937073e-25,3.90250017722833e-36,0.0262190601246871,2.1244887058265358e-06,True,,,,,,,,,,,,,
2,AlexNet,2.0,1.121016346086156,0.0002754227092709,1.1929157078726523e-05,0.0313656977251142,1.3430182466161698,2.359757784406517e-25,3.356665786425567e-36,0.0267208691226544,2.2047879247013885e-06,True,,,,,,,,,,,,,
3,AlexNet,3.0,1.121016346086156,0.0002754227092709,1.1929157078726523e-05,0.0313656977251142,1.3430182466161698,2.359757784406517e-25,3.356665786425567e-36,0.0267208691226544,2.2047879247013885e-06,True,,,,,,,,,,,,,
4,AlexNet,4.0,1.1053727850366577,0.0002380778734355,2.7385067312405585e-05,0.0270059849878427,1.5090603760329302,8.98972712290645e-44,3.7181680886927944e-51,0.024940111357517,6.71019469243579e-14,True,,,,,,,,,,,,,
5,AlexNet,5.0,1.1045635302904286,0.0004078025028897,4.058387090361549e-05,0.0279623690641157,1.5181100064760975,2.3881765018126707e-43,4.653155086048378e-51,0.0256204088562837,7.267114255206084e-14,True,,,,,,,,,,,,,
6,AlexNet,6.0,1.1045635302904286,0.0004078025028897,4.058387090361549e-05,0.0279623690641157,1.5181100064760975,2.3881765018126707e-43,4.653155086048378e-51,0.0256204088562837,7.267114255206084e-14,True,,,,,,,,,,,,,
7,AlexNet,7.0,1.105673806923104,0.0003620421850837,6.187721473095661e-05,0.0279879832437307,1.6557589733213751,1.1349103034332784e-51,8.726068264666693e-60,0.0272135155114678,6.280999281902985e-17,True,,,,,,,,,,,,,
8,AlexNet,8.0,1.1082278199061686,0.0003846929346631,6.218259780654329e-05,0.0288052284444391,1.6791796884281225,1.3643860914165948e-51,2.856570922216908e-59,0.0282312450577543,5.629177961987548e-17,True,,,,,,,,,,,,,
9,AlexNet,9.0,1.1671044256632004,0.0002126103275627,1.867776177023011e-05,0.0424608344068888,2.082209883138516,5.5326336757765405e-46,1.0325953633015125e-63,0.0505489213822788,1.0178880556512118e-14,True,,,,,,,,,,,,,
