,Resnext50_32x4d
0,"(0.805865412686651, 0.010030579642420611)"
1,"(0.7060391671146425, 0.01169952007538142)"
2,"(0.7056012708771654, 0.01174921719489157)"
3,"(0.7056012708771654, 0.01174921719489157)"
4,"(0.6327901369877794, 0.008081175446465451)"
5,"(0.49210324172557085, 0.008493851127518817)"
6,"(0.27336049756479674, 0.008198234311225487)"
7,"(0.43593275811945426, 0.0012061647475798902)"
8,"(0.9319546721035878, 0.00028662459981189435)"
