,Resnext50_32x4d
0,"(1.000309732439926, 0.05347438532387017)"
1,"(1.0043383590772288, 0.06942066198564657)"
2,"(1.004355263074608, 0.06955369657985487)"
3,"(1.004355263074608, 0.06955369657985487)"
4,"(1.0070589803266399, 0.07251974330157739)"
5,"(1.0129062576775152, 0.08816559128192165)"
6,"(1.0060860056268224, 0.07507708984248886)"
7,"(1.0028605906096222, 0.015711723317621138)"
8,"(1.0000380635497697, 0.0012626285075273205)"
