,Resnext50_32x4d
0,"(0.8048031146969169, 0.047628174302653765)"
1,"(0.7033964361722717, 0.07156423281271612)"
2,"(0.7029500225786862, 0.07194258901938581)"
3,"(0.7029500225786862, 0.07194258901938581)"
4,"(0.6291863918157984, 0.04730428431973384)"
5,"(0.48758464797210355, 0.05787869313954843)"
6,"(0.27204154226454497, 0.05601977339637083)"
7,"(0.43471209231620717, 0.0067492247223229825)"
8,"(0.9319196367428855, 0.0018807794708621435)"
