,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('beachball (2).jpg', 3.3686812077393045)","('beachball (2).jpg', 3.4319344950462405)","('beachball (2).jpg', 3.4319344950462405)","('beachball (2).jpg', 2.5797389831928887)","('beachball (2).jpg', 2.6287641708009883)","('beachball (2).jpg', 2.6287641708009883)","('carpet (2).jpg', 2.9473905796101327)","('carpet (2).jpg', 2.9609784429559993)","('doll (2).jpg', 5.543039559862686)","('doll (2).jpg', 5.5148799404570115)","('horse (2).jpg', 4.960127207893146)","('remotecontrol (2).jpg', 5.656005021921959)"
1,"('highchair (2).jpg', 1.0000096725620395)","('rubberduck (2).jpg', 2.531708450637211)","('rubberduck (2).jpg', 2.5447891803547287)","('rubberduck (2).jpg', 2.5447891803547287)","('carpet (2).jpg', 2.4639106245974642)","('carpet (2).jpg', 2.4874249302283844)","('carpet (2).jpg', 2.4874249302283844)","('baseballball (2).jpg', 2.6446610596500566)","('baseballball (2).jpg', 2.7841772195398566)","('baseballball (2).jpg', 3.858442338058661)","('baseballball (2).jpg', 4.06834852550877)","('doll (2).jpg', 4.844010403593446)","('baseballball (2).jpg', 5.532958423988888)"
2,"('bike (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 2.138040386320763)","('pallette (2).jpg', 2.149702764005852)","('pallette (2).jpg', 2.149702764005852)","('tennisball (2).jpg', 2.3803756433318704)","('tennisball (2).jpg', 2.4471128955400867)","('tennisball (2).jpg', 2.4471128955400867)","('pizza (2).jpg', 2.528508128697225)","('pizza (2).jpg', 2.5452794224273085)","('horse (2).jpg', 3.682152828783412)","('horse (2).jpg', 3.6847144641935765)","('pizza (2).jpg', 4.7223502097877885)","('carpet (2).jpg', 5.127253494210293)"
3,"('footballball (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 2.0747854963614776)","('tennisball (2).jpg', 2.129210271731072)","('tennisball (2).jpg', 2.129210271731072)","('toothpaste (2).jpg', 2.350111825718387)","('toothpaste (2).jpg', 2.412082885508946)","('toothpaste (2).jpg', 2.412082885508946)","('rolette (2).jpg', 2.379086127229228)","('pants (2).jpg', 2.4437699418933936)","('carpet (2).jpg', 3.5579287230071444)","('remotecontrol (2).jpg', 3.6451193340785446)","('baseballball (2).jpg', 4.616516634235803)","('horse (2).jpg', 5.082524963812693)"
4,"('stroller (2).jpg', 1.0000095331866181)","('cone (2).jpg', 2.0503008836281946)","('cone (2).jpg', 2.0712947153716534)","('cone (2).jpg', 2.0712947153716534)","('rubberduck (2).jpg', 2.217759182430251)","('pallette (2).jpg', 2.244989201670203)","('pallette (2).jpg', 2.244989201670203)","('pants (2).jpg', 2.375092705524849)","('rolette (2).jpg', 2.4219295776496446)","('pants (2).jpg', 3.511758446264041)","('carpet (2).jpg', 3.611708709470881)","('remotecontrol (2).jpg', 4.552282615979036)","('doll (2).jpg', 4.91303986051861)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('sippycup (2).jpg', 2.0311397001004075)","('sippycup (2).jpg', 2.048519297547255)","('sippycup (2).jpg', 2.048519297547255)","('pants (2).jpg', 2.2147641538657883)","('rubberduck (2).jpg', 2.240738510223617)","('rubberduck (2).jpg', 2.240738510223617)","('bag (2).jpg', 2.317622942986187)","('remotecontrol (2).jpg', 2.3474632214070272)","('remotecontrol (2).jpg', 3.423865680961326)","('pants (2).jpg', 3.5868845043873208)","('carpet (2).jpg', 4.48194911293427)","('pizza (2).jpg', 4.654234662578042)"
6,"('tent (2).jpg', 1.0000095331866181)","('pants (2).jpg', 1.9934577585554847)","('pants (2).jpg', 1.9987429843935873)","('pants (2).jpg', 1.9987429843935873)","('pallette (2).jpg', 2.2119163048192827)","('remotecontrol (2).jpg', 2.2249159080935152)","('remotecontrol (2).jpg', 2.2249159080935152)","('remotecontrol (2).jpg', 2.2604537813922616)","('bag (2).jpg', 2.3216161189846645)","('barbie (2).jpg', 3.132709035979339)","('chess (2).jpg', 3.2747098570091517)","('motorcycle (2).jpg', 4.073063677090174)","('rolette (2).jpg', 4.474444237869413)"
7,"('dresser (2).jpg', 1.0000095331866181)","('rolette (2).jpg', 1.7745760419623189)","('rolette (2).jpg', 1.785066751995151)","('rolette (2).jpg', 1.785066751995151)","('remotecontrol (2).jpg', 2.1747327212959418)","('pants (2).jpg', 2.2226263734299283)","('pants (2).jpg', 2.2226263734299283)","('tennisball (2).jpg', 2.2447153401961124)","('toothpaste (2).jpg', 2.3101031292390037)","('chess (2).jpg', 3.0907084880479436)","('barbie (2).jpg', 3.186657269013648)","('sushi (2).jpg', 3.9956156306660047)","('motorcycle (2).jpg', 4.2508583473328105)"
8,"('coatrack (2).jpg', 1.0000094649943658)","('train (2).jpg', 1.750868469226722)","('train (2).jpg', 1.761090649231012)","('train (2).jpg', 1.761090649231012)","('pizza (2).jpg', 2.091137257969139)","('pizza (2).jpg', 2.1145270705286587)","('pizza (2).jpg', 2.1145270705286587)","('rubberduck (2).jpg', 2.2393463226881285)","('rubberduck (2).jpg', 2.268860578945157)","('pizza (2).jpg', 3.062953902255695)","('pizza (2).jpg', 3.098168169082308)","('rolette (2).jpg', 3.9469388805117167)","('pallette (2).jpg', 4.234246039980224)"
9,"('helmet (2).jpg', 1.0000094649943658)","('carpet (2).jpg', 1.7347099794146665)","('carpet (2).jpg', 1.7425268319874068)","('carpet (2).jpg', 1.7425268319874068)","('television (2).jpg', 1.9980904501758694)","('cone (2).jpg', 2.0092055514950142)","('cone (2).jpg', 2.0092055514950142)","('toothpaste (2).jpg', 2.2121646148638634)","('tennisball (2).jpg', 2.2339187650262895)","('rubberduck (2).jpg', 2.951674077316054)","('lipstick (2).jpg', 3.0326063329835837)","('pallette (2).jpg', 3.8423811490856425)","('sushi (2).jpg', 4.185874879292357)"
