,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.3345686923202572)","('69tub', 0.2651621365757677)","('69tub', 0.2651621365757677)","('01art', 0.3415659878242309)","('01art', 0.3026179089742551)","('01art', 0.3026179089742551)","('01art', 0.2387318858297683)","('01art', 0.21593298805494418)","('01art', 0.05286709906060698)","('01art', -0.002488428381699412)","('01art', 0.01671156797776764)","('01art', -0.10287506311274879)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.5913784990800887)","('38groceryshopping', 0.5936402936949079)","('38groceryshopping', 0.5936402936949079)","('21cheese', 0.6127250990867147)","('21cheese', 0.5882391808682018)","('21cheese', 0.5882391808682018)","('67toy', 0.7381098174463433)","('67toy', 0.7345326968216068)","('22chess', 0.3988531748726835)","('22chess', 0.3878324871360352)","('62sushi', 0.274036689349553)","('62sushi', 0.2704356168520457)"
2,"('02baby', 1.0000054538854783)","('01art', 0.6225786075773172)","('01art', 0.6121466127771977)","('01art', 0.6121466127771977)","('05baseball', 0.6373158520412442)","('05baseball', 0.5883038597001667)","('05baseball', 0.5883038597001667)","('33fishtank', 0.759887704143494)","('05baseball', 0.7469436037434453)","('13birds', 0.5464973294836653)","('13birds', 0.5430136584411843)","('12birdcage', 0.39111890066934807)","('12birdcage', 0.3803471638460126)"
3,"('46kitchen2', 1.0000055379211592)","('21cheese', 0.6403050333907281)","('21cheese', 0.6330567051361208)","('21cheese', 0.6330567051361208)","('51makeup', 0.7206655549933202)","('51makeup', 0.7220616740003174)","('51makeup', 0.7220616740003174)","('21cheese', 0.7699686702755497)","('21cheese', 0.7542073675096937)","('67toy', 0.5925172293940827)","('05baseball', 0.5945299729954687)","('68toys', 0.44313272541514453)","('22chess', 0.4233905001086485)"
4,"('45kitchen', 1.0000055379211592)","('64tennis', 0.6645924088626437)","('64tennis', 0.6557552776160028)","('64tennis', 0.6557552776160028)","('15bowling', 0.7499659627798868)","('15bowling', 0.7528969058329993)","('15bowling', 0.7528969058329993)","('38groceryshopping', 0.771173003009559)","('33fishtank', 0.767361339440883)","('33fishtank', 0.6663111874853338)","('67toy', 0.5983741497792607)","('22chess', 0.47953947481108256)","('19carpet', 0.43575129203212726)"
5,"('10bed-dresser', 1.0000089655355493)","('63teethhygene', 0.750009892922052)","('63teethhygene', 0.746469865488005)","('63teethhygene', 0.746469865488005)","('38groceryshopping', 0.7632537862799849)","('38groceryshopping', 0.7583052060860114)","('38groceryshopping', 0.7583052060860114)","('51makeup', 0.7961221805307219)","('51makeup', 0.7709878121275043)","('12birdcage', 0.6680586752049994)","('12birdcage', 0.6583231683225037)","('19carpet', 0.5015046293757507)","('67toy', 0.4714067773912035)"
6,"('69tub', 1.000009099550753)","('05baseball', 0.7951749287556442)","('05baseball', 0.7734639769279577)","('05baseball', 0.7734639769279577)","('63teethhygene', 0.778909441809768)","('63teethhygene', 0.7694657206518125)","('63teethhygene', 0.7694657206518125)","('05baseball', 0.8066461227704654)","('38groceryshopping', 0.7894149410257074)","('05baseball', 0.6960943267866387)","('33fishtank', 0.6605451047414997)","('67toy', 0.5019357295407222)","('68toys', 0.4940384274153558)"
7,"('65toilet', 1.000009099550753)","('73winter', 0.8191008959848523)","('73winter', 0.8203990698430532)","('73winter', 0.8203990698430532)","('58party', 0.8291624824566879)","('59pizza', 0.8257765749352529)","('59pizza', 0.8257765749352529)","('15bowling', 0.8119302712258643)","('15bowling', 0.8001262453169258)","('19carpet', 0.744401312097687)","('19carpet', 0.7265589570784168)","('33fishtank', 0.532202361807031)","('33fishtank', 0.5448812885653571)"
8,"('63teethhygene', 1.000009099550753)","('24cleaning', 0.8548402866516539)","('24cleaning', 0.834893721473556)","('24cleaning', 0.834893721473556)","('59pizza', 0.8350971634484009)","('58party', 0.8270541920893891)","('58party', 0.8270541920893891)","('12birdcage', 0.8230080761287951)","('12birdcage', 0.831438000596824)","('68toys', 0.763077954225567)","('68toys', 0.769069827776798)","('13birds', 0.6527931891824803)","('05baseball', 0.6223297585203219)"
9,"('73winter', 1.0000094514728177)","('23childEating', 0.8645146865265635)","('23childEating', 0.8679934406560469)","('23childEating', 0.8679934406560469)","('73winter', 0.8531906009301385)","('69tub', 0.831536734378072)","('69tub', 0.831536734378072)","('59pizza', 0.8354085027009744)","('59pizza', 0.8442067585759078)","('62sushi', 0.8171017253273913)","('21cheese', 0.792257099212285)","('05baseball', 0.6765661573596462)","('25clothing', 0.628476760382446)"
