,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios
50,1.0,1.000009743789258,0.8599146685017144,1.0952913436486993,0.8666549302544463,1.0913915909092058,0.8620351968304253,1.0852331529397046,0.8620351968304253,1.0852331529397046,0.8954971945978795,1.0853802151570051,0.7939654108887051,1.1081281477882339,0.607560960276617,1.288560957966978,0.42440095432125413,1.6009222818893607,0.3520567031751557,1.3808144698543698,0.4273200566554113,1.2483399853939665,0.36700939320251913,1.525217655498814
51,1.0,1.0000098894377727,0.8397200708266104,1.051439367964309,0.8454791474307,1.0501823079017758,0.844844175741159,1.0501627781811074,0.844844175741159,1.0501627781811074,0.8544529281214456,1.019597555260578,0.7669364866144547,1.0389363795257591,0.579910085494559,1.075475397298006,0.3918813381275453,1.1401071869784312,0.36280083968113636,1.3919146939920177,0.4820647255764314,1.262208923255484,0.4103385736953536,1.4979178984141681
52,1.0,1.000009743789258,0.8438660264245256,1.0606670610129563,0.8167947160007981,1.030961122570231,0.8167876399197308,1.0304853005552117,0.8167876399197308,1.0304853005552117,0.8532727510821454,1.039742670412015,0.7604228211116728,1.0688348524990832,0.6562954372499713,1.2653696765309763,0.4671745957264989,1.4896721982957999,0.4080318222291646,1.419486483207348,0.40046988929314536,1.166122948446491,0.2808347408388096,1.25946967263016
53,1.0,1.000009743789258,0.8581330481532177,1.0736382944287337,0.8370666683269998,1.0627273101426689,0.8373536561195979,1.0615302851811443,0.8373536561195979,1.0615302851811443,0.8607060798318443,1.066315891408805,0.7781139753864689,1.0790071078081784,0.5978076408147718,1.1623187712890943,0.3985967830954626,1.1960307904193939,0.42041834687557594,1.5329016753998268,0.5072622149845525,1.362879857166918,0.4431692966022139,1.6771735157834011
54,1.0,1.0000094649943658,0.8364744802847727,1.1227084429580605,0.8334628022434576,1.0899338609686144,0.8323408523333782,1.0892969727329345,0.8323408523333782,1.0892969727329345,0.9237306031357067,1.1425401756122489,0.7581365999118067,1.0768546012546452,0.5691487055430354,1.1426264188440989,0.3532672766234753,1.3149164916675098,0.2946761290174399,1.2652547037922732,0.4483272699062782,1.2201611140893107,0.3517794592903452,1.3737238709629473
55,1.0,1.0000096023686076,0.6999201028178176,0.9980539865181873,0.7291301145727199,1.0156559201991726,0.7260380082102155,1.014004171341216,0.7260380082102155,1.014004171341216,0.821022595632104,1.04451161469596,0.6619473679405696,0.9870054054208074,0.4804390859149008,1.0064312833245583,0.2681978574431248,0.9432122444685062,0.2552724958926706,1.042632458790263,0.3981122866629525,1.0875759649330832,0.32478606654218517,1.2265250100546228
56,1.0,1.0000096023686076,0.7544674023625063,0.9487140260887608,0.767065514956513,0.9518282836925142,0.7688418849188576,0.9528970041132845,0.7688418849188576,0.9528970041132845,0.7717455494805003,0.9309158926118932,0.6562800178269448,0.9233619256913494,0.45936209324648986,0.9268056191873512,0.24282720941121683,0.8440224633440458,0.26181708367824913,0.97891508364318,0.4234897873813612,1.0946501874863521,0.29732081666410415,1.0888898516643235
57,1.0,1.0000101942001327,0.7723623684498877,1.0457283011490182,0.7883038144164027,1.045106255968257,0.7882873909718197,1.0458334667377047,0.7882873909718197,1.0458334667377047,0.8839248710260751,1.106483239258822,0.7268783446237075,1.0265157944804049,0.5419934163992594,1.0622455683375034,0.3508516333859431,1.193824033127481,0.4798107566196565,1.804983775188401,0.486746798772752,1.5160069623298926,0.4544799646750663,2.1552117024376822
58,1.0,1.0000101942001327,0.8441610480266131,1.0641575859326546,0.8454342401747413,1.0450459631840499,0.8450361147708091,1.0446936439847747,0.8450361147708091,1.0446936439847747,0.8830082061624346,1.062013839573969,0.7640639623864112,1.044769315251592,0.5596777569993775,1.0681138548786462,0.43521184842394695,1.3224153701223886,0.3032350959564547,1.1992111004482429,0.4098168107304826,1.1406535399177067,0.3090205388329659,1.230789216550127
59,1.0,1.0000094649943658,0.7231929956750075,0.996067779443562,0.7376239940402968,1.0021169577064386,0.7277351467547841,0.9946308208110097,0.7277351467547841,0.9946308208110097,0.8139045418968798,1.027547876812501,0.6178447659159854,0.9722697874944868,0.3779650814579767,0.8884105771511625,0.18321954122148504,0.7198510057969315,0.15099454339121243,0.6428448493465718,0.30322321387476336,0.8457998204442365,0.19211073394273545,0.7522477415536704
60,1.0,1.000009099550753,0.7168047268238251,0.9696510041032289,0.7553336642825735,0.9905632623461552,0.7537332511266185,0.9884711409991838,0.7537332511266185,0.9884711409991838,0.8067669319944598,1.0031026610446343,0.6042330396899852,0.9213248448066085,0.45898306711509945,1.0133849484594661,0.3735982384455499,1.3023257156798558,0.42041973023256235,1.6970947903527094,0.5580016149285727,1.4191238799566037,0.4882685697749187,1.7186725047725337
61,1.0,1.0000096023686076,0.6470938424694873,0.9080443155780309,0.6298823516074914,0.8685632685900587,0.6232320361000218,0.8634549015386512,0.6232320361000218,0.8634549015386512,0.6967365309024897,0.9051345069457273,0.6364700970715775,0.9528822194040668,0.4832260968960228,0.9933559642778214,0.2709853078691157,0.9210831160435962,0.48308637997752435,1.7235573898847456,0.4842094424650468,1.5360442198778208,0.4416339559506898,2.1520907771808195
62,1.0,1.000009099550753,0.8654359227315335,1.1127489007591824,0.8657436888843436,1.1044847236361506,0.8708131117633782,1.1137208419827949,0.8708131117633782,1.1137208419827949,0.8751391231455239,1.0937078185376858,0.7581852315749122,1.0686602411825852,0.638232697332494,1.1888333351862446,0.4872599883834824,1.4012879391387314,0.45634832625226424,1.6177500371988645,0.42646266164852703,1.3079873278405012,0.356594251126618,1.6540222434471568
63,1.0,1.0000094649943658,0.8737043211359657,1.0758376886385221,0.8685957237191169,1.0701413481363795,0.8678595763263364,1.0707411873371582,0.8678595763263364,1.0707411873371582,0.8851292845984621,1.057127435250853,0.7456810124455008,1.057717977203275,0.5729469172776828,1.1176202133391966,0.44691979550798555,1.5057484343148209,0.44983341013371925,1.7620596175262526,0.5353383229391698,1.499414442656845,0.492534506782769,1.9583803386875485
