,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,ResNet101,0,0.9999999678519189,0.9966257159816903,0.9970439769790875,7.523311769765655e-06,1.000003435072519,0.4211065446746607,0.4200950883009479,4.243076271225954e-06,0.47394201909739964
1,ResNet101,1,1.020496501198525,9.762728183141718e-05,5.5315695046947895e-05,0.004932646212855521,1.0512914459259664,6.175394320873633e-29,3.0192514894023995e-31,0.0036289064378866873,2.3826240659185117e-05
2,ResNet101,2,1.0078791527152948,0.07443695178551804,0.050931143569225,0.004322718610887403,1.0544875565831981,4.5185253592997005e-45,7.820486395124764e-47,0.0026269017298889163,5.1522011286160076e-12
3,ResNet101,3,1.0078778312245247,0.07450568665903531,0.0509658700065386,0.004323041078912672,1.0544891835275907,4.673672169708595e-45,8.078581483602021e-47,0.0026277976551049623,5.144037744034231e-12
4,ResNet101,4,1.0078778312245247,0.07450568665903531,0.0509658700065386,0.004323041078912672,1.0544891835275907,4.673672169708595e-45,8.078581483602021e-47,0.0026277976551049623,5.144037744034231e-12
5,ResNet101,5,1.020315178356392,0.013401332461959787,0.006760409695433763,0.007957308624895333,1.1127792893935071,1.2899451116623803e-48,3.417505826258803e-52,0.005050007274172291,6.359378333292652e-13
6,ResNet101,6,1.0157305217049906,0.03002421047098994,0.0162455441403979,0.007057432026825047,1.1001387523899422,1.0414055948082061e-48,8.832229942921505e-51,0.00447546452256296,3.813450795130895e-13
7,ResNet101,7,1.048028800128389,0.013074378171368419,0.009168374626102822,0.018742815641888504,1.5559284221153156,4.228460396248487e-62,8.172375712775819e-66,0.019149917826755163,7.694172138284338e-26
8,ResNet101,8,1.0077938776744526,0.03001419441501862,0.026496011034375364,0.003496470189565919,1.0929018828975698,1.0916069936416684e-51,6.955763496073208e-52,0.003909454402530848,1.8628309304501146e-23
9,ResNet101,9,1.0022566208363395,0.0003654949130413387,0.00035739564107088923,0.0005990910257344154,1.016786502300589,2.09216670896021e-66,1.1728735193361956e-66,0.0005341904242222862,1.0037071042757499e-27
