,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('rearview_mirror', 1.0512881397349747)","('rearview_mirror', 1.0426406767185432)","('rearview_mirror', 1.0424051875727156)","('rearview_mirror', 1.0424051875727156)","('rearview_mirror', 1.1774868413068544)","('toiletseat', 1.4587661933961578)","('chicken', 2.532105007932539)","('backhoe', 49.59542776175964)","('backhoe', 72.13720405346484)"
1,"('coat', 1.0404868132388219)","('medal', 1.0290421826248008)","('medal', 1.028836251480892)","('medal', 1.028836251480892)","('coat', 1.1337096867027108)","('rearview_mirror', 1.4398473342100935)","('toiletseat', 2.516435813505994)","('pizza', 30.02645183992079)","('pizza', 34.8311502236107)"
2,"('bike', 1.039463276977674)","('coat', 1.0275347983545569)","('coat', 1.0273147466399308)","('coat', 1.0273147466399308)","('bathrobe', 1.1002488265266326)","('bathrobe', 1.3770825925037047)","('tub', 2.1736890018276505)","('bike', 28.593585270880528)","('toothbrush', 26.64291603723483)"
3,"('medal', 1.0381660975276898)","('coffeetable', 1.0245606841968593)","('coffeetable', 1.02432814615617)","('coffeetable', 1.02432814615617)","('coffeetable', 1.0948926905837597)","('television', 1.341838582860686)","('bike', 2.1058090640963183)","('rearview_mirror', 10.37122157217176)","('nail', 25.22946177304376)"
4,"('cheese', 1.0357963375005537)","('bike', 1.0240811863366175)","('bike', 1.0238536013795145)","('bike', 1.0238536013795145)","('bike', 1.0869482277535387)","('tub', 1.3348335077698077)","('bathrobe', 2.015021504468106)","('footballball', 9.929001371612378)","('bike', 20.106681522619017)"
5,"('coffeetable', 1.0347234148731903)","('bag', 1.0231831245143173)","('bag', 1.0230021411962757)","('bag', 1.0230021411962757)","('toiletseat', 1.0789851548121194)","('coat', 1.2980172806165577)","('doll', 1.9620398098974074)","('chair', 8.00810321031066)","('sushi', 16.83401698832179)"
6,"('burger', 1.0340623783278082)","('cheese', 1.0227141729884819)","('kayak', 1.022499718679718)","('kayak', 1.022499718679718)","('bag', 1.0786437026690614)","('bike', 1.2480956849332245)","('coat', 1.9323987379934011)","('toiletseat', 7.5666387048258015)","('bathrobe', 12.997523484724185)"
7,"('bag', 1.0315723547909363)","('kayak', 1.0227082257765203)","('cheese', 1.0220338528501804)","('cheese', 1.0220338528501804)","('lego', 1.0767985177234143)","('chair', 1.2320924138157956)","('rearview_mirror', 1.843987676784695)","('excersiceequipment', 6.535595722545692)","('rearview_mirror', 7.65322736041072)"
8,"('maplesyrup', 1.0311541739227075)","('scissors', 1.020486521875753)","('scissors', 1.0203913574114458)","('scissors', 1.0203913574114458)","('beachball', 1.07049246558872)","('belt', 1.2270335898465667)","('beachball', 1.6963966535561363)","('maplesyrup', 6.017476815774762)","('excersiceequipment', 7.001337882715269)"
9,"('pokerchips', 1.0288006132117007)","('burger', 1.019776225312629)","('burger', 1.0195575709975586)","('burger', 1.0195575709975586)","('belt', 1.0683657407537976)","('cheese', 1.2052861287026464)","('scissors', 1.660696681121876)","('tub', 5.907258207285041)","('chair', 6.677098497145483)"
