,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('seashell', 0.9525691319110108)","('horse', 0.9725079566636156)","('horse', 0.9730217091167872)","('horse', 0.9730217091167872)","('sleepingbag', 0.9025151735804648)","('sleepingbag', 0.46929064968860174)","('nail', 0.12638569328663973)","('sushi', -364.9652685302228)","('seashell', -33.36954829848104)"
1,"('sleepingbag', 0.9576487762071527)","('golfcart', 0.9752481272959225)","('golfcart', 0.9750667984602581)","('golfcart', 0.9750667984602581)","('seashell', 0.9200476376096834)","('golfcart', 0.6992944841141068)","('sleepingbag', 0.25535854789569856)","('tractor', -308.8746202267906)","('tractor', -25.93306376204382)"
2,"('golfcart', 0.9624883308826199)","('racket', 0.9771168585493405)","('racket', 0.9769154487476984)","('racket', 0.9769154487476984)","('footballball', 0.9294509194242156)","('backhoe', 0.7166054134696523)","('golfcart', 0.26033209350299846)","('toothbrush', -19.750550741486407)","('bat', -13.754683380950214)"
3,"('racket', 0.9735237566790818)","('board', 0.9800577972009751)","('board', 0.9794053065489391)","('board', 0.9794053065489391)","('racket', 0.9320288020734937)","('horse', 0.7547651486155584)","('kayak', 0.3093660973612498)","('chicken', -15.50820146597504)","('chicken', -13.017108166502958)"
4,"('toothbrush', 0.9762412144049029)","('seashell', 0.9814456108658304)","('seashell', 0.9812213660975452)","('seashell', 0.9812213660975452)","('boxing_gloves', 0.9408831265407429)","('kayak', 0.7727110315771912)","('trafficlight', 0.4843504701236177)","('seashell', -14.739321945337476)","('carpet', -9.75208418801245)"
5,"('horse', 0.9799832971868505)","('toothbrush', 0.9835408019353353)","('toothbrush', 0.9846940472814352)","('toothbrush', 0.9846940472814352)","('nail', 0.948951326970452)","('seashell', 0.8207321810508447)","('footballball', 0.5628764059888041)","('racket', -6.281691530120069)","('racket', -7.203587776833822)"
6,"('bowlingball', 0.9821049851403091)","('garbagebag', 0.9849608170740293)","('garbagebag', 0.9847914323244048)","('garbagebag', 0.9847914323244048)","('bowlingball', 0.9610953000490111)","('footballball', 0.8501714165594615)","('tractor', 0.7268098380793655)","('horse', -4.557074994658077)","('doll', -5.869623433249727)"
7,"('beachumbrella', 0.9826293385594329)","('sleepingbag', 0.986153492578408)","('sleepingbag', 0.9859270121991653)","('sleepingbag', 0.9859270121991653)","('fridge', 0.9626651787111019)","('nail', 0.8663448695791766)","('bag', 0.7847187123030357)","('carpet', -3.8093583486588822)","('horse', -5.375601434949171)"
8,"('computer', 0.9828096419520651)","('television', 0.9893079544264255)","('television', 0.9890519301049056)","('television', 0.9890519301049056)","('garbagebag', 0.9651320696371368)","('tractor', 0.8820850887394367)","('burger', 0.7868546087632828)","('doll', -3.7829473439044174)","('trafficlight', -0.41026018943558024)"
9,"('board', 0.9857450293865393)","('beachumbrella', 0.9902766728468669)","('computer', 0.990737842635411)","('computer', 0.990737842635411)","('horse', 0.9652512588399691)","('bat', 0.8930884076751315)","('horse', 0.8006038516880977)","('bat', -3.217190248482816)","('kayak', -0.13680248996794006)"
