models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio
"AlexNet_L2,ResNet18_Places365_L2",0.8951778609851666,{6.487571351725623e-26},0.8237167047843872,{1.1471646941765204e-18}
"AlexNet_L2,ResNet18_Places365_L9",0.28888728454750007,{0.014552010175889231},0.4598667363606439,{5.469563951177512e-05}
"AlexNet_L12,ResNet18_Places365_L9",0.7188669036582336,{1.667502001260753e-12},0.8258109162259228,{7.883156014282285e-19}
"AlexNet_L12,ResNet18_Places365_L2",0.28342091153603993,{0.016616178500312852},0.4964331574214205,{1.0677428870403864e-05}
