,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('sleepingbag', 0.9217456779701028)","('sushi', 0.9340750768866789)","('sushi', 0.9340728097003522)","('sushi', 0.9340728097003522)","('sushi', 0.8355517899544505)","('kayak', 0.8664111640729582)","('tractor', 0.6371316007695064)","('horse', 0.9358972607903537)","('tractor', 0.987833082077142)"
1,"('golfcart', 0.9542606973398606)","('bowlingball', 0.9389764015763793)","('bowlingball', 0.9389738685005623)","('bowlingball', 0.9389738685005623)","('sleepingbag', 0.9015021916087463)","('sleepingbag', 0.8804406961828163)","('golfcart', 0.7726633170300325)","('tractor', 0.9439022604208053)","('beachumbrella', 0.993178565471483)"
2,"('seashell', 0.9547106369157379)","('mailbox', 0.9464694322934953)","('mailbox', 0.9465274564686236)","('mailbox', 0.9465274564686236)","('nail', 0.9106419264184384)","('golfcart', 0.9043450004365968)","('kayak', 0.8026593908640117)","('toothbrush', 0.9531120032583521)","('horse', 0.9947762200404675)"
3,"('nail', 0.9566361264158925)","('sleepingbag', 0.9474975101608788)","('sleepingbag', 0.947541123605285)","('sleepingbag', 0.947541123605285)","('seashell', 0.9125307165317206)","('chicken', 0.9130864412885313)","('bag', 0.8690051474681045)","('chicken', 0.9673185871429247)","('kayak', 0.9952415442201031)"
4,"('racket', 0.9656847172517602)","('golfcart', 0.9486020282361055)","('golfcart', 0.9486749490838133)","('golfcart', 0.9486749490838133)","('chicken', 0.918878917566404)","('bag', 0.9205176498331861)","('beachumbrella', 0.8692761888689167)","('highchair', 0.9727305678382702)","('footballball', 0.9957124489335548)"
5,"('beachball', 0.970172043899025)","('nail', 0.9577006297931979)","('nail', 0.9576683056834812)","('nail', 0.9576683056834812)","('golfcart', 0.9258005764482643)","('bowlingball', 0.9305083445013841)","('mailbox', 0.8790776918002946)","('beachball', 0.9783345082500228)","('bathrobe', 0.9959385907739065)"
6,"('bat', 0.9728926097863153)","('bat', 0.9630269837380189)","('bat', 0.9629164125296)","('bat', 0.9629164125296)","('bowlingball', 0.9417372696970837)","('medal', 0.945909991828835)","('bat', 0.8973022308303025)","('coat', 0.9788824192139404)","('bat', 0.9962960885968104)"
7,"('beachumbrella', 0.9817634983390306)","('backhoe', 0.9760737584246663)","('backhoe', 0.9760708392235917)","('backhoe', 0.9760708392235917)","('kayak', 0.9489562986590286)","('mailbox', 0.9460019121806005)","('beachball', 0.8987732479245977)","('bathrobe', 0.9805351267968341)","('golfcart', 0.9964002097704766)"
8,"('garbagebag', 0.9821708948977858)","('seashell', 0.9765238579646717)","('seashell', 0.9765213479752504)","('seashell', 0.9765213479752504)","('burger', 0.9498177593761788)","('nail', 0.9480849609453847)","('backhoe', 0.9211434056172682)","('boxing_gloves', 0.9809711860891075)","('carpet', 0.9965917856989686)"
9,"('computer', 0.9831091338257488)","('belt', 0.977747032507534)","('belt', 0.9777447760681853)","('belt', 0.9777447760681853)","('bat', 0.95370349214961)","('sushi', 0.9497224659421335)","('pizza', 0.9340254456280302)","('beachumbrella', 0.9821058462961564)","('maplesyrup', 0.9971550710515491)"
