,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,GRCNN55,0,1.0000015532196633,0.8046411674315926,0.804145775305996,6.211592705344172e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.5230442595956245
1,GRCNN55,1,1.0614684239881145,3.4069288263907122e-15,1.0293357057095262e-15,0.006080055837741591,1.0915895608169783,5.00337358982495e-29,5.416552990687831e-33,0.006417611809303005,0.00045088813104196996
2,GRCNN55,2,1.0583323950022845,6.877515093384117e-16,1.255229706674068e-16,0.005555803878451111,1.0844595841313358,3.491790991440119e-34,9.999308602901152e-37,0.005170859045845689,0.00024365384679694567
3,GRCNN55,3,1.0585772102241537,1.2904174497020406e-15,2.3747960190817795e-16,0.005661935163037892,1.0850476318286988,4.526173986939888e-34,9.620251804387339e-37,0.005221522900539659,0.00022605871459176156
4,GRCNN55,4,1.0585772102241537,1.2904174497020406e-15,2.3747960190817795e-16,0.005661935163037892,1.0850476318286988,4.526173986939888e-34,9.620251804387339e-37,0.005221522900539659,0.00022605871459176156
5,GRCNN55,5,1.0567347070620197,7.965117005432975e-18,1.8568394994304328e-18,0.004889283269772003,1.079851226077322,4.223298018056582e-33,4.7744614734270877e-35,0.005023751245607175,0.0007302053901742265
6,GRCNN55,6,1.063073067357094,6.335018046605406e-20,5.1930535760477487e-20,0.004911754826884946,1.109231753558513,4.272087032234306e-53,3.9745364431485976e-55,0.004404613971938012,4.174205721126216e-10
7,GRCNN55,7,1.1632783376810574,2.9118610378340752e-31,6.831261688868724e-31,0.00792064895841104,1.2945855001215814,1.60003575975023e-65,3.594051139789275e-70,0.009346620726902394,4.1617847474120774e-15
8,GRCNN55,8,1.4320615850191205,6.8562633892138575e-37,5.921313073885196e-37,0.016990186724335606,1.8394360861528158,1.6958613744683236e-69,1.0137618271113537e-78,0.02474708694067127,2.759859150657174e-19
9,GRCNN55,9,1.7460870771505297,5.972165331806226e-38,6.812062721380783e-36,0.028230869188048704,2.3945379549248695,8.915115619027112e-84,2.624118505220215e-77,0.0318421904140219,3.4910350740821405e-25
10,GRCNN55,10,1.5057051173769271,4.7866683766763915e-37,2.1949342578274275e-40,0.01977337759520552,1.9516712720306282,3.2025958004372115e-63,1.0165685539547766e-75,0.03152601399686248,1.889477158328241e-16
11,GRCNN55,11,1.953132153002282,1.21121848785663e-34,2.6664876542226184e-40,0.040707990387186574,2.8077627039264343,6.374922958393324e-59,4.679725771667147e-77,0.06500276905207916,2.691259922025382e-15
