,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('60street', 1.0000101942001327)","('42horseriding', 1.0984256063970568)","('42horseriding', 1.0984256063970568)","('71valentines', 1.0909315412543446)","('30emergency', 1.1985612468811593)","('30emergency', 1.1985612468811593)","('08beachball-pail', 1.115317440217162)","('30emergency', 1.1604088421728451)","('30emergency', 1.1604088421728451)","('66tools', 1.2586726872026184)","('66tools', 1.1487055655946197)","('63teethhygene', 1.09658002938903)","('60street', 1.1148428937334285)","('63teethhygene', 1.1351782905708427)","('63teethhygene', 1.1351782905708427)","('63teethhygene', 1.1127811490208568)","('66tools', 1.364909646071445)","('71valentines', 1.0249117831003658)","('34football', 1.5063932640861348)"
1,"('61street', 1.0000101942001327)","('65toilet', 1.0982741178199145)","('65toilet', 1.0982741178199145)","('50lock', 1.0887094573608753)","('08beachball-pail', 1.1878193025222368)","('08beachball-pail', 1.1878193025222368)","('71valentines', 1.108470689039382)","('63teethhygene', 1.1564027766903615)","('63teethhygene', 1.1564027766903615)","('63teethhygene', 1.2266759372198455)","('63teethhygene', 1.1473918722258365)","('66tools', 1.0857845175090577)","('63teethhygene', 1.1104219891489115)","('71valentines', 1.1312963912608405)","('71valentines', 1.1312963912608405)","('71valentines', 1.1101318914700449)","('07bathrobe-slippers', 1.311921613473077)","('41hiking', 1.0214400848133096)","('14boat', 1.500627640685928)"
2,"('21cheese', 1.0000101942001327)","('20casino', 1.095972213812355)","('20casino', 1.095972213812355)","('57pancakes', 1.0881814860727494)","('71valentines', 1.143356584854042)","('71valentines', 1.143356584854042)","('30emergency', 1.1081313502935948)","('24cleaning', 1.1503229021867227)","('24cleaning', 1.1503229021867227)","('24cleaning', 1.1945228646824995)","('50lock', 1.1068168926298942)","('71valentines', 1.0780874250467614)","('71valentines', 1.1073435562472043)","('60street', 1.1302168534641746)","('60street', 1.1302168534641746)","('30emergency', 1.0784260781447859)","('57pancakes', 1.2741368396799606)","('07bathrobe-slippers', 1.0211726279733706)","('42horseriding', 1.494936533922946)"
3,"('52motorbike', 1.0000100395066203)","('08beachball-pail', 1.0906423407021055)","('08beachball-pail', 1.0906423407021055)","('42horseriding', 1.0795412626158214)","('20casino', 1.1420967652733016)","('20casino', 1.1420967652733016)","('42horseriding', 1.1076064208809087)","('71valentines', 1.1436954371479748)","('71valentines', 1.1436954371479748)","('61street', 1.1778834665135303)","('24cleaning', 1.1061728943868685)","('48livingroom', 1.0777533970471556)","('08beachball-pail', 1.104272795171661)","('30emergency', 1.1068446708589992)","('30emergency', 1.1068446708589992)","('60street', 1.074063371344107)","('20casino', 1.2558907308558311)","('48livingroom', 1.0166273613768682)","('28construction', 1.476448382879566)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('03backyard', 1.0826466817656804)","('03backyard', 1.0826466817656804)","('20casino', 1.074682279688619)","('42horseriding', 1.1395988861074573)","('42horseriding', 1.1395988861074573)","('50lock', 1.0908359228368198)","('66tools', 1.1378457249589247)","('66tools', 1.1378457249589247)","('31farm', 1.1723227037552673)","('30emergency', 1.1001256915142046)","('54office_supply', 1.0751093468215236)","('50lock', 1.1013020310951949)","('24cleaning', 1.095806704606011)","('24cleaning', 1.095806704606011)","('53ocean', 1.073411610129936)","('71valentines', 1.2182533332571883)","('55office-computer-printer', 1.0164416260511726)","('38groceryshopping', 1.3395133212447534)"
5,"('67toy', 1.0000098894377727)","('50lock', 1.0796250509528489)","('50lock', 1.0796250509528489)","('65toilet', 1.070756665697083)","('14boat', 1.1351598019019673)","('14boat', 1.1351598019019673)","('48livingroom', 1.0880027287110041)","('65toilet', 1.121600295919288)","('65toilet', 1.121600295919288)","('50lock', 1.1671536082638685)","('71valentines', 1.0996067243544336)","('60street', 1.0746535318577164)","('30emergency', 1.0966419997370636)","('72winning', 1.0935744699680559)","('72winning', 1.0935744699680559)","('61street', 1.0625931715011874)","('30emergency', 1.2034390118596274)","('34football', 1.0159342578961834)","('20casino', 1.3043982301487207)"
6,"('23childEating', 1.0000098894377727)","('71valentines', 1.077297264983288)","('71valentines', 1.077297264983288)","('08beachball-pail', 1.070314826365129)","('53ocean', 1.1331339580115434)","('53ocean', 1.1331339580115434)","('31farm', 1.082275820446038)","('08beachball-pail', 1.1138625221603995)","('08beachball-pail', 1.1138625221603995)","('09beachumbrella-chair', 1.1665012516885673)","('54office_supply', 1.0995705230182116)","('50lock', 1.0745057359948198)","('64tennis', 1.0952775340649232)","('50lock', 1.0925538127191632)","('50lock', 1.0925538127191632)","('57pancakes', 1.0572846986546782)","('09beachumbrella-chair', 1.199390122185046)","('03backyard', 1.0149546451806493)","('16boxing', 1.3031396463435068)"
7,"('18car', 1.0000098894377727)","('41hiking', 1.0703449297625933)","('41hiking', 1.0703449297625933)","('04barber', 1.0665575518150894)","('65toilet', 1.1225226910459802)","('65toilet', 1.1225226910459802)","('20casino', 1.081370668206334)","('20casino', 1.1137064455269148)","('20casino', 1.1137064455269148)","('48livingroom', 1.1662120695388145)","('31farm', 1.087528380127089)","('30emergency', 1.0709404994481848)","('66tools', 1.0833424918278283)","('07bathrobe-slippers', 1.091195182620744)","('07bathrobe-slippers', 1.091195182620744)","('27coffeemaking', 1.0558177259834525)","('34football', 1.193820116323124)","('64tennis', 1.0146259088827088)","('63teethhygene', 1.2938986203675862)"
8,"('11biking', 1.0000098894377727)","('57pancakes', 1.0696962059957162)","('57pancakes', 1.0696962059957162)","('30emergency', 1.058023198829115)","('57pancakes', 1.1137999940235792)","('57pancakes', 1.1137999940235792)","('03backyard', 1.078161766022213)","('50lock', 1.111613544479715)","('50lock', 1.111613544479715)","('30emergency', 1.165034066288512)","('61street', 1.0798592131053977)","('24cleaning', 1.0706301694977751)","('61street', 1.081938173399976)","('53ocean', 1.0899187862155144)","('53ocean', 1.0899187862155144)","('08beachball-pail', 1.0539290335067926)","('46kitchen2', 1.1705384237889513)","('53ocean', 1.0133921358645317)","('31farm', 1.2903383418917003)"
9,"('54office_supply', 1.0000098894377727)","('10bed-dresser', 1.0678285523359305)","('10bed-dresser', 1.0678285523359305)","('53ocean', 1.0560288579347266)","('10bed-dresser', 1.1134563170367606)","('10bed-dresser', 1.1134563170367606)","('53ocean', 1.074525058402537)","('69tub', 1.108467538410257)","('69tub', 1.108467538410257)","('54office_supply', 1.1593165589294137)","('48livingroom', 1.0759833308120879)","('72winning', 1.068180981578994)","('09beachumbrella-chair', 1.078197174793326)","('56office-desk-chair', 1.08599946949172)","('56office-desk-chair', 1.08599946949172)","('03backyard', 1.0515779847734719)","('64tennis', 1.1680809361485558)","('20casino', 1.013166984559153)","('41hiking', 1.2351658771886556)"
