models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio
"AlexNet_L2,Vgg16_L2",0.7700147713371583,{4.1390861455880857e-29},0.6226408020558187,{1.3109049363250293e-16}
"AlexNet_L2,Vgg16_L30",0.2603246827816157,{0.0017549957924407112},-0.05786020561824084,{0.49399845916134255}
"AlexNet_L12,Vgg16_L30",0.7778526041346692,{4.929665481709944e-30},0.45854653120967703,{9.541056202058306e-09}
"AlexNet_L12,Vgg16_L2",0.2008521098923676,{0.016541125681084796},0.32694350767426494,{7.149728688206285e-05}
