,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios,Layer13inVals,Layer13inOutRatios
125,1.0,1.000009397770763,0.864701722145452,1.1041221535217618,0.8727845089540981,1.107803025384356,0.8727845089540981,1.107803025384356,0.9138611630433834,1.0496404724858424,0.9139184267383189,1.049634407296947,0.9139184267383189,1.049634407296947,0.8930197105669944,1.09656928959972,0.8785808358844867,1.1088632857606027,0.6561752018678975,1.5369359925673114,0.6444524706612874,1.5552413921984136,0.7092525780532813,1.6643207134384777,0.6872489251569004,1.7044930444890531
126,1.0,1.000009397770763,0.909721204963421,1.116302594317881,0.9097808418425487,1.115803243956433,0.9097808418425487,1.115803243956433,0.9281716373918355,1.0723809410940033,0.928168542638274,1.0723682751380985,0.928168542638274,1.0723682751380985,0.8969720752247812,1.132035525025302,0.8901414454250869,1.1484461583371819,0.7532484820291898,1.8182450456658295,0.7437692547062417,1.8481520958244226,0.7512558380816163,1.7497761424126346,0.7580053866232952,1.831952986459311
127,1.0,1.000009397770763,0.7841661271245007,1.0339039690536234,0.783048084474769,1.0306388336165724,0.783048084474769,1.0306388336165724,0.8206341477308886,0.9925250911719573,0.8206971221474199,0.9925535028458069,0.8206971221474199,0.9925535028458069,0.73435072349182,0.9904794311468824,0.7069478812807027,0.9817475684831295,0.42834432803061706,1.316183465342798,0.40676043793466377,1.3074106466812376,0.49290848408083665,1.303918173786947,0.44762722534397315,1.2535521881288396
128,1.0,1.0000094649943658,0.8542309353661895,1.1008006570309263,0.8543110462778536,1.100222660888649,0.8543110462778536,1.100222660888649,0.8925750469980249,1.0682525974621768,0.89263187180233,1.0682818201787323,0.89263187180233,1.0682818201787323,0.8287620914052202,1.0999483795420468,0.8121330478869068,1.1145686425939896,0.5104354845213098,1.9114214428276282,0.5027950929116278,1.9459244073891195,0.5186556947265403,1.9639295658918126,0.5185007726139561,2.062989758985598
129,1.0,1.000009397770763,0.7095559857799243,0.9652324915050575,0.7136318702830085,0.9678783915450957,0.7136318702830085,0.9678783915450957,0.8309834995188169,0.9885163320002994,0.8309755751516882,0.9885049879622922,0.8309755751516882,0.9885049879622922,0.799515250358261,1.0242195155747988,0.7778199773000164,1.029521240144481,0.5026239571209558,1.3606615715320114,0.4963198966351999,1.3835192726784706,0.5366694188169806,1.3930358569814743,0.4988121818124883,1.388780542767593
130,1.0,1.000009397770763,0.8807140049072519,1.0789504991917005,0.8806166831934579,1.0778294919449267,0.8806166831934579,1.0778294919449267,0.899245257409653,1.0425381438984185,0.8993536723885349,1.0426079492051128,0.8993536723885349,1.0426079492051128,0.8701046511064824,1.0868432920096962,0.8534913600645776,1.1001545431181337,0.538931928180307,2.1364805040264905,0.5317205382054035,2.1735951261110373,0.49533364022383103,1.8946153580199119,0.4853336525057955,1.9927161097017292
131,1.0,1.0000094649943658,0.8690471984359295,1.1562854150482555,0.8690317915874527,1.1546188826239634,0.8690317915874527,1.1546188826239634,0.9324059812739354,1.081289195465783,0.9324036197881094,1.0812774453147267,0.9324036197881094,1.0812774453147267,0.8916860874098974,1.119431946957639,0.8767117093978403,1.1340379178157691,0.5324685743607646,1.7779578193791084,0.5277733454000652,1.7954876915954632,0.5180464027760755,1.6648095488599834,0.5026356380027212,1.6745535360483712
132,1.0,1.000009397770763,0.899615841993357,1.3322646379807737,0.9004233114347041,1.3306356089274896,0.9004233114347041,1.3306356089274896,0.9571951139560391,1.1158154553359005,0.9571932397637543,1.115813625676083,0.9571932397637543,1.115813625676083,0.9304116067924284,1.1598188539370151,0.9234826390069305,1.1818266179635288,0.7593056222520354,1.930223072523089,0.7580118616613791,1.9580917293952604,0.799100830215702,1.8329414489971045,0.7897701773712307,1.8688069510318792
133,1.0,1.000009397770763,0.801642957861047,1.0411485339761946,0.8050792683564201,1.0353565664363167,0.8050792683564201,1.0353565664363167,0.8697729109670103,1.0273209846902875,0.8697761202295847,1.0272846294725764,0.8697761202295847,1.0272846294725764,0.8395067281171569,1.0651333266370893,0.8136648725283795,1.0681477980247571,0.5860675747864696,1.5046860017233958,0.5684006280187252,1.511288652880562,0.6817697972293747,1.5700112728097761,0.6598972198953301,1.5917014671641654
134,1.0,1.000009397770763,0.8181424534718325,1.0631725155126734,0.8181102761580572,1.0623998981884268,0.8181102761580572,1.0623998981884268,0.8835246483043694,1.111208135539074,0.8835215651406344,1.1112072050796713,0.8835215651406344,1.1112072050796713,0.8750056337614975,1.1849461755350434,0.8577177517638747,1.2198799957782247,0.6189473738323631,3.1237383684693962,0.6092436278340992,3.3216691363260575,0.6674020217100798,2.8841317197090515,0.6605902530049939,3.178125083776605
135,1.0,1.000009397770763,0.8972667118137944,1.1544715466595372,0.8965284243471242,1.1528181661782138,0.8965284243471242,1.1528181661782138,0.8877870767518008,1.0755564130800745,0.8877804700833485,1.0755336865304983,0.8877804700833485,1.0755336865304983,0.8829863079901432,1.135845275211924,0.8725564771857316,1.1547860456139576,0.685241711357726,2.2354680889501193,0.6675394378095746,2.2696005265882797,0.737875080386589,2.366007066737558,0.7239363921306623,2.5268051292158704
136,1.0,1.000009397770763,0.9007809380884444,1.10047958623076,0.900751843531701,1.0993884537050582,0.900751843531701,1.0993884537050582,0.9373370516941794,1.0846010038567253,0.9373339549776659,1.0845824880873152,0.9373339549776659,1.0845824880873152,0.9015150933328858,1.107957422213716,0.8855426196131934,1.1211670085807506,0.5977712432059976,1.7400418404050768,0.5926307075969804,1.7583619206779069,0.5838088189258773,1.7832928704299122,0.5740668497107189,1.7900441378934442
137,1.0,1.000009397770763,0.9093840467082476,1.1258155580812705,0.9093702025061485,1.1246213120007729,0.9093702025061485,1.1246213120007729,0.9375437694752389,1.094403042180605,0.937541266910805,1.0943899061036448,0.937541266910805,1.0943899061036448,0.9051674010781101,1.146064658895711,0.8910385632556681,1.163969668624584,0.4841943627168394,1.6596473654936303,0.4779431063672043,1.667495699915616,0.519381580068637,1.8063629120603049,0.5186195267453073,1.8198133667713152
