,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('60street', 1.0000101942001327)","('57pancakes', 1.1120357355652404)","('08beachball-pail', 1.0856939205505134)","('08beachball-pail', 1.085775567479033)","('08beachball-pail', 1.085775567479033)","('08beachball-pail', 1.1792478610762973)","('08beachball-pail', 1.1487338279678447)","('66tools', 1.3794609590622497)","('63teethhygene', 1.076010988330992)","('66tools', 1.013868609192546)"
1,"('61street', 1.0000101942001327)","('71valentines', 1.0916583106119269)","('42horseriding', 1.0730900307510018)","('42horseriding', 1.0730941008818962)","('42horseriding', 1.0730941008818962)","('42horseriding', 1.1510708305386201)","('42horseriding', 1.1362457912855395)","('55office-computer-printer', 1.3388125811570368)","('31farm', 1.0668476021604432)","('53ocean', 1.01361991621037)"
2,"('21cheese', 1.0000101942001327)","('08beachball-pail', 1.0879929765235787)","('41hiking', 1.0703596695773525)","('41hiking', 1.0703674505016834)","('41hiking', 1.0703674505016834)","('71valentines', 1.1502089637191324)","('71valentines', 1.1316278964338833)","('63teethhygene', 1.3256654624364126)","('71valentines', 1.0571413736405597)","('45kitchen', 1.0135592627048653)"
3,"('52motorbike', 1.0000100395066203)","('03backyard', 1.0859621915050306)","('20casino', 1.0675776401983932)","('20casino', 1.0675722528027807)","('20casino', 1.0675722528027807)","('41hiking', 1.1333649501994805)","('53ocean', 1.1249757712444914)","('20casino', 1.287901008454029)","('53ocean', 1.0569727345457818)","('63teethhygene', 1.0131594754121862)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('18car', 1.078791086116632)","('50lock', 1.0672671055091076)","('50lock', 1.067275481901675)","('50lock', 1.067275481901675)","('53ocean', 1.1324282121606617)","('48livingroom', 1.1172767468824871)","('31farm', 1.2609262227138947)","('48livingroom', 1.054651609616435)","('42horseriding', 1.0123774876113993)"
5,"('67toy', 1.0000098894377727)","('46kitchen2', 1.0743851397027544)","('71valentines', 1.06111162626397)","('71valentines', 1.0611019370171118)","('71valentines', 1.0611019370171118)","('31farm', 1.130867292269101)","('37golf', 1.1106637539222435)","('24cleaning', 1.2591227050273641)","('61street', 1.048655700955948)","('55office-computer-printer', 1.0112864881031653)"
6,"('23childEating', 1.0000098894377727)","('65toilet', 1.0722812085994393)","('14boat', 1.0587613619987302)","('14boat', 1.0587574406822169)","('14boat', 1.0587574406822169)","('48livingroom', 1.1268456424397062)","('30emergency', 1.1039948527898042)","('53ocean', 1.2547588173852422)","('07bathrobe-slippers', 1.0406456766125636)","('48livingroom', 1.010997131285052)"
7,"('18car', 1.0000098894377727)","('45kitchen', 1.069657855654438)","('46kitchen2', 1.0569127598262162)","('46kitchen2', 1.0569198884044548)","('46kitchen2', 1.0569198884044548)","('65toilet', 1.1191326413975884)","('50lock', 1.0947054532451779)","('10bed-dresser', 1.2429178375168544)","('66tools', 1.0383721592509916)","('64tennis', 1.0106783057182864)"
8,"('11biking', 1.0000098894377727)","('20casino', 1.069311632503125)","('31farm', 1.055271580923594)","('31farm', 1.0552779583768086)","('31farm', 1.0552779583768086)","('50lock', 1.1176322872997593)","('14boat', 1.093771960590349)","('34football', 1.231889818102998)","('34football', 1.0379557116174982)","('71valentines', 1.0103890100407635)"
9,"('54office_supply', 1.0000098894377727)","('42horseriding', 1.0678531214708569)","('30emergency', 1.0542186706001593)","('30emergency', 1.0542259417928208)","('30emergency', 1.0542259417928208)","('14boat', 1.1164673460160468)","('20casino', 1.0936111870270344)","('71valentines', 1.2172335248029202)","('45kitchen', 1.0374563800020224)","('10bed-dresser', 1.0093757594710913)"
