,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.9019515135387205)","('stove ', 0.972563344591582)","('stove ', 0.9725592542117706)","('stove ', 0.9725592542117706)","('umbrella ', 0.9820817466484895)","('computer ', 1.0061813371133959)","('cheesegrater ', 1.1110906733734738)","('basketballrim ', 1.0019922810292465)","('basketballrim ', 1.0051171979615372)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9503870380767951)","('chopsticks ', 0.9770288332751392)","('chopsticks ', 0.9770010859114215)","('chopsticks ', 0.9770010859114215)","('balloon ', 0.9907067506034382)","('washer ', 1.0110360711799184)","('basketballrim ', 1.1694147045908945)","('cheesegrater ', 1.0101023982157296)","('cheesegrater ', 1.0056492273634021)"
2,"('bowlingpin ', 1.0000081872830517)","('stroller ', 0.9643423540283079)","('rearview_mirror ', 0.980516493398461)","('rearview_mirror ', 0.9804740749861031)","('rearview_mirror ', 0.9804740749861031)","('bathrobe ', 1.0050978096400527)","('balloon ', 1.0121737523546661)","('laundry ', 1.1826359574741396)","('dustpan ', 1.011617216849225)","('dustpan ', 1.006437204169348)"
3,"('tennisball ', 1.0000081872830517)","('washer ', 0.9711411486116678)","('bat ', 0.9897957970940585)","('bat ', 0.9900393379547267)","('bat ', 0.9900393379547267)","('garbagebag ', 1.0078125807131306)","('chair ', 1.0270814307279885)","('ovenmitt ', 1.2098102824659294)","('laundry ', 1.013828029661936)","('chair ', 1.0066275050040911)"
4,"('helmet ', 1.0000081872830517)","('broom ', 0.9811243819225066)","('bathrobe ', 0.9950435900149543)","('bathrobe ', 0.9950327635685442)","('bathrobe ', 0.9950327635685442)","('fish ', 1.0130000826325762)","('bathrobe ', 1.0328938886516332)","('chair ', 1.2104104633473711)","('tub ', 1.0244075838948186)","('ovenmitt ', 1.0078432767110654)"
5,"('beachpail ', 1.0000081872830517)","('toothbrush ', 0.9824050360109949)","('helmet ', 0.9960217367153001)","('helmet ', 0.9960193022629606)","('helmet ', 0.9960193022629606)","('ironing ', 1.0146536363148788)","('basketballrim ', 1.0358566761055956)","('ironing ', 1.2233670279457147)","('ovenmitt ', 1.0294364883832614)","('medal ', 1.007909031182161)"
6,"('bat ', 1.0000081872830517)","('beachpail ', 0.9825562647856624)","('strecher ', 0.9989934668696601)","('strecher ', 0.999003662837506)","('strecher ', 0.999003662837506)","('nail ', 1.0211469012916505)","('dustpan ', 1.0403350729581955)","('coffeemaker ', 1.223527264212172)","('toiletseat ', 1.0353910247898206)","('trophy ', 1.0081793917963595)"
7,"('deskchair ', 1.0000085154874656)","('lifejacket ', 0.9844078692705798)","('garbagebag ', 1.0061940795611204)","('garbagebag ', 1.006193355905608)","('garbagebag ', 1.006193355905608)","('desk ', 1.0268737791548683)","('garbagebag ', 1.0421959593343664)","('boxing_gloves ', 1.253228273453771)","('cake ', 1.042074339231869)","('laundry ', 1.0087356214793695)"
8,"('lamp ', 1.0000085154874656)","('bowlingball ', 0.9846853289263757)","('umbrella ', 1.0066275336742865)","('umbrella ', 1.0066145086575229)","('umbrella ', 1.0066145086575229)","('computer ', 1.0292771859008338)","('cheesegrater ', 1.042890219023474)","('tub ', 1.256810604219665)","('lego ', 1.042525361613174)","('pokerchips ', 1.0089562009644657)"
9,"('chair ', 1.0000085777357148)","('crib ', 0.9915887153555575)","('fishbowl ', 1.0079685822596505)","('fishbowl ', 1.0079701430040473)","('fishbowl ', 1.0079701430040473)","('cheesegrater ', 1.0329343590382085)","('fish ', 1.0466599192066763)","('birdcage ', 1.2596621757788742)","('boxing_gloves ', 1.0436167069275188)","('toiletseat ', 1.009116196100735)"
