,ResNet18
0,"(1.0010661589534717, 0.031030934687234422)"
1,"(1.0019513873735992, 0.051678988343598124)"
2,"(1.001966910699194, 0.051630694585922884)"
3,"(1.001966910699194, 0.051630694585922884)"
4,"(0.9995912182696451, 0.10491779732668612)"
5,"(1.0022223622898903, 0.09711669505722946)"
6,"(1.0029367198994632, 0.12078942169937562)"
7,"(0.9953250195594252, 0.1482727857545327)"
8,"(1.000992173396136, 0.009097036322125057)"
