,ResNet18
0,"(0.8666378452104833, 0.033859984319022186)"
1,"(0.7652932483497759, 0.05073272317455591)"
2,"(0.7653238898414687, 0.05080266720328575)"
3,"(0.7653238898414687, 0.05080266720328575)"
4,"(0.5626781439885319, 0.06462379072508836)"
5,"(0.49990612400795414, 0.0477385390148101)"
6,"(0.28618963596816627, 0.06201487710526926)"
7,"(0.10506205115583159, 0.007596898150520923)"
8,"(0.7379008558231201, 0.010190218952064806)"
