,ResNet18
0,"(0.8678516334715684, 0.006757118192791505)"
1,"(0.7666166466906418, 0.008775090948227881)"
2,"(0.766659867766051, 0.008781216408868222)"
3,"(0.766659867766051, 0.008781216408868222)"
4,"(0.5624176222265007, 0.012124779851501554)"
5,"(0.4996551063068079, 0.008155976709954488)"
6,"(0.2864471734513385, 0.009511614752723)"
7,"(0.10461594914005898, 0.0024651053415025515)"
8,"(0.7386099012331617, 0.001518114745191424)"
