,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,ResNet50_Places365,0,0.9999999690994367,0.9967528011023019,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.42539012584685376,0.42437760882248077,4.239378711188689e-06,0.4743247034990712,True
1,ResNet50_Places365,1,1.0248808192360264,2.303119056038137e-05,1.1207228810257696e-05,0.005456834359687367,1.0614923715973583,2.8567895815251784e-30,3.9154388050084044e-33,0.004196920617277597,3.016363633613568e-06,True
2,ResNet50_Places365,2,1.0111553476570874,0.00012231092725795755,7.925073718827195e-05,0.0027272254537284795,1.0302776499160178,4.146683164605746e-34,4.831166110423299e-35,0.0018733245163520568,2.878078967167188e-08,True
3,ResNet50_Places365,3,1.0110459642161957,0.0001286608302815411,8.374847543283477e-05,0.002710190591326769,1.0301610053191943,4.317212800695428e-34,4.5625652696576874e-35,0.0018669133411350443,2.3484510773450604e-08,True
4,ResNet50_Places365,4,1.0110459642161957,0.0001286608302815411,8.374847543283477e-05,0.002710190591326769,1.0301610053191943,4.317212800695428e-34,4.5625652696576874e-35,0.0018669133411350443,2.3484510773450604e-08,True
5,ResNet50_Places365,5,1.0170419717580836,4.9494927536165825e-06,3.4359448536481284e-06,0.0034276492273050095,1.0531081466360894,8.468574335617745e-47,7.890022476263522e-48,0.002469065112615636,1.3136729859463065e-12,True
6,ResNet50_Places365,6,1.0318160909441694,0.00010379635314870508,4.716774542761255e-05,0.00768934834410249,1.135360363869408,3.3564081238142665e-56,3.0541532554331988e-58,0.005213821068115119,2.528188384637231e-15,True
7,ResNet50_Places365,7,1.0980305140960342,4.260934668326971e-05,1.0995787160047343e-05,0.022332222019098208,1.582165390565858,3.906945340036552e-62,1.0500850417936868e-71,0.020040884109840503,2.6715971395196188e-20,True
8,ResNet50_Places365,8,1.1833121675554428,5.924898319495131e-07,1.4417315161227398e-07,0.03321677624701349,1.9263943128311851,2.417249544290151e-51,3.9324014292409236e-72,0.03925393301711193,4.6045835898600535e-19,True
9,ResNet50_Places365,9,1.1649680631877481,1.0662507469018598e-06,1.5281113910710992e-07,0.030723220514206635,1.811545024996359,1.1476991294109501e-44,9.867699539559625e-72,0.03946372035197869,6.358856011416783e-17,True
