,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,ResNet18,0,0.9999999678519189,0.9966257159816903,0.9970439769790875,7.523311769765655e-06,1.000003435072519,0.4211065446746607,0.4200950883009479,4.243076271225954e-06,0.47394201909739964
1,ResNet18,1,1.0165336938335745,2.775116024276839e-05,1.668462028625574e-05,0.003667301248894978,1.039779110698736,1.1865928729494822e-33,3.441997786842042e-35,0.002489179052190744,2.1458407557993196e-06
2,ResNet18,2,1.0135292825647488,0.03593088384246109,0.02112252424009566,0.0062851894593467,1.0782959894189523,9.372300461077083e-42,2.37278493542677e-44,0.004055336110786694,7.062607029286235e-11
3,ResNet18,3,1.0135725161895985,0.03559823426522925,0.020916453584607406,0.006293585441007851,1.0784314154244818,1.0475127716436859e-41,2.6253611922688077e-44,0.004066680007059503,7.046186971753757e-11
4,ResNet18,4,1.0135725161895985,0.03559823426522925,0.020916453584607406,0.006293585441007851,1.0784314154244818,1.0475127716436859e-41,2.6253611922688077e-44,0.004066680007059503,7.046186971753757e-11
5,ResNet18,5,1.026960271026977,0.014220928721913858,0.008189344716731793,0.010655795934342082,1.1556089821332292,2.218443992695521e-41,4.163546468153856e-44,0.008126664063945608,1.2786848130523589e-13
6,ResNet18,6,1.0130805135929866,0.2064346171508045,0.11894150223120696,0.010189313278472148,1.141724281854529,1.0227674342004631e-45,4.429343761718773e-47,0.00674007630508873,3.1104734910864863e-13
7,ResNet18,7,1.028422860413711,0.07310577790928227,0.04878414165829591,0.015520151102925877,1.3524319923222154,3.973585677688407e-47,2.558898988088582e-48,0.016273324939058278,1.96341046214193e-18
8,ResNet18,8,1.0061654973237506,0.6476117340848193,0.45091466100123123,0.01333992681454223,1.2213636811303534,2.4783845247620233e-21,3.403106255062039e-21,0.019721036592669584,1.6463746555969247e-10
9,ResNet18,9,1.0026235906866352,0.020681858998032206,0.019083138334328904,0.001101306208131021,1.0226884647518717,9.864548558706548e-41,6.446741846063575e-41,0.0012020992238584818,7.763937693590174e-20
