,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,Vgg16,0,0.999999967883564,0.9967184595938046,0.9971368363512252,7.726045220043264e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.474405237991654,True
1,Vgg16,1,1.0063153681761168,0.00011165496734721116,9.100158687356825e-05,0.0015312640395962048,1.0148867782595397,2.2189094021768936e-26,9.831805711023278e-27,0.0011247175741707415,1.7474166285063963e-06,True
2,Vgg16,2,1.006223094679329,0.00011822793788268721,9.661206599244205e-05,0.0015149813354077167,1.0147397906951976,2.2398960825565797e-26,9.930049953932256e-27,0.0011137463274749678,1.495675263840112e-06,True
3,Vgg16,3,1.0268848393870165,0.0008427660627093397,0.0002605479713801883,0.007651106821678861,1.0725185191363988,9.96691751231242e-31,1.0354631823978633e-32,0.00485261387458203,1.0232892435684492e-06,True
4,Vgg16,4,1.026876866549608,0.0008425485446577832,0.0002606045437100699,0.007648660022686673,1.0725228058393763,1.0029512571177843e-30,1.0363566263473214e-32,0.004853251681201559,1.0207602647253377e-06,True
5,Vgg16,5,1.026876866549608,0.0008425485446577832,0.0002606045437100699,0.007648660022686673,1.0725228058393763,1.0029512571177843e-30,1.0363566263473214e-32,0.004853251681201559,1.0207602647253377e-06,True
6,Vgg16,6,1.0554045770202003,8.566344031651054e-05,1.6500842542282356e-05,0.013189530409167772,1.1398440637944103,1.4161700440704867e-29,8.962082530239044e-35,0.009652616863036565,5.957688722715782e-07,True
7,Vgg16,7,1.0553977761767568,8.599673058162309e-05,1.656583230029151e-05,0.013191409302195508,1.139849805581486,1.4081638168331937e-29,8.917888192731748e-35,0.00965236553249552,5.961504918781922e-07,True
8,Vgg16,8,1.0742892407775975,0.00014324269142337233,2.5435019333265044e-05,0.01833481449661969,1.231457175806365,5.0167310615580105e-31,2.198688607450025e-40,0.015366117345187754,1.0526163960072288e-08,True
9,Vgg16,9,1.0742892407775975,0.00014324269142337233,2.5435019333265044e-05,0.01833481449661969,1.231457175806365,5.0167310615580105e-31,2.198688607450025e-40,0.015366117345187754,1.0526163960072288e-08,True
10,Vgg16,10,1.0742892407775975,0.00014324269142337233,2.5435019333265044e-05,0.01833481449661969,1.231457175806365,5.0167310615580105e-31,2.198688607450025e-40,0.015366117345187754,1.0526163960072288e-08,True
11,Vgg16,11,1.0458456386852333,0.00039035501052880986,9.967162454506761e-05,0.012216457332278371,1.1826014183783289,4.038498106882904e-45,9.37612499434954e-49,0.008688439814153634,3.496835817563024e-13,True
12,Vgg16,12,1.0458195169925755,0.0003918296059457392,9.995934663262309e-05,0.012213236677485605,1.1825394022850357,4.236946433609787e-45,9.92003596378592e-49,0.008689386451424672,3.508846286645364e-13,True
13,Vgg16,13,1.0381203304426736,0.0042025506058506025,0.0007460703930826534,0.012789783623576408,1.1874671802101024,4.228481727490585e-49,5.7917918895246124e-52,0.008200916279391087,1.4160263561494687e-13,True
14,Vgg16,14,1.0381140897219165,0.004215599965395386,0.0007485169018079964,0.012792344361052766,1.1874689003462127,4.169552178977144e-49,5.717328784757132e-52,0.008199955480925288,1.4212942958353711e-13,True
15,Vgg16,15,1.0504646340931647,0.007708150836213887,0.0011056791236573732,0.018262201840282877,1.3025180930290308,1.8341607452539298e-54,1.07290792952641e-59,0.011870081466020484,3.1000514779357562e-15,True
16,Vgg16,16,1.050505057636538,0.007649260107851002,0.0010966462050618078,0.018258244507892638,1.3025338036663732,1.8287329894056822e-54,1.0779586990613718e-59,0.011870394326510362,3.08390880895874e-15,True
17,Vgg16,17,1.050505057636538,0.007649260107851002,0.0010966462050618078,0.018258244507892638,1.3025338036663732,1.8287329894056822e-54,1.0779586990613718e-59,0.011870394326510362,3.08390880895874e-15,True
18,Vgg16,18,1.0617981061934643,0.004283308678490434,0.000530568621236454,0.02078038183461627,1.4107834653463052,2.1427249604929697e-53,2.684930415328237e-60,0.01646504586465758,5.020063965448698e-15,True
19,Vgg16,19,1.061746244428567,0.004368254927713867,0.0005370670760820316,0.020811110945338357,1.4111746992551402,2.493383836820723e-53,3.074377331044618e-60,0.016502469141196126,5.307307477789501e-15,True
20,Vgg16,20,1.081129859244876,0.0039525776234549176,0.00033440288346383727,0.027025897015841634,1.5987700919408385,6.025766972190095e-53,2.0810108231393184e-64,0.02421707328201952,4.1270940465765524e-17,True
21,Vgg16,21,1.0811060681627978,0.00414545884424888,0.00034680840426245006,0.02716837778538301,1.6015250354587087,9.005576959012658e-53,2.914661730013739e-64,0.024413994778485285,5.145275684380908e-17,True
22,Vgg16,22,1.1169744895989233,0.0021361188154393825,0.0002173516001486065,0.03642138457114587,1.9011175151890776,5.106876585838216e-47,1.4473502936110494e-69,0.041175495691676015,3.801161443396943e-16,True
23,Vgg16,23,1.1183001680368179,0.0021160644542559735,0.00021141591731105587,0.03679806778845618,1.915261886638769,3.8818697768984524e-47,1.643049738845122e-69,0.041716744850633154,4.1726621631902687e-16,True
24,Vgg16,24,1.1183001680368179,0.0021160644542559735,0.00021141591731105587,0.03679806778845618,1.915261886638769,3.8818697768984524e-47,1.643049738845122e-69,0.041716744850633154,4.1726621631902687e-16,True
25,Vgg16,25,1.1465208335066939,0.000593913294297781,8.554378836252812e-05,0.040435030124695265,2.141914981075528,2.2233499615021816e-45,1.6519109654089534e-70,0.05403195642356324,4.805192217333912e-17,True
