,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('rearview_mirror', 1.1066034323621778)","('toothbrush', 1.2280096553819235)","('toothbrush', 1.2280096572358656)","('toothbrush', 1.2280096572358656)","('rearview_mirror', 1.1151655196921955)","('cheese', 1.1608521962280418)","('tub', 1.3971374895494324)","('sleepingbag', 1.0721351027964041)","('rearview_mirror', 1.0069735677861218)"
1,"('bike', 1.0993923092412647)","('bathrobe', 1.1587446801303063)","('bathrobe', 1.158744681064356)","('bathrobe', 1.158744681064356)","('bathrobe', 1.1067274737028832)","('board', 1.1523657594995864)","('doll', 1.3648045492234935)","('chicken', 1.0403489362311122)","('highchair', 1.0063549877184357)"
2,"('bag', 1.0885429868538887)","('fridge', 1.1486996994909249)","('fridge', 1.1486997003756456)","('fridge', 1.1486997003756456)","('toiletseat', 1.104228634846073)","('excersiceequipment', 1.1220657957952125)","('toiletseat', 1.3136370682694873)","('backhoe', 1.0387803432548464)","('fridge', 1.0056875101405798)"
3,"('coat', 1.084015427197654)","('coat', 1.142941849738531)","('coat', 1.1429418504217446)","('coat', 1.1429418504217446)","('tub', 1.102852123663208)","('tub', 1.1070678104418057)","('beachumbrella', 1.3073651079504605)","('highchair', 1.037400706371131)","('mailbox', 1.0056071490208018)"
4,"('pokerchips', 1.083029047801466)","('rearview_mirror', 1.1249177594364663)","('rearview_mirror', 1.12501808023807)","('rearview_mirror', 1.12501808023807)","('pizza', 1.0956198818292626)","('highchair', 1.0949556947151418)","('lego', 1.306975748482456)","('rearview_mirror', 1.035834189899392)","('boxing_gloves', 1.0053991735631442)"
5,"('dishrack', 1.0695196972301488)","('tub', 1.1230129200255667)","('tub', 1.123012921183367)","('tub', 1.123012921183367)","('board', 1.0915664126960776)","('computer', 1.0944695204251025)","('coffeetable', 1.281577523325871)","('mailbox', 1.0351606093006176)","('sleepingbag', 1.0051952418831527)"
6,"('mailbox', 1.0675107403915014)","('ovenmitt', 1.119796105414616)","('ovenmitt', 1.1198151283627882)","('ovenmitt', 1.1198151283627882)","('cheese', 1.087291790791718)","('fridge', 1.0942331866109383)","('coffeemaker', 1.2256214429156127)","('racket', 1.0284524775349615)","('coffeemaker', 1.0051225543279332)"
7,"('coffeetable', 1.0652972037774917)","('cheese', 1.115098287291643)","('cheese', 1.1150982879557148)","('cheese', 1.1150982879557148)","('doll', 1.0784893234577988)","('toiletseat', 1.089802161930046)","('rearview_mirror', 1.224365726573013)","('pokerchips', 1.0272626996739813)","('toiletseat', 1.004237170955705)"
8,"('kayak', 1.0645444267166373)","('board', 1.096418781047199)","('board', 1.096418782140334)","('board', 1.096418782140334)","('toothbrush', 1.0764903493624902)","('coffeetable', 1.088282133859719)","('coat', 1.2099387812544427)","('tractor', 1.025307773515625)","('medal', 1.004033535119093)"
9,"('maplesyrup', 1.0620799569482158)","('maplesyrup', 1.0960640858190138)","('maplesyrup', 1.0960640862968323)","('maplesyrup', 1.0960640862968323)","('beachumbrella', 1.0743297178033948)","('coat', 1.0875352624625945)","('computer', 1.1975421130190105)","('footballball', 1.0249940085547338)","('bag', 1.0040005052579402)"
