,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios,Layer13inVals,Layer13inOutRatios,Layer14inVals,Layer14inOutRatios,Layer15inVals,Layer15inOutRatios,Layer16inVals,Layer16inOutRatios,Layer17inVals,Layer17inOutRatios,Layer18inVals,Layer18inOutRatios,Layer19inVals,Layer19inOutRatios,Layer20inVals,Layer20inOutRatios,Layer21inVals,Layer21inOutRatios,Layer22inVals,Layer22inOutRatios,Layer23inVals,Layer23inOutRatios,Layer24inVals,Layer24inOutRatios,Layer25inVals,Layer25inOutRatios,Layer26inVals,Layer26inOutRatios,Layer27inVals,Layer27inOutRatios,Layer28inVals,Layer28inOutRatios,Layer29inVals,Layer29inOutRatios,Layer30inVals,Layer30inOutRatios,Layer31inVals,Layer31inOutRatios,Layer32inVals,Layer32inOutRatios,Layer33inVals,Layer33inOutRatios,Layer34inVals,Layer34inOutRatios,Layer35inVals,Layer35inOutRatios,Layer36inVals,Layer36inOutRatios,Layer37inVals,Layer37inOutRatios
61,1.0,1.000009397770763,0.957889410159488,1.0137029727132976,0.957889410159488,1.013375990639194,0.8818694132394322,1.068762755219948,0.8818280661701918,1.0688284216218533,0.8818280661701918,1.0688284216218533,0.7471432235441473,1.0928496937865189,0.7471432235441473,1.0928626951527833,0.6010702278745728,1.1483533008307076,0.6010702278745728,1.1483532626608333,0.6010702278745728,1.1483532626608333,0.5766069387317343,1.0498715012016662,0.5766069387317343,1.0498723460993296,0.5437994242619875,1.0010590516434188,0.5437994242619875,1.001053481753584,0.5351506385787075,1.0599586223237019,0.5351506385787075,1.0599549650823976,0.4598562369215016,1.0213169669079667,0.4598562369215016,1.0213253212486206,0.4598562369215016,1.0213253212486206,0.3976488400267771,1.0856083409553765,0.3976488400267771,1.0855970819225655,0.37681852008309014,1.1176420759312193,0.3771650238604097,1.1198878110839072,0.4074774861407041,1.3216352901679542,0.40761658032585846,1.3243706246225226,0.398936913905371,1.420459823004737,0.39958325641777803,1.4277908860873263,0.39958325641777803,1.4277908860873263,0.4475268585083555,1.5782219779098865,0.44739650509265694,1.5832286981166837,0.441085760151471,1.8036620006968667,0.4401021868538491,1.824996427698784,0.41017324734452243,1.9556868264155243,0.40735262774671777,1.9872150570760478,0.3849371135087825,2.5578114779919776,0.37517069697444166,2.7709924966999497
62,1.0,1.0000095331866181,0.9577770774207168,1.011487739040748,0.9577770774207168,1.0111675281389254,0.8367978577789426,1.022973608644633,0.8367978577789426,1.0229826314352042,0.8367978577789426,1.0229826314352042,0.7128827389419022,1.050605614019437,0.7128827389419022,1.0506107738898003,0.5508671565887843,1.055441611924258,0.5508671565887843,1.0554415710687477,0.5508671565887843,1.0554415710687477,0.6095668403550348,1.0530172697650557,0.6095668403550348,1.0530184673585776,0.6485538892055189,1.099436647898283,0.6485538892055189,1.0994430821008911,0.5714283593454252,1.0846796193664434,0.5714283593454252,1.0846847661202166,0.5569332178438803,1.1226987352406552,0.5569332178438803,1.1226950725441625,0.5569332178438803,1.1226950725441625,0.5032287023663907,1.2461203682132933,0.5030816716977815,1.2463213571760492,0.49527783154548094,1.3067868822680022,0.4948240245637579,1.3085044670833248,0.4468937525198943,1.445189917998697,0.44596468294124814,1.4473475110382408,0.4861617982858151,1.5717308694037484,0.4837584238294498,1.5771995676234287,0.4837584238294498,1.5771995676234287,0.5323247980436321,1.7529390635222357,0.5304977375157389,1.7602969308755905,0.508208494330276,1.9182380513088495,0.5016434100053632,1.938777353395485,0.48629592676961886,2.2171047594660798,0.48044274023616856,2.2583220345429837,0.4888574471243553,2.7323477524817363,0.47774007367879856,2.9211661872588772
63,1.0,1.0000081872830517,0.9896583982785957,1.032322658992895,0.9896583982785957,1.031972987705628,0.9414824517580426,1.1017073891008322,0.9414824517580426,1.1016618611621238,0.9414824517580426,1.1016618611621238,0.8253038245264055,1.1519488229377115,0.8253038245264055,1.1519575397263344,0.7288493277584693,1.2267910337554253,0.7288493277584693,1.2267910372215527,0.7288493277584693,1.2267910372215527,0.7799225296612284,1.2178706914536155,0.7799225296612284,1.2178734245742044,0.7626772466306388,1.1935187764822426,0.7626772466306388,1.1935253285920344,0.7167060282943585,1.205604188115433,0.7167060282943585,1.2056149357945898,0.7136574415599769,1.281123465988384,0.7136574415599769,1.2811475835225714,0.7136574415599769,1.2811475835225714,0.6415362895254517,1.3566886779200127,0.6415362895254517,1.3569231139160853,0.6129793472026289,1.4065191366384684,0.6125243562512143,1.4082380611904517,0.5776771287835158,1.5516493312089366,0.5775262623435257,1.554443630058134,0.5745839896225725,1.5536502788638944,0.5736660870396555,1.5600138605990468,0.5736660870396555,1.5600138605990468,0.5767238191716257,1.6959621341146986,0.5742526712774471,1.698732363960543,0.5947878610403317,2.074558046664762,0.5900934304007347,2.097340004227359,0.6018111194594876,2.3135449563739527,0.5987826402820685,2.348946379651716,0.611239396843502,3.432111665333005,0.6079705126951203,3.539607572881098
64,1.0,1.000009397770763,0.9698099277497558,1.0250360147093824,0.9704775370139785,1.0249828429826984,0.9274343337299136,1.1143356659498063,0.9274343337299136,1.1143691444625563,0.9274343337299136,1.1143691444625563,0.7885162722466525,1.1653998287373057,0.7885053291043629,1.165409599675918,0.7210498849039026,1.2996938396506859,0.7210498849039026,1.299693849587513,0.7210498849039026,1.299693849587513,0.7785161705887524,1.2207162585097469,0.7785161705887524,1.2207178197375597,0.7532338954365635,1.2087210232671362,0.7532338954365635,1.2087206747407684,0.6895008308252878,1.1835700988424285,0.6895008308252878,1.1835721000733175,0.6941634149561343,1.2668592256554907,0.6941634149561343,1.2668517874037646,0.6941634149561343,1.2668517874037646,0.6079988191733765,1.3464014644030176,0.6079988191733765,1.3465569360045884,0.5968214925987985,1.4695073600514346,0.5959716726150223,1.4708592995189647,0.533096332466088,1.5799719205181455,0.533096332466088,1.582388827183137,0.5817351072545123,1.8282788841745452,0.5819181186326267,1.836021884596888,0.5819181186326267,1.836021884596888,0.583178385732461,2.0242717385942024,0.5826720023990315,2.0275102005815517,0.5572854040344556,2.434224239815896,0.5523626875396946,2.4621881766466855,0.571334451435526,2.7885992734726943,0.5676395769286462,2.848425537022815,0.569144184990737,3.6583048522881905,0.553990158781066,3.875495725848078
65,1.0,1.000009397770763,0.9094208154073293,0.9854624847542922,0.9107413567560625,0.985896181611792,0.7814998590844228,1.0107019102100878,0.7814998590844228,1.0107210752377345,0.7814998590844228,1.0107210752377345,0.6888781647562572,1.057845306792704,0.688796691113389,1.0578240286532077,0.6384700512519228,1.1643434878532497,0.6384700512519228,1.1643434971543576,0.6384700512519228,1.1643434971543576,0.6555174686591627,1.097370766704652,0.6555174686591627,1.0973720593161393,0.6468738828549018,1.0738581204214364,0.6468738828549018,1.0738675487395142,0.6213064584350697,1.1142738253914088,0.6213064584350697,1.1142813616366665,0.6019728041438184,1.1364434404253452,0.6019598451345415,1.136359398498855,0.6019598451345415,1.136359398498855,0.5579889916900977,1.2325738599177454,0.5579155179199178,1.232777590838965,0.569980660382335,1.318512132695195,0.568261415084916,1.3191993312472323,0.5753733496756557,1.5031173333310932,0.5732853023652534,1.5045672975593698,0.6021005250243702,1.597893361217214,0.6008973645120012,1.6044099892388306,0.6008973645120012,1.6044099892388306,0.6013832449119623,1.8191622638930822,0.599410325527948,1.8256640813200569,0.618801014126371,2.1211335872987336,0.6166234438269914,2.1539896979870696,0.5931148950581525,2.26508793297031,0.5875136317124625,2.308324027168602,0.544553464803526,2.70267701628102,0.5274223859351365,2.887729529998898
66,1.0,1.000009397770763,0.9265284960635665,0.9996896142742806,0.9277032320573934,0.9998694704304183,0.7687070758468678,0.9940986556547889,0.7687070758468678,0.9941470291694126,0.7687070758468678,0.9941470291694126,0.6527156710166807,1.0524286569232764,0.652572266897071,1.0523442855130851,0.5680986200674294,1.146088127522199,0.5680986200674294,1.146088089350943,0.5680986200674294,1.146088089350943,0.6546899846928735,1.15030091773652,0.6546899846928735,1.1503037641584246,0.7229707766526599,1.1909946535473546,0.7229707766526599,1.1910072374052691,0.6855639609404139,1.1766351299568794,0.6855639609404139,1.1766399948080073,0.6536302156961591,1.2323206423809943,0.6536435903413855,1.2323474371181202,0.6536435903413855,1.2323474371181202,0.5860117681249835,1.2737319575226917,0.5857643226101115,1.27377731675366,0.5856288562447147,1.340610443142298,0.5849790788677327,1.342365138737637,0.5010829499966437,1.3287905072398627,0.4988054943036831,1.3286963798558753,0.5078160630523562,1.3929091982067021,0.5050483480838834,1.396421411252523,0.5050483480838834,1.396421411252523,0.5271663655410379,1.517554565177474,0.525740977151087,1.5218145338731148,0.5099728959688243,1.6379518988422144,0.5061929117464997,1.6544136494713513,0.514753215823599,1.8348058584557474,0.5101753938393546,1.8616508253480448,0.4834952378405779,2.1842996338112624,0.4702968584024987,2.285917840244321
67,1.0,1.000009397770763,0.9806534849535055,1.0348960870491384,0.9806534849535055,1.0345545705412054,0.9483527327447042,1.1388997235485883,0.9483527327447042,1.138928798256642,0.9483527327447042,1.138928798256642,0.8607998823353633,1.245611086726373,0.8607998823353633,1.2456235524223942,0.7911056821571971,1.3906196327375044,0.7911056821571971,1.3906196197020133,0.7911056821571971,1.3906196197020133,0.8024213477663334,1.3197753610638194,0.8024213477663334,1.31977707354517,0.7747455685591277,1.279092885964191,0.7747455685591277,1.2790889960137817,0.7268707297290238,1.3420290500560013,0.7268707297290238,1.3420369938889174,0.6592290240977732,1.3961885886320076,0.6592290240977732,1.3961909159761465,0.6592290240977732,1.3961909159761465,0.6178651392836028,1.518803866997337,0.6178651392836028,1.518465313227672,0.5527364786894857,1.666186689016258,0.5523489808739679,1.668045120772455,0.49794977650335637,1.872263966038667,0.4979163300324771,1.874630067964189,0.5057812483346038,2.0899991089423584,0.505190044001859,2.1027639211621656,0.505190044001859,2.1027639211621656,0.5489150498691491,2.56330378483659,0.548802371665478,2.5689178268563095,0.5397292122017991,2.8771409655551112,0.538328067386902,2.917379845114921,0.5458045027933741,3.50818031239595,0.5417817390066213,3.580352826311901,0.5337730069626607,5.244446576284788,0.5325594884820235,6.142885095692277
