,Resnext50_32x4d
0,"(0.8253815427498903, 0.007853976678999017)"
1,"(0.7283312728347785, 0.010149993708012658)"
2,"(0.727913542732421, 0.010209405195367852)"
3,"(0.727913542732421, 0.010209405195367852)"
4,"(0.6415299543857677, 0.00748093112749727)"
5,"(0.49708863625733934, 0.008274062092250154)"
6,"(0.28314650480635223, 0.007467559396869923)"
7,"(0.4368613867077669, 0.0011758285851507623)"
8,"(0.9322688718652242, 0.00028223461649852364)"
