,Resnext50_32x4d
0,"(1.0130273508562113, 0.0425935952471814)"
1,"(1.014521847699412, 0.05868217527406887)"
2,"(1.0145557489485577, 0.05869134988113786)"
3,"(1.0145557489485577, 0.05869134988113786)"
4,"(1.010199378464563, 0.07129937083955054)"
5,"(1.0111499227819982, 0.07658213513328291)"
6,"(1.0172595681189103, 0.07362410612257647)"
7,"(1.0028875246361797, 0.013702276216032986)"
8,"(0.9999795994941192, 0.001344304563031309)"
