,Resnext50_32x4d
0,"(0.8144207801822105, 0.036746159962976886)"
1,"(0.7191493833841294, 0.07045000477710221)"
2,"(0.7187153120708927, 0.07088463180303248)"
3,"(0.7187153120708927, 0.07088463180303248)"
4,"(0.6357703142804982, 0.04014938514355534)"
5,"(0.4922346433188101, 0.05048295203980828)"
6,"(0.27899219834509514, 0.051589752476059174)"
7,"(0.4356050345949054, 0.005895795415123478)"
8,"(0.9322878572929991, 0.0015323533214796447)"
