,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.08871564127202)","('steering_wheel', 1.0413090113457835)","('steering_wheel', 1.0411667373202385)","('steering_wheel', 1.0411667373202385)","('steering_wheel', 1.1021507752904198)","('steering_wheel', 1.336022338114054)","('steering_wheel', 3.0564388503141147)","('cow', 5.98014039422557)","('cow', 16.882146465464032)"
1,"('coatrack', 1.0625939151588273)","('coatrack', 1.026061181637454)","('coatrack', 1.0259274032444694)","('coatrack', 1.0259274032444694)","('barbie', 1.0503308029305527)","('slippers', 1.1822908801340182)","('paper', 2.274238318752861)","('pants', 4.508513177654659)","('pants', 10.401576933115809)"
2,"('fries', 1.0595885618018739)","('dumbbell', 1.023427888742662)","('dumbbell', 1.0233490771342293)","('dumbbell', 1.0233490771342293)","('dumbbell', 1.050222992614891)","('paper', 1.1398794748750003)","('ironing', 1.988366756965069)","('steering_wheel', 4.168176545933366)","('steering_wheel', 6.4426412782377955)"
3,"('sink', 1.053626751503742)","('stapler', 1.02089629487985)","('stapler', 1.0207715977261853)","('stapler', 1.0207715977261853)","('chopsticks', 1.0498663470426137)","('barbie', 1.1207343448145997)","('tennisball', 1.9377138781539558)","('paper', 3.174284245171354)","('starfish', 4.734508831101158)"
4,"('cow', 1.0464639875397488)","('trophy', 1.0198518269054633)","('trophy', 1.0197280629013412)","('trophy', 1.0197280629013412)","('fries', 1.0439522635442715)","('ironing', 1.1022462739340075)","('slippers', 1.915556773669471)","('starfish', 3.1331870603879266)","('paper', 3.7870094025999883)"
5,"('pot', 1.046344006348282)","('barbie', 1.019249570423444)","('barbie', 1.0190715354130024)","('barbie', 1.0190715354130024)","('trophy', 1.039889640427134)","('helmet', 1.088327549044065)","('rubberduck', 1.9068704244129377)","('stove', 2.503087187011992)","('stove', 3.1370775795981776)"
6,"('dumbbell', 1.0458034293546812)","('parkingmeter', 1.0179927839589273)","('parkingmeter', 1.0178230270746413)","('parkingmeter', 1.0178230270746413)","('rolette', 1.0393124580462214)","('coffeecup', 1.0827583430634526)","('cow', 1.8013661903872804)","('rolette', 2.202547656621694)","('stapler', 3.0992438776712463)"
7,"('helmet', 1.043525633215915)","('sink', 1.0172037471689301)","('sink', 1.0170725885871739)","('sink', 1.0170725885871739)","('starfish', 1.0387093623966923)","('dumbbell', 1.0810785589051561)","('starfish', 1.7556309287587823)","('sofa', 2.153113801365038)","('sofa', 3.0933539659648854)"
8,"('barbie', 1.0433945351877727)","('motorhelmet', 1.0168423299771931)","('motorhelmet', 1.016778402494856)","('motorhelmet', 1.016778402494856)","('parkingmeter', 1.0354443062834315)","('stapler', 1.0785076803851787)","('coatrack', 1.6990168416690663)","('stapler', 2.1018052704609334)","('dumbbell', 2.9975741185935454)"
9,"('sofa', 1.0414027266737897)","('cow', 1.0164770861858234)","('cow', 1.0163548949326602)","('cow', 1.0163548949326602)","('cheesegrater', 1.0353100649805085)","('cheesegrater', 1.076901694395913)","('pot', 1.605566548960094)","('ironing', 2.0935252508060915)","('ironing', 2.9455190170338867)"
