,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios,Layer13inVals,Layer13inOutRatios,Layer14inVals,Layer14inOutRatios,Layer15inVals,Layer15inOutRatios,Layer16inVals,Layer16inOutRatios,Layer17inVals,Layer17inOutRatios,Layer18inVals,Layer18inOutRatios,Layer19inVals,Layer19inOutRatios
0,1.0,1.000009397770763,0.8304343892619009,1.132408117975177,0.8304343892619009,1.132408117975177,0.8103732250550717,1.0710670873372925,0.7587301627507907,1.2967438198875565,0.7587301627507907,1.2967438198875565,0.8053962963566217,1.193352497326685,0.7187010449871231,1.2684570523868965,0.7187010449871231,1.2684570523868965,0.6194808724428714,1.3908224683608494,0.7257832544180243,1.1744359475349615,0.8033470474126378,1.1323095598471007,0.7993395159608051,1.1907821458251038,0.647780247679577,1.174608916441145,0.647780247679577,1.174608916441145,0.5805856290110378,1.1242384865674289,0.11630550391101288,1.154668031927868,0.7081789991040992,1.0175196434244147,0.012545898590233051,0.5773051037180171
1,1.0,1.000009397770763,0.848234987970273,1.0309657831077925,0.848234987970273,1.0309657831077925,0.8460299124090056,1.0386684524949052,0.6997013041607596,1.0715214783567037,0.6997013041607596,1.0715214783567037,0.7515763949010197,1.0839697970838988,0.6333310867493381,1.1180303891090406,0.6333310867493381,1.1180303891090406,0.4697081457696798,1.188337808877275,0.6715244477662046,1.142726245012757,0.744980658405316,1.0942073309343472,0.7854412964042652,1.1761235073913359,0.6690114790734285,1.1813624036119725,0.6690114790734285,1.1813624036119725,0.5938124801911158,1.129918028372156,0.10476570021183003,1.0374248456992985,0.7287397650372801,1.0178513895932053,0.031055059242792282,1.6769968255664058
2,1.0,1.000009397770763,0.8458633008100079,1.0595788520942393,0.8458633008100079,1.0595788520942393,0.8012572119672816,1.0452032205342225,0.7228985551501985,1.1533106620414453,0.7228985551501985,1.1533106620414453,0.7120054212888954,1.136806403617785,0.6167245074464326,1.2076368495673095,0.6167245074464326,1.2076368495673095,0.44825375639882276,1.2020562404943413,0.6255022922552435,1.1234260309059674,0.7142710469866792,1.1124785555569,0.6749000686921456,1.1504887215984327,0.5936162113411761,1.1706515307531897,0.5936162113411761,1.1706515307531897,0.5552234680062812,1.0938644407235696,0.1265886428209054,1.4127707937467682,0.7276940840382877,1.0253459688303308,0.03432004637756534,1.557495105083112
3,1.0,1.0000095331866181,0.8556899452541584,1.0383135766012688,0.8556899452541584,1.0383135766012688,0.8141030372828958,1.0153665767156985,0.7919782098961925,1.1608498814843327,0.7919782098961925,1.1608498814843327,0.8147520794359047,1.1355387680296738,0.7073290546491983,1.226522519050322,0.7073290546491983,1.226522519050322,0.546542683799998,1.259129226949911,0.6778021031161003,1.1287565932760208,0.7208227245804466,1.0819727389383473,0.6798277323700764,1.0990094231475875,0.5974766585560476,1.1257035004122584,0.5974766585560476,1.1257035004122584,0.5601618578602278,1.071754552411859,0.11370811535752327,1.1784780617322137,0.7188859514501192,1.0108528397069334,0.013448434806003284,0.7330570304439485
4,1.0,1.000009397770763,0.9064187006062528,1.105917842724531,0.9064187006062528,1.105917842724531,0.8250029952979547,1.0304771488982283,0.7952999260195011,1.15153495875874,0.7952999260195011,1.15153495875874,0.7859171329810671,1.1025938024121655,0.6835814437198243,1.152044052930536,0.6835814437198243,1.152044052930536,0.5175457707303612,1.167309960418599,0.6504213230311124,1.0761581911848879,0.7220068200655902,1.0624364721005004,0.7280128806009053,1.1032316362874726,0.6261265086336291,1.1079517857529797,0.6261265086336291,1.1079517857529797,0.5419133161923309,1.0521098179733266,0.1111271824056896,1.0655420473692852,0.7267775255565325,1.0141278512668193,0.03613446755741094,1.4545987829948728
5,1.0,1.0000094649943658,0.9265150532854604,1.1045624929855913,0.9265150532854604,1.1045624929855913,0.8898939409739942,1.0636787115268658,0.8048159482074757,1.177229072409825,0.8048159482074757,1.177229072409825,0.8081347850091458,1.1274355259550393,0.6634166178668739,1.1785099546935063,0.6634166178668739,1.1785099546935063,0.4728442321152255,1.1890626395023454,0.6378123205782966,1.1115060769758698,0.7288755418424661,1.1135909775665644,0.6786749871963664,1.1314730297430005,0.6333148515608362,1.1835012059979637,0.6333148515608362,1.1835012059979637,0.5788167052513927,1.1140736772598492,0.11724038323944894,1.1426060237619386,0.7202465661540325,1.0092021491014889,0.02563104283777058,1.1488262818020267
6,1.0,1.0000085777357148,0.8856474602089163,1.0634654894675868,0.8856474602089163,1.0634654894675868,0.896256054597065,1.0768761274993197,0.7697203303053012,1.1149238795991194,0.7697203303053012,1.1149238795991194,0.81171218530482,1.117079609995078,0.681586865303237,1.1532849520518504,0.681586865303237,1.1532849520518504,0.5126841879519766,1.1954254843071817,0.6692770794683754,1.102698118404732,0.678692231593768,1.030633358601491,0.6489031539262818,1.0324859454774498,0.5879141288237015,1.0879693028976125,0.5879141288237015,1.0879693028976125,0.5549230536169611,1.0682157835475092,0.09021715043549912,0.9200608460419966,0.7143981758392952,1.0066600341787137,0.024166111629965313,1.210703621660211
7,1.0,1.000009397770763,0.8420494649833389,1.0332249838557248,0.8420494649833389,1.0332249838557248,0.8716686665411423,1.0658685935592682,0.7062485644247497,1.0830841101698445,0.7062485644247497,1.0830841101698445,0.7511157830573658,1.0687179135229161,0.643382983776404,1.1195893223111055,0.643382983776404,1.1195893223111055,0.5707461054824388,1.2723031504409332,0.6966395140353278,1.1380284136375485,0.7334656288940963,1.0867833441842407,0.7223503077825792,1.0950394025403303,0.6193805087668963,1.1370021876733793,0.6193805087668963,1.1370021876733793,0.5367323661776815,1.06029775290674,0.10288193988312164,1.2495289691731568,0.7363070692804868,1.0343099094794503,0.03368488619533037,1.4365848582492835
8,1.0,1.000009397770763,0.8988914448274328,1.1005982623069963,0.8988914448274328,1.1005982623069963,0.8959013505193443,1.115944949860875,0.7837747809225061,1.170025398011459,0.7837747809225061,1.170025398011459,0.7199217311092223,1.06984908607245,0.6338220019243004,1.1629628134090098,0.6338220019243004,1.1629628134090098,0.42572228615905683,1.1877520076693977,0.6184353966549253,1.100216943211305,0.7096076423568924,1.084244578497546,0.6516886159607884,1.0618502020793066,0.5846405323511672,1.117928485096972,0.5846405323511672,1.117928485096972,0.5866935166088098,1.1430850079984654,0.0873339044383827,0.976444046119059,0.7086670261639446,1.0090482807981342,0.01430182552647823,0.6119227339436853
9,1.0,1.0000081872830517,0.7028446307926508,0.9873211467719551,0.7028446307926508,0.9873211467719551,0.722169237782882,0.9979588430397756,0.6738304767188208,1.1879267906119289,0.6738304767188208,1.1879267906119289,0.7202262769483132,1.1203502759986206,0.6696985624426777,1.2717849108859132,0.6696985624426777,1.2717849108859132,0.5862726723409883,1.4516178838623726,0.6991039043684044,1.1847375119286556,0.7879482674692475,1.1631911926357759,0.7466745539218493,1.1868449945662212,0.6061209060002017,1.1835390373285641,0.6061209060002017,1.1835390373285641,0.5759702351040545,1.1476963355811425,0.13144619325401755,1.3967486136389042,0.7159475149674528,1.014416756225311,0.032292940193762346,1.6219642440095148
