,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.9634837695778136)","('chopsticks (2).jpg', 0.9723449173170317)","('chopsticks (2).jpg', 0.9723944135939415)","('chopsticks (2).jpg', 0.9723944135939415)","('fish (2).jpg', 0.967262818267687)","('nail (2).jpg', 0.9855754077529637)","('dustpan (2).jpg', 0.9772803213191072)","('beachchair (2).jpg', 0.6107835923113221)","('nail (2).jpg', 0.9849376780056128)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9688589355141147)","('strecher (2).jpg', 0.9829117285031472)","('strecher (2).jpg', 0.9826616329694192)","('strecher (2).jpg', 0.9826616329694192)","('washer (2).jpg', 0.9742032247720116)","('fishbowl (2).jpg', 0.9868518472363049)","('footballball (2).jpg', 1.0127952244798148)","('laundry (2).jpg', 0.6808864161790041)","('trophy (2).jpg', 0.9889852536716381)"
2,"('easel (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9696978499827139)","('bathrobe (2).jpg', 0.9942365587135985)","('bathrobe (2).jpg', 0.9943227665327156)","('bathrobe (2).jpg', 0.9943227665327156)","('fishbowl (2).jpg', 0.980993619264135)","('balloon (2).jpg', 0.9996091414479363)","('cheesegrater (2).jpg', 1.0252618732143155)","('desk (2).jpg', 0.7862858851256191)","('chopsticks (2).jpg', 0.9914656091408377)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('bat (2).jpg', 0.9751178031236802)","('bat (2).jpg', 0.996981393468725)","('bat (2).jpg', 0.9967902686537045)","('bat (2).jpg', 0.9967902686537045)","('bathrobe (2).jpg', 0.9830877409641273)","('sushi (2).jpg', 1.0042392721226603)","('basketballrim (2).jpg', 1.0561731553589009)","('fishbowl (2).jpg', 0.8152727600131112)","('television (2).jpg', 0.9934611770551778)"
4,"('sofa (2).jpg', 1.0000091255569876)","('bowlingball (2).jpg', 0.9803900507777819)","('fishbowl (2).jpg', 1.0016002131045805)","('fishbowl (2).jpg', 1.001474205031074)","('fishbowl (2).jpg', 1.001474205031074)","('umbrella (2).jpg', 0.9909695570647601)","('chopsticks (2).jpg', 1.006025202028012)","('dishrack (2).jpg', 1.0738080312022604)","('backyard_grill (2).jpg', 0.9028659986820207)","('birdcage (2).jpg', 0.9935739193026849)"
5,"('chair (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9843594317477707)","('umbrella (2).jpg', 1.0069445890459747)","('umbrella (2).jpg', 1.0066868866496332)","('umbrella (2).jpg', 1.0066868866496332)","('chopsticks (2).jpg', 1.0024203921580341)","('rainboots (2).jpg', 1.016916884948737)","('sushi (2).jpg', 1.0784037138791818)","('footballball (2).jpg', 0.9053549846021665)","('dresser (2).jpg', 0.996498303315352)"
6,"('lamp (2).jpg', 1.0000091255569876)","('fish (2).jpg', 0.9889061808403846)","('balloon (2).jpg', 1.007777858865692)","('balloon (2).jpg', 1.0080477470221234)","('balloon (2).jpg', 1.0080477470221234)","('bat (2).jpg', 1.0086167116134641)","('birdcage (2).jpg', 1.0255173427974311)","('sippycup (2).jpg', 1.082474410028425)","('cheesegrater (2).jpg', 0.930063191403271)","('boxing_gloves (2).jpg', 0.998855732190504)"
7,"('key (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9900882021534175)","('highchair (2).jpg', 1.0103024376084788)","('highchair (2).jpg', 1.0101999592696653)","('highchair (2).jpg', 1.0101999592696653)","('coffeemaker (2).jpg', 1.0154951192624662)","('hairdryer (2).jpg', 1.0264435391682951)","('ovenmitt (2).jpg', 1.0945375040026581)","('chair (2).jpg', 0.9543805732811008)","('belt (2).jpg', 1.0006542313619207)"
8,"('lock (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9915752383064941)","('fish (2).jpg', 1.012362441792624)","('fish (2).jpg', 1.0127659827251616)","('fish (2).jpg', 1.0127659827251616)","('helmet (2).jpg', 1.0155417259009312)","('bathrobe (2).jpg', 1.0303694309192946)","('dresser (2).jpg', 1.0953970765402636)","('fridge (2).jpg', 0.9629551492504256)","('parrot (2).jpg', 1.0013181075276538)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('dumbbell (2).jpg', 0.9936323640272684)","('toothpaste (2).jpg', 1.015715304993735)","('toothpaste (2).jpg', 1.015612445173245)","('toothpaste (2).jpg', 1.015612445173245)","('garbagebag (2).jpg', 1.0179159033740395)","('bowlingpin (2).jpg', 1.0308898708574836)","('golfclubs (2).jpg', 1.1042927052821858)","('dresser (2).jpg', 0.9663976314217476)","('kayak (2).jpg', 1.0028533642509396)"
