,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19
1,2.749139049898728,1.9306133353844197,1.3920665104221002,2.190898770144168,1.6177948909670523,1.4321575967603557,1.439081362884695,2.406868165424128,1.8082199504740657,2.208956263090166,1.446232170587785,3.8685891373459658,3.528829840686069
2,4.229912174157147,2.0002563940520623,1.187217742102094,2.019043867741797,1.65341994103223,1.5471204534214955,1.3165294486036387,2.043803172235795,1.770085109030747,1.890805107787929,1.378358608596107,3.356419830275998,3.4969991020836666
3,2.5733925268796742,2.3559179562250026,1.4133586358026964,3.583085368329236,1.582441463150952,1.352471847105308,1.323483773113277,4.058093874790409,1.558225933587413,2.975388008645743,1.365542336785161,4.755666848516612,4.612999301886289
4,1.8837308471793957,1.4250793237091504,2.034545095370137,2.0373198955594933,1.4880414645125324,1.4358177763147717,1.3528907954528138,1.5339369056023724,1.5345029373417798,1.4634032430802089,1.3496858991211986,2.7526682482484173,2.6821876973418823
5,1.9932036129505968,1.5974000616440691,1.2127108685617431,1.943400514702714,1.3270648628388353,1.311154322538534,1.3903111651581972,1.828192524681442,1.4356149317066773,1.7069551376286762,1.3029755558263785,2.3176730590257173,2.3727877770925225
6,2.334549700678643,1.7923243115867349,1.1879604603165244,3.2185710605685336,1.4010273507241304,1.419414438730024,1.2684077198693264,5.29275821499154,1.567329984388954,4.420682231434004,1.3962861167355485,3.973154120634528,3.24663882355092
7,1.821733042856295,1.4399399562717223,1.281692954243141,3.6351273813613103,1.4133495764623512,1.4072331428428544,1.2422116608391367,2.032114282516188,1.482762077393193,1.9575692486906535,1.2635155712675166,2.821654894616332,3.108502772501275
8,1.7603681375552669,1.5528870591533306,1.2735858015042787,3.370856040540183,1.3694336547624184,1.436287409023012,1.2879833805811272,1.6277709207570876,1.6188740207901016,1.5907241622138502,1.4062520683339297,2.7718733184555058,3.191302949150462
9,5.517153473869733,1.86409427803762,1.1863191430585809,5.42006387239315,1.7286462097553363,1.6321469419750685,1.5484578956109698,1.8945336551328595,1.875976898668267,1.831282071297807,1.5464963408023735,7.945204639632719,11.185710434760422
10,2.316641847902733,1.53565847106497,1.88322982059582,2.312946625899159,1.533977641662166,1.4956894480501703,1.4307275249524325,2.019993630153507,1.7948053265759314,1.6113501009430973,1.6051712307323878,3.6037003927221942,3.805041030374796
11,2.5972774083975927,1.597074605010283,1.5135538265636388,5.405608339086692,1.5932392797021266,1.6050516028452453,1.575582474190049,1.8090077868036412,1.8781927373451024,1.6832619973540266,1.6018162424261695,4.16713990447059,4.006492820502251
12,1.3589719155513782,1.1908193130189644,1.137833183244087,1.652116118374213,1.2014416818031284,1.1711247346804123,1.194089901838179,1.3649683039659024,1.1605005219440712,1.3163664693163837,1.1134708204957275,1.8877231889445776,1.8216739346046475
13,2.6442981516743598,1.5858131602374423,1.4393645387525271,2.8961926315034328,1.5540554879216255,1.5298862934297786,1.3253140601547075,2.333783574324172,1.6648911325215645,2.2540154232033163,1.4089128859117577,5.340927952003069,5.265551121783453
14,2.5031104196867853,1.6009282616612526,1.2428673016575085,2.6274157479536795,1.3705760193207792,1.3440768613430418,1.265736139884987,1.649976749915127,1.3419931029746328,1.6031715065248755,1.2761462843457303,3.0265726620621543,3.289377480974903
15,3.426938179672673,2.1622329992717653,1.523578977707605,2.5525773222704986,1.6213973086180158,1.6105663657517404,1.4174301588739384,1.9493744494350267,1.6456597913796336,1.847364547025217,1.5814382077617233,3.291778023767766,3.2297892583583168
16,2.394672746945866,1.5779067732011045,1.4164683885471847,2.651877321079531,1.4183014302268009,1.3804922757828877,1.2508896370110107,1.923866693396112,1.49599822108492,1.6465578731290214,1.3021288976550538,3.3530472944989627,3.1663023455431225
17,1.80174795891984,1.2960526246491282,1.1835295638717434,2.674938319347109,1.4210852716160869,1.3194822549303566,1.2547952039631622,1.4989116930499775,1.469040799873845,1.5284596191909126,1.182785657979268,2.971324765424494,2.7394557144927734
18,2.2228850783081286,1.7043465020104405,1.4045690953709355,2.823304548305679,1.5148567749522843,1.5262643109775695,1.239144761424365,2.051873789546145,1.6008876676979114,1.8115972499404704,1.3582301602529945,3.1159365226567086,2.8480113266033413
19,2.064027540655145,1.548184006463306,1.365356354199945,3.2105150882386453,1.6955707152960977,1.603406716979559,1.5260333839069966,2.362704571820914,1.8819240513693527,2.3276050333925293,1.6561371581362154,3.401837982056975,3.731582639353017
20,2.4676914623876818,1.968284252563581,2.447610216243017,3.0429040137910417,1.2721722079330449,1.2610088357055318,1.131927074725563,2.763818743401724,1.313941851990596,2.242751551822111,1.186324450460639,4.6787854411319945,4.228443700392751
21,3.489506815510052,2.042622539455497,1.6626947447726157,3.2200375207271605,2.483021245641438,2.1765578740444145,1.863112849387684,3.1616379728788453,2.554795455078121,2.811370039497553,1.883090108613264,6.507464071091185,7.324809564929059
22,2.069070649915521,1.6611136792017658,1.2750921286800143,2.4324292012452147,1.4942211728399897,1.374860412351946,1.4160269594382977,1.7283490958267544,1.6730724166188662,1.6021346069108318,1.400538048433062,3.006373710067942,2.6304215587505726
23,2.0200948074741465,1.6479301013941197,1.304231389891343,1.8637861146918064,1.2746418591445443,1.2606220117164135,1.20534660817447,2.528124458960914,1.3348059740531468,1.8168966827222568,1.2963874397364257,2.7016337290703176,3.2227349436560537
24,3.1687973326957217,1.4017304497131382,1.499480865226043,2.8924313780575583,1.5020703924341632,1.6697496230740758,1.3154337628805,1.7516311011147767,1.5830385819466075,1.7142908665583652,1.2146440761385666,23.467878459775328,43.78059292170084
25,3.158188297794708,1.375387823467834,1.1707956557697423,2.669852148893892,1.745152292930925,1.6487464074785407,1.247842430044586,1.937858678676639,1.7536704689361384,1.871314137852296,1.2922986680773645,37.6745297639666,21.148084274717498
26,2.7873083715529594,1.4670543266511784,1.8720845834781252,2.906151382867556,1.3477845281560548,1.3473974130756343,1.4802143670136614,1.4850779024467966,1.4554846134285226,1.489732673543071,1.2785753631469363,3.7840727463576953,3.636137646260258
27,1.8722432736081944,1.4556982595641303,1.2609233105688211,1.802243971055205,1.4429970025418737,1.351983930253381,1.3426952944632902,1.5687648098860736,1.617150310869803,1.4371277444894572,1.2914084154744607,2.7456643324858643,2.5993959208929254
28,3.3121900731738045,1.7954695112701975,1.3670790228385912,2.493926510087814,2.109779943566203,1.878726872921656,1.4587213771933167,1.980867040054883,2.094434841509193,2.158288108376735,1.6147584750514652,4.851245949447924,4.368779011636879
29,2.814148822564277,1.5766146146468605,1.5938877501334447,2.46637173885638,1.859205764461958,1.7600885568743547,1.7163651088680056,1.89311388347321,2.391042013644888,1.7077666149260915,1.7794210909443298,5.494704729449392,5.311723431893104
30,1.9775706530083013,1.738871321211804,1.420048983795095,2.613441933685961,1.9517747817288196,1.71453191217529,1.821578853809987,1.8158718889420573,1.987375488608205,1.569139659808617,1.4780828096751215,4.578401794105261,4.434810838580879
31,1.913470750690169,1.4812308215841292,1.329877562293795,1.7436293358840336,1.241286374542812,1.2539761765307056,1.2645617722381213,1.6165747905486794,1.3371158345923564,1.5619859743639115,1.2145464186627832,2.509717557230498,2.4744926769227216
32,1.7841322441570115,1.5300691875986754,1.7849160688812928,2.5870587644727494,1.6802872759780278,1.5483117328811,1.3287977284681989,1.6159762934509014,1.8130836482160568,1.493941057443522,1.3796338029828912,2.9538593220917333,3.039836776068094
