,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19
1,1.0000096023686076,1.0000096023686076,1.0150978250026952,1.0499834534779082,1.0088265300465062,1.0000096023686076,1.092664818457204,1.0000096023686076,1.0152453878885943,1.0000096023686076,1.0000096023686076,1.0000096023686076,1.0000096023686076
2,1.006688644165742,1.0053941805291216,1.097568566520251,1.5214915855737614,1.0248817166150972,1.0642332602325015,1.1339670500008856,1.0000054538854783,1.0244530309805593,1.007909988097425,1.017719317493254,1.1205157770250045,1.106499453401134
3,1.6995094825093957,1.3684481152868582,1.3733109139022752,1.5506283587534029,1.2223966754105062,1.1792209404260312,1.2380596860080832,1.3797050997508356,1.2565965441358449,1.2643739625468382,1.1707840324983871,1.7620011772292468,1.9150918547083813
4,1.4629562283959796,1.3002430911238554,1.0675150035896384,1.153388697219254,1.066026658312616,1.0856695657068474,1.08965874575483,1.2951413006093946,1.0942447517993694,1.1902670508588309,1.0794954189446748,1.5167152282976686,1.643023480206243
5,1.0000094649943658,1.0474668059488046,1.1023783580850148,1.0000094649943658,1.003957430912148,1.0054798553532822,1.0000094649943658,1.0000094649943658,1.0000094649943658,1.1150806106120623,1.0000094649943658,1.0000094649943658,1.0000094649943658
6,1.1779868279531545,1.184319816132253,1.5435615526351072,1.215423591876303,1.0362815637085507,1.0346456861447768,1.0238491494810185,1.1818051002405725,1.0316908287817266,1.1278864597350695,1.0407688468026544,1.1471509240509528,1.4480672722428485
7,1.556690113408031,1.353800625649166,1.3105196776259742,1.3919376972413815,1.0662621422201504,1.0583082008166615,1.1890925761348925,1.3096486986962568,1.1727648945190388,1.2788534506457925,1.138846584479598,1.9276754266782548,2.080035552194787
8,2.295508039330321,1.684795954775396,1.1866582489534008,1.3761079442446706,1.1919284046310623,1.2076408496246684,1.20290907880986,1.5918318930514936,1.3718176838422969,1.458685757059542,1.2439238392535574,1.9236874160173587,1.8487022494689969
9,1.410502055366817,1.1076357485774644,1.2771032211230442,1.1699615084470851,1.1244202865813482,1.0753428882835838,1.1251245868552266,1.1396410016536735,1.2673838765638077,1.131274888648384,1.113553406344964,1.4206633035617309,1.5041299983640668
10,1.3783248542730482,1.3922151629628958,1.2723122165658134,1.3957696287935868,1.2166165940287823,1.2425553365771864,1.1313705856731695,1.1973959481889829,1.1281786005482897,1.0616021646499645,1.2769444060696225,1.351798577325808,1.2824643509428868
11,1.3227246708410734,1.266580808975956,1.0916137800503534,1.0998750292492552,1.0504563406894143,1.0666226480117575,1.0497096564086683,1.1267145275924282,1.0789985963442277,1.0676010303233665,1.0724514242045429,1.1461304982018747,1.1447257568122209
12,1.0000096023686076,1.0118552857343428,1.2341254179395216,1.0312090513364056,1.011318034512831,1.0155591271077329,1.1029444629973062,1.007073779531089,1.0086957522982996,1.0082758745145115,1.0103850686451714,1.0380783277583077,1.0385094609317362
13,1.1699465066300094,1.165799079138094,1.1356505124223857,1.206791443597269,1.0504938296016602,1.0464061568277023,1.1115638242891916,1.1424724382264873,1.1398539560868497,1.1686136990172618,1.050330156000686,1.1256738287616612,1.2042188490764911
14,1.7297653082544229,1.3421790096923945,1.133684530272113,1.3689761065545236,1.1361720976414629,1.1230903058511452,1.1691404431227013,1.4074091813763618,1.3298281784615025,1.29379377847662,1.1179965052756748,2.3547930050300008,2.092129994338888
15,1.2801435714234295,1.1220323481616714,1.0000094649943658,1.5565807159943874,1.0067030673219746,1.0000094649943658,1.0000094649943658,1.2657463878601742,1.0000094649943658,1.2620729600921337,1.0000094649943658,1.7232540918951949,1.9718383027058328
16,1.4142672877646414,1.1798944774328584,1.423281667605551,1.5494940403523356,1.036450702971872,1.0488316479045037,1.1163452434537082,1.3876487904068575,1.0558561555350627,1.2949521481664457,1.0498457749208077,1.8156983866226664,1.782828425903422
17,2.4992222786306,1.8973341679060176,1.306487210505539,1.480403114877229,1.1891238902775685,1.242808271886999,1.206539327056276,2.63726952335789,1.39666099842444,2.13050296927437,1.2013226568445936,6.742965620225083,3.832296311601077
18,1.7036869647745971,1.4071390221368778,1.0564615749492514,1.3352552101595514,1.1178921286899282,1.079898104550636,1.078724305177355,1.3591335759028025,1.1151121686350682,1.3110532683278866,1.0966477265773666,1.8515473823155744,1.607094870990731
19,1.0752620105420363,1.0240876204333398,1.0037999568005158,1.090096795305453,1.000009743789258,1.000009743789258,1.007784065649585,1.017222840850778,1.000009743789258,1.017876400975181,1.0102724971720636,1.0277109029954554,1.0188472657065135
