,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('21cheese', 1.0000101942001327)","('17burger', 1.1526351876609215)","('08beachball-pail', 1.0851685514748826)","('08beachball-pail', 1.0852495826789768)","('08beachball-pail', 1.0852495826789768)","('08beachball-pail', 1.1779544627104213)","('08beachball-pail', 1.1478628687461399)","('66tools', 1.3793712764610708)","('63teethhygene', 1.076294265446086)","('66tools', 1.0137971996118251)"
1,"('61street', 1.0000101942001327)","('57pancakes', 1.1115135481838239)","('42horseriding', 1.0727799516368828)","('42horseriding', 1.0727839993244088)","('42horseriding', 1.0727839993244088)","('42horseriding', 1.1501461564700475)","('42horseriding', 1.1355568792740276)","('55office-computer-printer', 1.3419224248463202)","('17burger', 1.0701554571211527)","('45kitchen', 1.0135475788221053)"
2,"('60street', 1.0000101942001327)","('71valentines', 1.092093174208009)","('41hiking', 1.0700273342664215)","('41hiking', 1.0700351470005365)","('41hiking', 1.0700351470005365)","('71valentines', 1.1494627303166698)","('71valentines', 1.1307070990932795)","('32farm_animals', 1.3331033615732963)","('31farm', 1.0674590644270041)","('53ocean', 1.013381308756801)"
3,"('52motorbike', 1.0000100395066203)","('03backyard', 1.0870907169932853)","('20casino', 1.0675649013533324)","('20casino', 1.0675594077310562)","('20casino', 1.0675594077310562)","('41hiking', 1.1329609162143586)","('53ocean', 1.1233998679331627)","('63teethhygene', 1.3272332274473646)","('71valentines', 1.0564128172214804)","('63teethhygene', 1.0131816114810426)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('08beachball-pail', 1.0870861233383753)","('50lock', 1.0670187482693254)","('50lock', 1.0670268801147396)","('50lock', 1.0670268801147396)","('31farm', 1.1304592018292807)","('48livingroom', 1.1162531770823192)","('20casino', 1.2898707964935865)","('53ocean', 1.0560673631591746)","('42horseriding', 1.0122740533746675)"
5,"('67toy', 1.0000098894377727)","('18car', 1.079898104550636)","('71valentines', 1.060812124908664)","('71valentines', 1.0608023026232272)","('71valentines', 1.0608023026232272)","('53ocean', 1.1303852948198265)","('37golf', 1.1105906162183954)","('31farm', 1.2628535989633374)","('48livingroom', 1.053942991044028)","('55office-computer-printer', 1.0113801866810417)"
6,"('18car', 1.0000098894377727)","('46kitchen2', 1.0754820749877503)","('14boat', 1.058538219025411)","('14boat', 1.0585340071579201)","('14boat', 1.0585340071579201)","('48livingroom', 1.125521915123213)","('30emergency', 1.1035656548149329)","('24cleaning', 1.2602436528672114)","('61street', 1.0492452237516945)","('17burger', 1.0111056155341838)"
7,"('29cooking', 1.0000098894377727)","('65toilet', 1.0731199440598902)","('46kitchen2', 1.0566019190115095)","('46kitchen2', 1.0566090994182467)","('46kitchen2', 1.0566090994182467)","('65toilet', 1.1180549560391402)","('50lock', 1.0939725095721236)","('53ocean', 1.2500998047779739)","('07bathrobe-slippers', 1.040067133165707)","('48livingroom', 1.0108436130584761)"
8,"('23childEating', 1.0000098894377727)","('45kitchen', 1.0707965040972585)","('31farm', 1.0548793371899226)","('31farm', 1.054885553845427)","('31farm', 1.054885553845427)","('50lock', 1.1167280814041205)","('14boat', 1.093225665584288)","('17burger', 1.242808271886999)","('66tools', 1.0384444873604912)","('64tennis', 1.0105659517133185)"
9,"('54office_supply', 1.0000098894377727)","('20casino', 1.0697646457492311)","('30emergency', 1.0539543582626634)","('30emergency', 1.0539609817543079)","('30emergency', 1.0539609817543079)","('14boat', 1.1158992672041739)","('63teethhygene', 1.0932220905668364)","('10bed-dresser', 1.2425553365771864)","('32farm_animals', 1.0379134678239776)","('71valentines', 1.0102392606954993)"
