,ResNet101
0,"(0.8569297903125105, 0.007044289523107857)"
1,"(0.8265802046076207, 0.006806017650744417)"
2,"(0.8266325003156831, 0.006807929620385495)"
3,"(0.8266325003156831, 0.006807929620385495)"
4,"(0.6574677670663266, 0.009570725500168156)"
5,"(0.5821722865944989, 0.007535548185050004)"
6,"(0.21951263298370363, 0.005717618797553691)"
7,"(0.40959648686466577, 0.0019812705276431165)"
8,"(0.8827556157549526, 0.0008621451215353413)"
