,ResNet101
0,"(0.8557515993948726, 0.032643496456524174)"
1,"(0.8254992800998456, 0.03821135785362673)"
2,"(0.8255563717438233, 0.03822641501123)"
3,"(0.8255563717438233, 0.03822641501123)"
4,"(0.6567199975155965, 0.059540717340477306)"
5,"(0.5798994529611149, 0.044087857288298414)"
6,"(0.2152633974628096, 0.03597553314988527)"
7,"(0.40813473261849276, 0.01203999711557936)"
8,"(0.8823618315161358, 0.0053911964023062526)"
