,ResNet18_Places365
0,"(0.8810825052269031, 0.03580573084557676)"
1,"(0.8978164714577366, 0.03273870627463117)"
2,"(0.8985219960844617, 0.031892568904805074)"
3,"(0.8985219960844617, 0.031892568904805074)"
4,"(0.6906753025877886, 0.044092903045775685)"
5,"(0.40971054069166546, 0.038103889923168585)"
6,"(0.1358113931512614, 0.03534996982600652)"
7,"(0.020927257486240282, 0.019026506285232867)"
8,"(0.02346135786274131, 0.018470476754377917)"
