,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.9545160545590544)","('toothbrush ', 0.9794672141079162)","('toothbrush ', 0.979455493471625)","('toothbrush ', 0.979455493471625)","('broom ', 0.904084350372069)","('rainboots ', 0.9727039039063713)","('laundry ', 1.0153526117934624)","('laundry ', 1.2598549404533457)","('laundry ', 1.1691340916605968)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9607215925080395)","('bat ', 0.9796535196186716)","('balloon ', 0.9803878898715881)","('balloon ', 0.9803878898715881)","('toothbrush ', 0.9339755986369804)","('laundry ', 0.9994204093515863)","('rainboots ', 1.0567476356656997)","('rainboots ', 1.3313509532158727)","('rainboots ', 1.2370280981552564)"
2,"('bowlingpin ', 1.0000081872830517)","('toothbrush ', 0.9775447469430598)","('balloon ', 0.9799879636573795)","('bat ', 0.9807293163348134)","('bat ', 0.9807293163348134)","('cake ', 0.9468900928093243)","('toothbrush ', 1.0167471444157206)","('nail ', 1.2057588522288507)","('basketballrim ', 1.3409006656105624)","('dustpan ', 1.2831710282570774)"
3,"('tennisball ', 1.0000081872830517)","('broom ', 0.9824734819782435)","('lego ', 0.9853355166668991)","('lego ', 0.9860746550114728)","('lego ', 0.9860746550114728)","('trafficlight ', 0.947307875268164)","('tent ', 1.032238398363298)","('fishbowl ', 1.2394016484390817)","('dustpan ', 1.3712748801936838)","('pokerchips ', 1.296362262954834)"
4,"('helmet ', 1.0000081872830517)","('stroller ', 0.982492871874895)","('dustpan ', 0.9872473999550697)","('cake ', 0.9874718487458991)","('cake ', 0.9874718487458991)","('fishbowl ', 0.965164265722617)","('fishbowl ', 1.058210658249507)","('dumbbell ', 1.2471517294771088)","('dumbbell ', 1.399635448498395)","('dumbbell ', 1.298675521844433)"
5,"('beachpail ', 1.0000081872830517)","('cake ', 0.9839770194853473)","('cake ', 0.9875824087463502)","('broom ', 0.9892567330098224)","('broom ', 0.9892567330098224)","('balloon ', 0.9886681335074898)","('coatrack ', 1.075212513482358)","('bird ', 1.275587309314207)","('pokerchips ', 1.4076230665680327)","('basketballrim ', 1.3114312331802538)"
6,"('bat ', 1.0000081872830517)","('bat ', 0.9850421660952735)","('broom ', 0.9895801900108925)","('dustpan ', 0.9895170252800449)","('dustpan ', 0.9895170252800449)","('garbagebin ', 0.9896868537145671)","('nail ', 1.0860851237638929)","('parkingmeter ', 1.3134230315365891)","('birdhouse ', 1.482847869223128)","('nail ', 1.3373577472541003)"
7,"('deskchair ', 1.0000085154874656)","('washer ', 0.9883686681137857)","('dumbbell ', 0.9918418996437632)","('dumbbell ', 0.9916024204676817)","('dumbbell ', 0.9916024204676817)","('stroller ', 0.9898036115929307)","('fish ', 1.0886652615265986)","('kayak ', 1.3150657225212106)","('beachchair ', 1.4838926518468347)","('medal ', 1.3383653371206325)"
8,"('lamp ', 1.0000085154874656)","('bowlingball ', 0.989653277774702)","('fish ', 0.9929571634294495)","('fish ', 0.9923924068306245)","('fish ', 0.9923924068306245)","('bat ', 0.9908117883341269)","('computer ', 1.0890292757490025)","('cheesegrater ', 1.3220387273192922)","('medal ', 1.493788728301238)","('birdhouse ', 1.3418157974701115)"
9,"('chair ', 1.0000085777357148)","('dustpan ', 0.989886921429988)","('stroller ', 0.9941236993766811)","('stroller ', 0.9939123190398246)","('stroller ', 0.9939123190398246)","('laundry ', 0.991321891603993)","('hairdryer ', 1.0915900007697519)","('hairdryer ', 1.3266291182397787)","('board ', 1.5225593550672953)","('highchair ', 1.3582728498022751)"
