,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.9218622351428232)","('64tennis', 0.9466186684890743)","('64tennis', 0.948305937549834)","('64tennis', 0.948305937549834)","('38groceryshopping', 0.8187594984605638)","('01art', 0.8271069105105923)","('01art', 0.5032377123074185)","('59pizza', 0.5444884135883905)","('59pizza', 0.4343528654521358)"
1,"('06basketball', 0.9998745821547136)","('21cheese', 0.93842587576418)","('69tub', 0.9468515386422977)","('69tub', 0.9500610351573628)","('69tub', 0.9500610351573628)","('69tub', 0.8819424282135657)","('73winter', 0.8430598771366612)","('67toy', 0.6978973850625292)","('38groceryshopping', 0.5838423518569407)","('02baby', 0.6085167126627901)"
2,"('02baby', 1.0000054538854783)","('38groceryshopping', 0.9535599457070156)","('21cheese', 0.9543095685047148)","('21cheese', 0.9562701571950858)","('21cheese', 0.9562701571950858)","('01art', 0.8963362509079652)","('19carpet', 0.857763606972413)","('47laundry', 0.7418573954547599)","('12birdcage', 0.6089156246397514)","('19carpet', 0.6677234318707123)"
3,"('46kitchen2', 1.0000055379211592)","('64tennis', 0.9547500003261242)","('38groceryshopping', 0.9696920712801932)","('38groceryshopping', 0.9692174885861216)","('38groceryshopping', 0.9692174885861216)","('73winter', 0.9173935447044684)","('67toy', 0.8622534924571231)","('12birdcage', 0.7716301490417992)","('02baby', 0.608965509795249)","('01art', 0.6732111301151021)"
4,"('45kitchen', 1.0000055379211592)","('01art', 0.9588188090474671)","('73winter', 0.9783503824505052)","('73winter', 0.9779847032159258)","('73winter', 0.9779847032159258)","('64tennis', 0.9195604934128293)","('38groceryshopping', 0.8645821181623901)","('51makeup', 0.8050110189779074)","('01art', 0.6114859070655513)","('12birdcage', 0.6734932301525844)"
5,"('10bed-dresser', 1.0000089655355493)","('44kayak', 0.9749081935001669)","('01art', 0.9809427121160822)","('01art', 0.9815013344811956)","('01art', 0.9815013344811956)","('24cleaning', 0.9222945144646628)","('63teethhygene', 0.8705198129574235)","('02baby', 0.8159990684473167)","('49livingroom-chair', 0.7045132430401634)","('38groceryshopping', 0.7543484269203926)"
6,"('69tub', 1.000009099550753)","('73winter', 0.9760150285398992)","('24cleaning', 0.9814357171706308)","('24cleaning', 0.9818119539334931)","('24cleaning', 0.9818119539334931)","('63teethhygene', 0.9436301423759589)","('21cheese', 0.8918239515237005)","('38groceryshopping', 0.8286607771219516)","('19carpet', 0.7275534179952524)","('49livingroom-chair', 0.7760930791906773)"
7,"('65toilet', 1.000009099550753)","('23childEating', 0.9770911233408287)","('62sushi', 0.9832352031183115)","('62sushi', 0.9834612364000193)","('62sushi', 0.9834612364000193)","('23childEating', 0.9442059536036866)","('22chess', 0.8933455518556438)","('19carpet', 0.850533606800486)","('73winter', 0.7466231718625232)","('68toys', 0.8073244303439523)"
8,"('63teethhygene', 1.000009099550753)","('59pizza', 0.9809414898462069)","('05baseball', 0.9849417076276951)","('05baseball', 0.9849020877372829)","('05baseball', 0.9849020877372829)","('62sushi', 0.9555289368218831)","('70tv', 0.8993915964902803)","('39gun', 0.8578510521019629)","('67toy', 0.7537954043501035)","('73winter', 0.8218130809252052)"
9,"('73winter', 1.0000094514728177)","('24cleaning', 0.9817714803708455)","('28construction', 0.9898284791342807)","('28construction', 0.990428575431825)","('28construction', 0.990428575431825)","('21cheese', 0.9580657829095768)","('62sushi', 0.9081278011042465)","('21cheese', 0.8705047485890302)","('62sushi', 0.7547748213044889)","('47laundry', 0.8290719073975457)"
