,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('beachball', 0.9559145952219101)","('sushi', 0.9122656730867434)","('sushi', 0.9124068128945085)","('sushi', 0.9124068128945085)","('garbagebag', 0.7579121101327696)","('kayak', 0.7596090413673712)","('golfcart', 0.7855150069454275)","('toothbrush', 0.734238054293539)","('garbagebag', 0.974400818551106)"
1,"('sleepingbag', 0.9603969105256234)","('mailbox', 0.9216532340399665)","('mailbox', 0.9216149239965439)","('mailbox', 0.9216149239965439)","('sushi', 0.8000024170769193)","('golfcart', 0.7701571417634276)","('pizza', 0.8371244687073116)","('pizza', 0.7420441968203146)","('coat', 0.9800718758635418)"
2,"('beachumbrella', 0.9646326712047065)","('sleepingbag', 0.9269598971242097)","('sleepingbag', 0.9272048108015607)","('sleepingbag', 0.9272048108015607)","('golfcart', 0.8761805112318181)","('bag', 0.7769042546205812)","('burger', 0.8435060846097812)","('board', 0.759002144455343)","('beachumbrella', 0.9826123188125367)"
3,"('golfcart', 0.9648988103723624)","('bowlingball', 0.9395370926211898)","('bowlingball', 0.9395366093991069)","('bowlingball', 0.9395366093991069)","('sleepingbag', 0.8830738201361338)","('backhoe', 0.8270905217860219)","('bag', 0.845799055257593)","('coffeetable', 0.8102706170667788)","('pizza', 0.9862488214142994)"
4,"('racket', 0.9675462226343844)","('golfcart', 0.9461387130896105)","('golfcart', 0.9465155872399668)","('golfcart', 0.9465155872399668)","('mailbox', 0.9043518578059745)","('medal', 0.8829846314855021)","('mailbox', 0.8806109667948157)","('chair', 0.8156253064505417)","('cheese', 0.9882956879772956)"
5,"('seashell', 0.9681946284854714)","('garbagebag', 0.9500393310441759)","('garbagebag', 0.9500202937660888)","('garbagebag', 0.9500202937660888)","('belt', 0.932358970856011)","('sleepingbag', 0.8896732805188047)","('medal', 0.8954150409528792)","('bike', 0.8270023374633619)","('belt', 0.988788923162332)"
6,"('nail', 0.9751263604750438)","('belt', 0.9542358752832445)","('belt', 0.9541532586571858)","('belt', 0.9541532586571858)","('chicken', 0.942119368586868)","('sushi', 0.8960203827866794)","('belt', 0.8957214579758112)","('maplesyrup', 0.862569973405246)","('bathrobe', 0.9891243055398722)"
7,"('board', 0.9754316384560318)","('nail', 0.9555787624746882)","('nail', 0.9551196383931331)","('nail', 0.9551196383931331)","('excersiceequipment', 0.9594006894332865)","('garbagebag', 0.8996570447458306)","('seashell', 0.9135509776809105)","('carpet', 0.8680819771266768)","('bat', 0.9908860440157296)"
8,"('tub', 0.9791322987962042)","('burger', 0.958136454087786)","('burger', 0.9581670395756509)","('burger', 0.9581670395756509)","('highchair', 0.9639165073776104)","('burger', 0.9504385156533147)","('bathrobe', 0.9349953024167155)","('bathrobe', 0.8710735989752114)","('sushi', 0.990933563405602)"
9,"('garbagebag', 0.9827295786277376)","('seashell', 0.9639740463343764)","('seashell', 0.9639894079636586)","('seashell', 0.9639894079636586)","('rearview_mirror', 0.9677119447081804)","('mailbox', 0.9623412474531847)","('pokerchips', 0.9409069008870155)","('beachumbrella', 0.8712961228210112)","('kayak', 0.9913248163334594)"
