,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('coat', 1.0510236497148513)","('tub', 1.085633024608872)","('tub', 1.0856263894118188)","('tub', 1.0856263894118188)","('tub', 1.2283446729717915)","('scissors', 1.2007523918738463)","('tub', 1.289217565472271)","('trafficlight', 1.3459915982789266)","('seashell', 1.0291163500642444)"
1,"('rearview_mirror', 1.0475217896606093)","('toothbrush', 1.0766296475663535)","('toothbrush', 1.0765681866436656)","('toothbrush', 1.0765681866436656)","('beachumbrella', 1.1534085986332947)","('board', 1.1712360692679553)","('toiletseat', 1.2686051135203424)","('seashell', 1.3051375248190398)","('toothbrush', 1.0167150684652138)"
2,"('cheese', 1.0469732901897333)","('bathrobe', 1.07543575007935)","('bathrobe', 1.0754164819603569)","('bathrobe', 1.0754164819603569)","('toothbrush', 1.1453228627119918)","('coat', 1.139321819849223)","('racket', 1.2409665712780737)","('scissors', 1.2146058684554557)","('burger', 1.0157032146136757)"
3,"('bike', 1.0439045623580254)","('coat', 1.0713769122916679)","('coat', 1.0714021068242672)","('coat', 1.0714021068242672)","('bathrobe', 1.134721143240236)","('cheese', 1.1206011777184013)","('scissors', 1.2175655290544172)","('highchair', 1.2039566398977448)","('medal', 1.0153390518940553)"
4,"('coffeetable', 1.0431757366517338)","('board', 1.0669726094327934)","('board', 1.066649492558803)","('board', 1.066649492558803)","('bike', 1.128328921765688)","('toiletseat', 1.1145868898126767)","('chicken', 1.1639368671294719)","('sleepingbag', 1.1823462465100094)","('highchair', 1.0143511010847228)"
5,"('medal', 1.0423970074598423)","('cheese', 1.0624553015775942)","('cheese', 1.062454341870477)","('cheese', 1.062454341870477)","('coat', 1.0874632173142718)","('highchair', 1.11159636656563)","('ovenmitt', 1.1138241599067054)","('medal', 1.1752609297853738)","('nail', 1.0122631196057068)"
6,"('pokerchips', 1.037797957070612)","('coffeetable', 1.060273574316207)","('coffeetable', 1.0602718101474686)","('coffeetable', 1.0602718101474686)","('beachball', 1.080588194851584)","('doll', 1.1102277082703882)","('trafficlight', 1.0939327046997498)","('racket', 1.155721404077657)","('trafficlight', 1.011872853955203)"
7,"('dishrack', 1.0366303997259094)","('maplesyrup', 1.055258122230656)","('maplesyrup', 1.055232132637197)","('maplesyrup', 1.055232132637197)","('boxing_gloves', 1.0790744805650005)","('tub', 1.1101998314945063)","('lego', 1.0823375065209695)","('doll', 1.1515239918451323)","('mailbox', 1.0099966629821253)"
8,"('bag', 1.0359089460163449)","('rearview_mirror', 1.0515038338428042)","('rearview_mirror', 1.05193014079874)","('rearview_mirror', 1.05193014079874)","('maplesyrup', 1.0772420285361841)","('bike', 1.1020332729299425)","('television', 1.0747043497244835)","('rearview_mirror', 1.1362321309333188)","('lego', 1.0096460795189504)"
9,"('fridge', 1.0348630635579237)","('kayak', 1.0466911162217967)","('kayak', 1.0474252337061292)","('kayak', 1.0474252337061292)","('seashell', 1.076252563667213)","('toothbrush', 1.100459951632283)","('fridge', 1.065682479126158)","('horse', 1.1155135021498108)","('rearview_mirror', 1.0080289923946577)"
