models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio
"AlexNet_L2,ResNet50_L2",0.8877361284576293,{6.0853141158014475e-25},0.7622677747559176,{1.14563455235878e-14}
"AlexNet_L2,ResNet50_L9",0.1581536760155292,{0.1877447359652912},0.128992925615821,{0.28367167152650724}
"AlexNet_L12,ResNet50_L9",0.14400890697803273,{0.23085501533106445},0.48927208198192995,{1.4923239155121683e-05}
"AlexNet_L12,ResNet50_L2",0.3072407258938326,{0.009153409312312451},0.49033422633626966,{1.4207025061009132e-05}
