,Vgg16
0,"(0.9384780801780567, 0.01486007233106995)"
1,"(0.9390049771706639, 0.014320478435728966)"
2,"(0.7842926849991431, 0.05101781317294568)"
3,"(0.7842934536104367, 0.051017255410901775)"
4,"(0.7842934536104367, 0.051017255410901775)"
5,"(0.6504040708465355, 0.048520826980770655)"
6,"(0.6504040708465355, 0.048520826980770655)"
7,"(0.5101330294237267, 0.06625944841118823)"
8,"(0.5101330294237267, 0.06625944841118823)"
9,"(0.5101330294237267, 0.06625944841118823)"
10,"(0.5486113516721774, 0.05396206464222634)"
11,"(0.5486492320186085, 0.05392377135024607)"
12,"(0.4842922506497904, 0.04920460021205947)"
13,"(0.4843029117612139, 0.04918474361372488)"
14,"(0.364917683231702, 0.050507098643333026)"
15,"(0.3649209457902254, 0.05049938800093863)"
16,"(0.3649209457902254, 0.05049938800093863)"
17,"(0.339309661055186, 0.05413400053611441)"
18,"(0.3391308412477141, 0.05420662478159099)"
19,"(0.24919640066378132, 0.06338835916836223)"
20,"(0.24844235518347438, 0.06323668370907484)"
21,"(0.14985356589048143, 0.07114315969469004)"
22,"(0.14747860879113542, 0.07029089230034732)"
23,"(0.14747860879113542, 0.07029089230034732)"
24,"(0.17393909278827316, 0.079977793668305)"
25,"(0.17051479984260057, 0.07888259080779358)"
26,"(0.09242247959526653, 0.07269517995209572)"
27,"(0.08413411022960704, 0.06949167293552332)"
28,"(0.05439530867702962, 0.06125806081186115)"
29,"(0.03436758832601636, 0.05374044919380397)"
30,"(0.03436758832601636, 0.05374044919380397)"
