,Layer1inVals,Layer1OutVals,Layer1inOutRatios,Layer2inVals,Layer2OutVals,Layer2inOutRatios,Layer3inVals,Layer3OutVals,Layer3inOutRatios,Layer4inVals,Layer4OutVals,Layer4inOutRatios,Layer5inVals,Layer5OutVals,Layer5inOutRatios,Layer6inVals,Layer6OutVals,Layer6inOutRatios,Layer7inVals,Layer7OutVals,Layer7inOutRatios,Layer8inVals,Layer8OutVals,Layer8inOutRatios,Layer9inVals,Layer9OutVals,Layer9inOutRatios,Layer10inVals,Layer10OutVals,Layer10inOutRatios,Layer11inVals,Layer11OutVals,Layer11inOutRatios,Layer12inVals,Layer12OutVals,Layer12inOutRatios,Layer13inVals,Layer13OutVals,Layer13inOutRatios
9,0.8414833807910876,0.8424005655277279,0.9989112249276973,0.8421366773202148,0.8430248009783463,0.9989465035226712,0.8421366773202148,0.8430248009783463,0.9989465035226712,0.8345553752991203,0.8344785675173759,1.0000920428453577,0.834547290018815,0.8357202743317539,0.9985964390849835,0.834547290018815,0.8357202743317539,0.9985964390849835,0.792241035862569,0.7809122204455651,1.014507156016255,0.7695312100042361,0.7531412280832319,1.02176216267262,0.19029662797671057,0.13705343817381052,1.3884848896339053,0.18152737845279393,0.12511118332733873,1.4509284751775455,0.11225625082032337,0.03720076830832324,3.017578827671883,0.10149546466196553,0.033351600835252695,3.0431961920905657,0.10149546466196553,0.033351600835252695,3.0431961920905657
10,0.8684811171642828,0.8353883961789131,1.039613575118755,0.8684662532231398,0.8356350170038708,1.0392889665358733,0.8684662532231398,0.8356350170038708,1.0392889665358733,0.8669256018356797,0.8542630326627226,1.0148227989375684,0.8685082008333795,0.8551686298346757,1.0155987609148884,0.8685082008333795,0.8551686298346757,1.0155987609148884,0.8289935652196836,0.8197837239310403,1.0112344768745591,0.799714283885191,0.7889968830703001,1.0135835781418872,0.22438856860955178,0.2073794307568627,1.0820194066046553,0.2136914095012615,0.19623114654861973,1.0889780407429648,0.06639098354938844,0.06848296714784079,0.9694524976708999,0.06882142135925966,0.06268600023251722,1.0978754602939207,0.06882142135925966,0.06268600023251722,1.0978754602939207
11,0.780884746281062,0.7745867779370894,1.0081307459969115,0.7815084698863757,0.7748543108516525,1.0085876260111524,0.7815084698863757,0.7748543108516525,1.0085876260111524,0.8319633056180077,0.8130121031862134,1.0233098650776835,0.8319521642546241,0.8141826932333591,1.0218249186195512,0.8319521642546241,0.8141826932333591,1.0218249186195512,0.8027871221553167,0.772452836040721,1.0392700818733178,0.7713939116739041,0.7366768219886614,1.0471266214016668,0.2202243206961234,0.16980936167434418,1.2968915171971713,0.204794098998464,0.15538003642100193,1.3180206654320428,0.11629808749741583,0.07831598590446395,1.4849852958409469,0.09524224846360066,0.06880971830024556,1.3841394909948466,0.09524224846360066,0.06880971830024556,1.3841394909948466
12,0.7107906331110789,0.693887467735201,1.0243600960701145,0.710741963130912,0.6941804496442675,1.023857648965959,0.710741963130912,0.6941804496442675,1.023857648965959,0.8475984140387379,0.8259411899292861,1.0262212665665773,0.8484179177700655,0.8270504230698714,1.0258357823225355,0.8484179177700655,0.8270504230698714,1.0258357823225355,0.8151565194503932,0.7869960194128498,1.0357822648944945,0.7872603182140032,0.7563122449862254,1.0409197040414724,0.17314078607479966,0.15432960217945524,1.121889667501836,0.16203839199952935,0.14403249226027207,1.1250127624447404,0.03511926443012016,0.06981302786033346,0.5030474326422147,0.03295857070535013,0.0638600437877915,0.516106296683295,0.03295857070535013,0.0638600437877915,0.516106296683295
13,0.7509474848107025,0.6982193024428657,1.0755180817593502,0.7511997116944946,0.6983231120239353,1.0757193894346533,0.7511997116944946,0.6983231120239353,1.0757193894346533,0.8023808767437534,0.7774314653163056,1.03209210398668,0.8023675755058602,0.7786130475466103,1.0305087720198112,0.8023675755058602,0.7786130475466103,1.0305087720198112,0.7585309001042495,0.7544634817219092,1.005391140168981,0.7101443375724718,0.7067396441003747,1.0048174649611328,0.09975984437896884,0.09930999532427286,1.0045297460062013,0.08071640845769794,0.08250681721230535,0.9782998688459845,-0.009194650411746795,-0.027977731650717808,0.3286417400286593,-0.018788366425622573,-0.03511005529590448,0.5351277936555742,-0.018788366425622573,-0.03511005529590448,0.5351277936555742
14,0.8508390104940694,0.7921994668730813,1.0740211854123638,0.8510638227551734,0.7925163502981748,1.0738754127091144,0.8510638227551734,0.7925163502981748,1.0738754127091144,0.8739540675984875,0.8240267865758804,1.0605893908255974,0.8740918030867463,0.8253042544413672,1.0591146215263394,0.8740918030867463,0.8253042544413672,1.0591146215263394,0.7636309757394434,0.7267751772429346,1.0507114161993307,0.7445988508653153,0.7035560747614443,1.0583361832499099,0.19508195245830695,0.10252923286235087,1.9026959142492696,0.17896377579434736,0.09133988076939303,1.9593169411527862,0.09801515366751615,0.020729662029108836,4.72825623157204,0.0779728748979735,0.01933815863157361,4.032073393516712,0.0779728748979735,0.01933815863157361,4.032073393516712
15,0.7774185683357138,0.7726243251566125,1.0062051413901956,0.7791215428629221,0.7740089946550995,1.0066052826816319,0.7791215428629221,0.7740089946550995,1.0066052826816319,0.8293701400854305,0.8321286847717769,0.9966849542182253,0.8293676649243553,0.833324158632382,0.9952521552783015,0.8293676649243553,0.833324158632382,0.9952521552783015,0.7757722367020986,0.7768386854898461,0.9986271940266787,0.7380305169432937,0.7383321493376802,0.9995914678852098,0.25895404857571624,0.19580158830363872,1.322532931521189,0.24239259030440546,0.1825880504277329,1.3275380822379874,0.09188704471391375,0.07049480185242343,1.303458443734244,0.0817042917122117,0.0607162064612762,1.3456751742933966,0.0817042917122117,0.0607162064612762,1.3456751742933966
16,0.7137489788682104,0.7483334003882557,0.9537847415308445,0.7142004613766186,0.748967728771449,0.9535797524255685,0.7142004613766186,0.748967728771449,0.9535797524255685,0.827375227495044,0.8360727966369372,0.9895971150157273,0.8284397341665068,0.8370968191084662,0.9896582035144041,0.8284397341665068,0.8370968191084662,0.9896582035144041,0.7264401035096403,0.7504511942872703,0.9680044605693057,0.6957603639091434,0.7236261186306752,0.9614915023047228,0.0437360657323658,0.13080627720251317,0.3343575451249483,0.03489227967028736,0.12134542456602833,0.28754507881177865,-0.03413407238155886,0.07042925043402593,-0.4846576127277359,-0.033177445201834126,0.05955699015359294,-0.557070549003098,-0.033177445201834126,0.05955699015359294,-0.557070549003098
17,0.8100687622310199,0.7778643630897335,1.0414010471097663,0.8100406094661293,0.7780195210637371,1.0411571786253022,0.8100406094661293,0.7780195210637371,1.0411571786253022,0.8757826468860865,0.829149634559481,1.0562419741659552,0.8757746081237922,0.8301552985593673,1.0549527415455777,0.8757746081237922,0.8301552985593673,1.0549527415455777,0.8210377112388473,0.7726477899030461,1.0626286931356825,0.7953191350769311,0.7402498399146086,1.0743928498095656,0.2747597796750326,0.14843319658526413,1.8510669176163905,0.25984380657411754,0.13740476315188851,1.8910829625817538,0.19437349893193528,0.037917687699081944,5.126195997880995,0.17592011854170286,0.030040592144372085,5.856080256216267,0.17592011854170286,0.030040592144372085,5.856080256216267
18,0.8746523679908076,0.8396015061767858,1.0417470211239015,0.874634944229459,0.8397179614142761,1.0415817981984983,0.874634944229459,0.8397179614142761,1.0415817981984983,0.871377690030805,0.8433861343011069,1.033189490070161,0.8713711004555642,0.8442767691246105,1.032091764598766,0.8713711004555642,0.8442767691246105,1.032091764598766,0.7840018035096773,0.7846507140580645,0.9991729943823906,0.7567393695372125,0.7565131129085408,1.0002990782642245,0.006706401304761892,0.12243681449232162,0.05477438573169078,-0.0008477164870680405,0.11386256266131661,-0.007445085261163208,-0.009661135054378564,0.06094885929219754,-0.15851215538032798,-0.01418312477139199,0.054109450034931485,-0.2621191818108626,-0.01418312477139199,0.054109450034931485,-0.2621191818108626
