,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim ', 1.000009743789258)","('pallette ', 1.2108865050282498)","('bike ', 1.1850421102208935)","('bike ', 1.1850898514472492)","('bike ', 1.1850898514472492)","('lamp ', 1.4125327195847848)","('carpet ', 1.3473741466611295)","('rolette ', 2.544630682481082)","('mailbox ', 1.2181150578482292)","('motorcycle ', 1.034936139610397)"
1,"('highchair ', 1.0000096725620395)","('beachball ', 1.2075486185217525)","('lamp ', 1.1569067568940714)","('lamp ', 1.1570025447078587)","('lamp ', 1.1570025447078587)","('carpet ', 1.3433316134954243)","('bike ', 1.2895156351194588)","('bike ', 2.4800726476156916)","('rolette ', 1.2101697598867227)","('bike ', 1.034808543813415)"
2,"('bike ', 1.0000095331866181)","('tennisball ', 1.203737792867193)","('carpet ', 1.1512834601529813)","('carpet ', 1.1512598158185552)","('carpet ', 1.1512598158185552)","('bike ', 1.314586192602623)","('rubberduck ', 1.2786391608319465)","('helm2.jpg', 2.107537004410787)","('bike ', 1.2053485533022361)","('horse ', 1.0340515429750505)"
3,"('footballball ', 1.0000095331866181)","('rubberduck ', 1.1739756553172527)","('rubberduck ', 1.1240652040581718)","('rubberduck ', 1.1240387712444448)","('rubberduck ', 1.1240387712444448)","('rubberduck ', 1.3107912162940467)","('pizza ', 1.2348907676534124)","('horse ', 2.0781575740946763)","('ambulance ', 1.192682169128104)","('rolette ', 1.0324498776873436)"
4,"('stroller ', 1.0000095331866181)","('train ', 1.1226894256756026)","('pizza ', 1.1149147867429798)","('pizza ', 1.1148633139063435)","('pizza ', 1.1148633139063435)","('coatrack ', 1.2540970000227722)","('lamp ', 1.2015338560770394)","('coatrack ', 1.9799473157109786)","('coatrack ', 1.1807706178703585)","('ambulance ', 1.0307773991142994)"
5,"('motorcycle ', 1.0000095331866181)","('carpet ', 1.1180554795103803)","('easel ', 1.113288126373795)","('easel ', 1.1134108463577124)","('easel ', 1.1134108463577124)","('television ', 1.229108363662519)","('train ', 1.1868020997812088)","('doll ', 1.9652402768201362)","('tractor ', 1.1770146981189291)","('tractor ', 1.0281161976814563)"
6,"('tent ', 1.0000095331866181)","('bag ', 1.1141264036984706)","('pants ', 1.1122049735275978)","('pants ', 1.1122194593249133)","('pants ', 1.1122194593249133)","('beachball ', 1.217386801025598)","('chess ', 1.1811928297680176)","('pizza ', 1.9586949143589023)","('horse ', 1.1754637948670281)","('backhoe ', 1.0276216409420926)"
7,"('dresser ', 1.0000095331866181)","('pizza ', 1.1108374185668763)","('tennisball ', 1.10435399760202)","('tennisball ', 1.1043758920667803)","('tennisball ', 1.1043758920667803)","('mailbox ', 1.2075648497818543)","('excersiceequipment ', 1.177937343731663)","('bowlingpin ', 1.947062820524664)","('bag ', 1.1743748127813325)","('coatrack ', 1.0272700142279108)"
8,"('coatrack ', 1.0000094649943658)","('pancake ', 1.108960087127143)","('paper ', 1.1017624138509918)","('paper ', 1.1017849405933826)","('paper ', 1.1017849405933826)","('paper ', 1.1960154904460862)","('roses ', 1.1747695222499466)","('tractor ', 1.9230957986403245)","('bowlingpin ', 1.1731597447891955)","('handgun1 (2).JPG', 1.0271189078681364)"
9,"('helmet ', 1.0000094649943658)","('roses ', 1.10627284626568)","('pancake ', 1.098271589948669)","('pancake ', 1.0982496097854446)","('pancake ', 1.0982496097854446)","('pizza ', 1.1955844899460832)","('basketball ', 1.1743297858750172)","('ambulance ', 1.9191155714943118)","('scissors ', 1.171424426439442)","('fish ', 1.0266506986123414)"
