,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.9286911105742213)","('helmet ', 0.9706450147286396)","('helmet ', 0.9706410877422481)","('helmet ', 0.9706410877422481)","('nail ', 0.9822252631085183)","('balloon ', 0.983785159907318)","('ovenmitt ', 1.1443536139944803)","('nail ', 0.9799025846866406)","('laundry ', 1.0034859706793284)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9510020700817087)","('chopsticks ', 0.9803723710918472)","('chopsticks ', 0.9804241531632936)","('chopsticks ', 0.9804241531632936)","('balloon ', 0.997067585324415)","('computer ', 0.9881056816890794)","('cheesegrater ', 1.1459797646964704)","('chair ', 0.9842260402521341)","('basketballrim ', 1.0038034842132855)"
2,"('bowlingpin ', 1.0000081872830517)","('stroller ', 0.9600983369375354)","('bat ', 0.9828345607138275)","('bat ', 0.9828821854157825)","('bat ', 0.9828821854157825)","('garbagebag ', 1.0114438048023695)","('nail ', 0.9957889177688194)","('coffeemaker ', 1.1852391887651792)","('basketballrim ', 0.9949888913515396)","('nail ', 1.0039426140178)"
3,"('tennisball ', 1.0000081872830517)","('toothbrush ', 0.9720813827139395)","('nail ', 0.9832880934722548)","('nail ', 0.983046034764424)","('nail ', 0.983046034764424)","('umbrella ', 1.0138707586917581)","('helmet ', 1.014349831365072)","('laundry ', 1.1916927848644092)","('laundry ', 1.0102280839823756)","('chair ', 1.0041882300091678)"
4,"('helmet ', 1.0000081872830517)","('dumbbell ', 0.9788981123076492)","('rearview_mirror ', 0.9909765217160695)","('rearview_mirror ', 0.9906889768728299)","('rearview_mirror ', 0.9906889768728299)","('bathrobe ', 1.0165590047390276)","('bathrobe ', 1.020861227839677)","('basketballrim ', 1.1993311634148915)","('coffeemaker ', 1.0120905662510125)","('cheesegrater ', 1.0060373741045572)"
5,"('beachpail ', 1.0000081872830517)","('washer ', 0.9798754069610105)","('garbagebag ', 1.0040821393837234)","('garbagebag ', 1.0040977559771544)","('garbagebag ', 1.0040977559771544)","('ironing ', 1.0208364204979308)","('washer ', 1.0215396125922078)","('chair ', 1.2123248956873212)","('trophy ', 1.0136475612085523)","('trophy ', 1.0061534174912048)"
6,"('bat ', 1.0000081872830517)","('beachpail ', 0.981181849300622)","('bowlingpin ', 1.0051599776564872)","('bowlingpin ', 1.005155459991428)","('bowlingpin ', 1.005155459991428)","('birdcage ', 1.0269064845156946)","('chopsticks ', 1.0273107996567843)","('boxing_gloves ', 1.240786176786653)","('dustpan ', 1.0157087272705785)","('cake ', 1.0064152014114052)"
7,"('deskchair ', 1.0000085154874656)","('broom ', 0.9837960975342998)","('stove ', 1.006973731991274)","('stove ', 1.0069830122924535)","('stove ', 1.0069830122924535)","('fishbowl ', 1.027562441683106)","('cheesegrater ', 1.0274264827141402)","('nail ', 1.2566496365881885)","('ovenmitt ', 1.0231824817703608)","('sippycup ', 1.0071131911976747)"
8,"('lamp ', 1.0000085154874656)","('lifejacket ', 0.9886851898247738)","('motorhelmet ', 1.0072218736913805)","('motorhelmet ', 1.0072014521373234)","('motorhelmet ', 1.0072014521373234)","('fish ', 1.030184155953507)","('garbagebag ', 1.0287393243696763)","('golfclubs ', 1.262741608574265)","('rainboots ', 1.0254289662821723)","('dustpan ', 1.0072498383843491)"
9,"('chair ', 1.0000085777357148)","('dustpan ', 0.9934363267504623)","('strecher ', 1.012266136220058)","('strecher ', 1.0123110159719357)","('strecher ', 1.0123110159719357)","('strecher ', 1.039499736634057)","('birdcage ', 1.0318079013242711)","('sippycup ', 1.2642800804368595)","('cheesegrater ', 1.0275923233513535)","('medal ', 1.0073513466515296)"
