,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios
0,1.0,1.0000096023686076,0.7252580897735877,0.9151243813240874,0.7031747610366366,0.9883848779625973,0.7012455404767722,0.9889209667927119,0.7012455404767722,0.9889209667927119,0.6761347733957771,0.9865449849395386,0.4852111184861229,0.8986717682667262,0.2348029164341814,0.7978318606464898,0.4368102570015061,0.9913658114529114,0.9321501363964144,0.9995676095707973
1,1.0,1.0000054538854783,0.8222811249155861,0.9880911514281177,0.7675876415923364,1.0112300375981145,0.7664946147560658,1.0120439293715406,0.7664946147560658,1.0120439293715406,0.7179933110275912,1.0141693519772585,0.5708543307750474,1.0167589975244717,0.32216378618037617,1.018076804230759,0.4453763928404617,0.9994959196739973,0.935203454948459,1.0018054718771365
2,1.0,1.0000094649943658,0.948415116305812,1.0924074631340652,0.856487101773888,1.0621821646961764,0.8548572049587524,1.062711101845255,0.8548572049587524,1.062711101845255,0.8036985935730566,1.0653830215236098,0.6510323572281635,1.1028727773233284,0.38776638422343934,1.1708456218802483,0.45315477195622583,1.0132538544535494,0.936607624547013,1.0027504277465593
3,1.0,1.0000094649943658,0.9290683719124592,1.069881402194633,0.8637650821379159,1.0787711061927585,0.8616537137985806,1.0792675359286563,0.8616537137985806,1.0792675359286563,0.7911206669338519,1.0672613724676632,0.5997047575327508,1.0394236862839168,0.2661575812612579,0.9279200368429471,0.4415208223742086,0.9972164322940742,0.930293747343339,0.9985863014175584
4,1.0,1.0000094649943658,0.7844512534127256,0.9651631866748341,0.7044274606818526,0.9877765597125405,0.7012883784944851,0.9870597648739955,0.7012883784944851,0.9870597648739955,0.6351970743130892,0.9489186230401876,0.3891332306634803,0.7767349698650676,0.19049541757543076,0.6648252085871523,0.4397200340372095,0.9962380889674395,0.92998205983445,0.998300008741586
5,0.9997357878090597,0.9998745821547136,0.864005609105165,1.025514197514165,0.6441111345275218,0.8717631264381142,0.6424157742676706,0.8717814805635172,0.6424157742676706,0.8717814805635172,0.6619176062504607,0.9512417513327165,0.5171034545264153,0.935555680909441,0.3401291434879605,1.039796272008038,0.4511478220939215,1.0104299711151428,0.9318791302510189,1.0003153283768809
6,1.0,1.0000100395066203,0.883986521699883,1.0598395032783932,0.7361176176937814,0.9959235303506913,0.7348053373449739,0.9966585938315783,0.7348053373449739,0.9966585938315783,0.7107688592736671,1.0280165225706734,0.6114891270278977,1.0736754430719198,0.36061654517109665,1.1406756490498744,0.460514532924213,1.0260388940937515,0.935827333767319,1.0019213578082433
7,1.0,1.000009743789258,0.6657606891883613,1.035506935290246,0.7965490330487113,1.109127495978522,0.7965123479541374,1.1101146573123108,0.7965123479541374,1.1101146573123108,0.7398915445154048,1.0645262975491532,0.6065831922264169,1.0783687803996886,0.39628815600962014,1.244652676202118,0.4376883311455332,0.9982102448519544,0.9359020017203608,1.0023894980820116
8,1.0,1.000009743789258,0.780974211337095,0.9700503162231046,0.7827052187632808,1.0481214028177082,0.7803562289423097,1.0485764881542956,0.7803562289423097,1.0485764881542956,0.7358389204159789,1.0404126668830938,0.6071375276234173,1.0773782926027329,0.3263746898391004,1.1123919148418973,0.4422124482832475,0.9990123588613338,0.9279020433421615,0.9974463386237047
9,1.0,1.0000089655355493,0.930535634383568,1.07520313087431,0.8062735517909735,1.065666330406754,0.8058100806036785,1.066300464172122,0.8058100806036785,1.066300464172122,0.7223972580466165,1.0469512567833266,0.5535557442453496,1.0336073616250847,0.4135350446631246,1.2774486119955824,0.44800563837915797,1.014521641160415,0.9337369437737657,1.0016683339811996
10,1.0,1.0000098894377727,0.9218525499336525,1.0711348764190225,0.5919222041927534,0.8671795750820935,0.5891504825135071,0.8666340699154396,0.5891504825135071,0.8666340699154396,0.6229311363371495,0.9248320122196488,0.5542650557696223,0.9978562451798034,0.3398912185150985,1.0498160763112363,0.4482803847804422,1.0020736808749775,0.9338649004279237,1.0007606852765545
11,1.0,1.0000096023686076,0.8361596641306641,1.0093841794623137,0.7725324991301694,1.01036349230281,0.7706847414390227,1.010501766458403,0.7706847414390227,1.010501766458403,0.6914094815376768,0.9816339720631336,0.5132825886321374,0.9413872228149658,0.26116871390923607,0.8896546093162941,0.4405860836259859,0.9947889511389549,0.9314008742890558,0.9995038023519935
12,1.0,1.0000096023686076,0.8939025884327835,1.040350324930678,0.8149729689384183,1.034319657002473,0.8128759298768148,1.0345118745741666,0.8128759298768148,1.0345118745741666,0.7640558721073474,1.0411271267425428,0.6140114379954436,1.0508640335304713,0.28381482821294013,0.9980987183063381,0.4443863370827635,1.0016124705874483,0.930717439256541,0.9992617884217103
13,1.0,1.0000096023686076,0.9502772606233266,1.0781321520966074,0.8767119886200099,1.0986244643195893,0.8737109869755462,1.098271166876445,0.8737109869755462,1.098271166876445,0.7714306113552359,1.0570265149398097,0.6095453442466223,1.0450947861940392,0.3514542489779294,1.1174725873448539,0.4513729049482464,1.007408508123956,0.9325088854865377,1.0003222282842983
14,1.0,1.0000094649943658,0.7750366101176428,0.9858005089037595,0.720261104741277,0.9508097410162509,0.7198542135453357,0.9521878717568393,0.7198542135453357,0.9521878717568393,0.654466564706202,0.9271780817783685,0.4593543760189291,0.8470163857824684,0.2518981143821938,0.8294318238960602,0.4378872576527691,0.9914848656823467,0.9321986351987157,0.9992877634511558
15,1.0,1.0000094649943658,0.8862622899909128,1.0494340627921974,0.7341204020333124,0.9558243408889421,0.7319243943935928,0.9557378745424042,0.7319243943935928,0.9557378745424042,0.7478524855803567,1.0202967318960467,0.5794455056287773,1.0165393322741645,0.304961263350368,0.9883832671064554,0.43033408042146803,0.9857402312365722,0.931831317331126,0.999930980857882
16,1.0,1.0000098894377727,0.9509888014280549,1.0951592901392184,0.7725188774963705,1.0186205326608693,0.7692451652246858,1.0180472821048394,0.7692451652246858,1.0180472821048394,0.7431713563458225,1.032626133850885,0.5839324921174722,1.026928848660573,0.3143658876948902,1.0016028908127579,0.45081081179382415,1.0096447774166268,0.9333499068734156,1.000604000990365
17,1.0,1.000009743789258,0.8477577471622175,1.008797299305579,0.7269274047708604,0.9713543610365238,0.7253299617092402,0.9720064692954661,0.7253299617092402,0.9720064692954661,0.6625211184446006,0.9450235175776107,0.4300758606015735,0.812600245917678,0.2578712181737199,0.833439563044727,0.44835382249485334,1.004387269125987,0.9317917346816018,0.9991957993405498
