,Vgg19
0,"(1.0008360867353308, 0.02040834718146772)"
1,"(1.0008324470726555, 0.02030540010159475)"
2,"(1.0066377767760286, 0.047999737309514894)"
3,"(1.0066794791136515, 0.04796775548451323)"
4,"(1.0066794791136515, 0.04796775548451323)"
5,"(1.0217274043130675, 0.08866592315305713)"
6,"(1.0217235752875793, 0.08867894651717922)"
7,"(1.0607491917769323, 0.2197526544051449)"
8,"(1.0607491917769323, 0.2197526544051449)"
9,"(1.0607491917769323, 0.2197526544051449)"
10,"(1.0261900038138114, 0.1197176061594247)"
11,"(1.0261783072154884, 0.11972279655947064)"
12,"(1.0207281434925137, 0.13107990963392577)"
13,"(1.020722595518415, 0.13107771052553863)"
14,"(1.0222204001590838, 0.14195940945678012)"
15,"(1.0222213677807597, 0.1419605086417857)"
16,"(1.0363937205628602, 0.19979795063832592)"
17,"(1.036400611593576, 0.19979816673162676)"
18,"(1.036400611593576, 0.19979816673162676)"
19,"(1.0473626401630625, 0.2106474573079)"
20,"(1.0473330870974353, 0.2105041081254808)"
21,"(1.0751616220383509, 0.28014218164133237)"
22,"(1.075184350491206, 0.28024433135505633)"
23,"(1.1214705897135793, 0.40006762221749803)"
24,"(1.1217364563228045, 0.40082739222117425)"
25,"(1.3081570828913804, 0.7746659178067409)"
26,"(1.310247321167796, 0.7801488947425529)"
27,"(1.310247321167796, 0.7801488947425529)"
28,"(1.289986657901521, 0.8004875900447496)"
29,"(1.2926472622992915, 0.8055396280634927)"
30,"(1.17733373165799, 2.370513797169048)"
31,"(1.216137458786414, 2.4910705207153616)"
32,"(1.112268976217945, 3.6264642660325768)"
33,"(1.2603773467697459, 5.006144406656973)"
34,"(1.5975015946926587, 14.316364507378097)"
35,"(-0.11435746042613076, 6.116511340286914)"
36,"(-0.11435746042613076, 6.116511340286914)"
