,Vgg19
0,"(0.9296338166816187, 0.01982797534865641)"
1,"(0.9301250037121238, 0.019017191564410257)"
2,"(0.7761113577531452, 0.07756322045989983)"
3,"(0.775982720432241, 0.07780061247587723)"
4,"(0.775982720432241, 0.07780061247587723)"
5,"(0.6259477585933088, 0.05545830960955506)"
6,"(0.6259429821840973, 0.055439613122770584)"
7,"(0.42472664664630994, 0.06837767752449309)"
8,"(0.42472664664630994, 0.06837767752449309)"
9,"(0.42472664664630994, 0.06837767752449309)"
10,"(0.5344651151010988, 0.05087112843253718)"
11,"(0.5344664953025158, 0.05087635989869223)"
12,"(0.5184448032597518, 0.053721589196537384)"
13,"(0.5184453793507899, 0.053724035356405235)"
14,"(0.4708482486131393, 0.046812210410098753)"
15,"(0.47084754489089947, 0.04681266019604355)"
16,"(0.3990461666748935, 0.05134951226505649)"
17,"(0.3990341615196267, 0.05137009110965816)"
18,"(0.3990341615196267, 0.05137009110965816)"
19,"(0.3533916491457123, 0.05848284380732261)"
20,"(0.35336942100061625, 0.05850092334452394)"
21,"(0.2963517518704989, 0.0632339975422494)"
22,"(0.29586969210424957, 0.06311145706277496)"
23,"(0.22471907828824889, 0.05980776646567686)"
24,"(0.22393147609692501, 0.05952163052545561)"
25,"(0.16107860480706473, 0.05852906511469774)"
26,"(0.15899961241718977, 0.05768703406350934)"
27,"(0.15899961241718977, 0.05768703406350934)"
28,"(0.18130949451369824, 0.06296246566094892)"
29,"(0.17947442807246786, 0.06258444172695223)"
30,"(0.12692498985223052, 0.058556134011407204)"
31,"(0.12122184456405757, 0.05724777909936223)"
32,"(0.07538103389944677, 0.04826628995100756)"
33,"(0.0709860626790016, 0.04743117486286905)"
34,"(0.03945509589372849, 0.04737223649617475)"
35,"(0.02521511749102549, 0.042648362792223636)"
36,"(0.02521511749102549, 0.042648362792223636)"
