,ResNet50_Places365
0,"(0.8454195327961095, 0.007508233426950965)"
1,"(0.894634583562434, 0.004512499949417237)"
2,"(0.8952055644090396, 0.004450769900334099)"
3,"(0.8952055644090396, 0.004450769900334099)"
4,"(0.7685499803235759, 0.0065354993680751166)"
5,"(0.5725763772769688, 0.009927763005216148)"
6,"(0.1368179673236378, 0.008538386785610657)"
7,"(0.1663934208370623, 0.011538579582983132)"
8,"(0.1402648490896439, 0.012248154233352841)"
