,ResNet50_Places365
0,"(0.8344757352051998, 0.03747726150512674)"
1,"(0.892083672605004, 0.025855132889954783)"
2,"(0.8926053586493391, 0.025490692941930772)"
3,"(0.8926053586493391, 0.025490692941930772)"
4,"(0.7610829370069909, 0.034540991171427136)"
5,"(0.5567995986139592, 0.04865483651451622)"
6,"(0.11028504646116377, 0.02691224943520231)"
7,"(0.09482018128232216, 0.023857313527320092)"
8,"(0.05942117066637358, 0.022999197396275064)"
