,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,Resnext50_32x4d,0,1.0000015532196633,0.8046411674315926,0.804145775305996,6.211592705344172e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.5230442595956245
1,Resnext50_32x4d,1,1.0404814644919689,1.2944465343515889e-14,9.387479052296519e-15,0.004136170079964539,1.062817490991825,3.180960636407101e-30,1.3923943719440663e-32,0.0042604874807667115,0.00044595073328893036
2,Resnext50_32x4d,2,1.054306659095565,1.6701051349200483e-17,2.376397671739263e-17,0.0047561247058038264,1.10336218229137,5.076628648389739e-39,6.3473622709402315e-43,0.00563457243198056,2.108832335765875e-08
3,Resnext50_32x4d,3,1.054898532470817,1.472785110236335e-17,2.1630660485610815e-17,0.004794751110035228,1.1043426097471518,7.633876542521144e-39,8.599634835335508e-43,0.005711427433642714,2.1999542115240892e-08
4,Resnext50_32x4d,4,1.054898532470817,1.472785110236335e-17,2.1630660485610815e-17,0.004794751110035228,1.1043426097471518,7.633876542521144e-39,8.599634835335508e-43,0.005711427433642714,2.1999542115240892e-08
5,Resnext50_32x4d,5,1.0472754040781524,2.67087975583902e-20,4.2234238717437675e-20,0.003617814104992986,1.0889954314307868,2.39698114165569e-47,7.057923242425396e-50,0.004038458336177945,5.624009793012152e-12
6,Resnext50_32x4d,6,1.0700589514692018,1.033954494196268e-20,7.559815475374118e-21,0.005260545231376342,1.1396265775400098,1.983700217838592e-54,9.662394297686027e-58,0.005482317861614918,6.052832056927342e-13
7,Resnext50_32x4d,7,1.197390916941977,1.3732420625204796e-29,2.826322259742942e-29,0.010215555604705178,1.4025894412183175,9.591074973673847e-57,7.254359843591819e-58,0.015101814127066326,8.15177417489318e-18
8,Resnext50_32x4d,8,1.008131782257675,1.5339806007541797e-08,1.3854789927869209e-08,0.0012620231234596866,1.016256948796083,7.728192069324866e-20,6.900150140573514e-20,0.001518965949967097,9.137679952049509e-08
9,Resnext50_32x4d,9,1.0016456849489725,8.503949219071281e-17,8.552100079280888e-17,0.00014942583229989213,1.0033053183295741,4.507288447081469e-43,4.5850100397558436e-43,0.00016444125596884766,6.470639445927606e-15
