,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios
0,1.0,1.000009397770763,0.8931108841085565,1.0633633990586853,0.8096404041414937,1.3692774211188319,0.8096367690572641,1.3695212201390976,0.8096367690572641,1.3695212201390976,0.8024436779688774,1.171152875650548,0.6232217462821998,1.2402664352041857,0.3902129233754354,1.8062187434057675,0.4613385595235681,1.0816976272859624,0.9058051671113254,1.017889216818735
1,1.0,1.000009397770763,0.9194586579499692,1.343778711029577,0.7711924882078753,1.0466004751710773,0.7711924874601721,1.0466782730406927,0.7711924874601721,1.0466782730406927,0.7581532660182632,1.0340531526262424,0.5970988706156006,1.1242189522808552,0.3532845781301207,1.7690946746839762,0.44488312153038256,1.0624764573448293,0.8999274433866296,1.011434644446502
2,1.0,1.000009397770763,0.8381327609624915,1.0166386737274722,0.7488561979792419,1.1042629611442254,0.7488561970199925,1.1043275052377093,0.7488561970199925,1.1043275052377093,0.7200552996737108,1.0235630838917271,0.5849993390271166,1.16419250285953,0.26990519042777955,1.557853377164326,0.41962710294050626,1.0455548183002814,0.9018942558243618,1.013849626333859
3,1.0,1.0000095331866181,0.7454125841180936,0.9426866438584233,0.7864456201466684,1.0706889476553338,0.7864456192521795,1.070756547026819,0.7864456192521795,1.070756547026819,0.7975749897662837,1.0702520258739752,0.6206121235536621,1.1227586556540767,0.35934258145139086,1.5331780608576577,0.44194137791613636,1.0525382011436173,0.905381167703905,1.016969100477288
4,1.0,1.000009397770763,0.9622575075133699,1.1223348403420834,0.8373423783220065,1.1195008986234356,0.8373423777565158,1.119568308785674,0.8373423777565158,1.119568308785674,0.8417812426408459,1.1212631790420433,0.6482726124996365,1.1542559460311492,0.32593656368373447,1.4339135126945186,0.42010551852560435,1.0169543719636414,0.8950273599458078,1.009600944939843
5,1.0,1.0000094649943658,0.944657249172321,1.1193273406914432,0.850112001319145,1.1145911934991457,0.8501120006457381,1.1146904715968495,0.8501120006457381,1.1146904715968495,0.8204836370852273,1.0823522171093347,0.6727578975961845,1.1768837532181329,0.30058716612444447,1.5669957751081605,0.44969983364315824,1.068673510346713,0.8945114892873732,1.0126311946299773
6,1.0,1.0000085777357148,0.9048850637304959,1.0755435471519161,0.8582133650439779,1.1186966324658116,0.8582133646091659,1.118765206818882,0.8582133646091659,1.118765206818882,0.8333599277559036,1.0802777214456367,0.6573697324545744,1.1336799764813732,0.3395638137783171,1.4810526503140415,0.41901062294821595,1.025485827619847,0.9008777756752734,1.0120150005304358
7,1.0,1.000009397770763,0.9286481227352781,1.0816131568478942,0.8276712975585527,1.1090352376167198,0.8274109974135445,1.1090274209326003,0.8274109974135445,1.1090274209326003,0.8522569858290643,1.1188798974845722,0.6290161566381443,1.11151352342744,0.3326062526264807,1.6144463988396218,0.45080909482662185,1.0855602470269807,0.9089712142088124,1.0182634268652782
8,1.0,1.000009397770763,0.8749111986591579,1.080563872211644,0.8104607420896514,1.1968698423839903,0.8104607412035664,1.1969570153699431,0.8104607412035664,1.1969570153699431,0.7967361227295926,1.1005594954343243,0.5943475259383624,1.191434616668186,0.35658704018600257,1.8745376848063167,0.4232075198590882,1.0222670069294373,0.8944525316469438,1.0075975881468409
9,1.0,1.0000081872830517,0.77315617365905,0.9863594246166394,0.6800019161225531,1.0992243671450288,0.6799169699590234,1.0993375126947336,0.6799169699590234,1.0993375126947336,0.6618907398922266,1.0353308017010765,0.5550358662391253,1.1747284608209545,0.3594640313059296,1.7914159288715792,0.44403713428739094,1.058087844749686,0.9006305073522626,1.0156993200314597
