,ResNet152
0,"(0.8378369337758064, 0.008389312427791019)"
1,"(0.8353092720063457, 0.006799043905019889)"
2,"(0.8353299154192326, 0.006799682679169901)"
3,"(0.8353299154192326, 0.006799682679169901)"
4,"(0.5957851228479855, 0.009982788898235688)"
5,"(0.509020710376188, 0.007816566666236006)"
6,"(0.2601676573346451, 0.005123998053202682)"
7,"(0.4176892612328024, 0.0024560180180403434)"
8,"(0.8853716211030358, 0.0009939662005991957)"
